"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"AAMDC","11",3,77553542,77583361,369,1.04e-06,3.04e-06,3.47e-07,15,46,5,12.53504661,34.45676323,5.084647132,-0.431613011,-0.96184916,0.037185322,0.000474347,0.434325571,0.565200082,"ENSG00000087884",28971
"AANAT","17",4,74462254,74466052,759,4.89e-06,1.08e-05,3.93e-07,49,103,3,40.86944048,88.15337799,4.009866878,-0.788443418,-0.77343637,0.499561349,0.013038239,0.65936944,0.327592321,"ENSG00000129673",15
"AAR2","20",3,34827790,34843667,1155,5.07e-06,1.23e-05,5.35e-07,63,133,6,58.740846,140.4151239,7.31909401,-0.34451038,0.306074073,0.482988514,0.000262136,0.54138327,0.458354594,"ENSG00000131043",25980
"AARS2","6",22,44268283,44281060,2958,1.43e-05,3.58e-05,3.18e-06,141,358,19,159.4864805,386.9308389,43.28993186,0.907490747,0.719383179,3.656979159,1.65e-07,0.999922899,7.69e-05,"ENSG00000124608",57505
"AARSD1","17",12,41102609,41116457,1239,5.28e-06,1.32e-05,1.05e-06,63,159,12,62.72744717,149.3385757,15.44684094,-0.021333728,-0.386696702,0.86874255,2.44e-07,0.477743381,0.522256375,"ENSG00000266967",80755
"AASDH","4",14,57204567,57250465,3297,1.09e-05,2.59e-05,2.14e-06,130,345,13,127.9237321,296.0043,29.68008983,-0.11380572,-1.392917559,3.032881766,2.01e-05,0.998849623,0.001130277,"ENSG00000157426",132949
"AASDHPPT","11",6,105948437,105967634,930,3.47e-06,9.59e-06,8.99e-07,37,91,4,41.39030722,110.1406645,12.54841947,0.423053513,0.892072939,2.390457281,0.083941734,0.906138752,0.009919513,"ENSG00000149313",60496
"AASS","7",23,121716542,121773780,2781,9.69e-06,2.51e-05,1.96e-06,116,297,15,117.6646669,289.7488389,31.29123101,0.095139824,-0.208360566,2.884910026,1.36e-06,0.997781398,0.002217247,"ENSG00000008311",10157
"AATF","17",12,35306425,35413964,1683,7.35e-06,1.58e-05,1.61e-06,82,186,14,82.31694984,174.4193965,21.64967067,0.021656864,-0.428894146,1.628571277,1.62e-07,0.845766703,0.154233135,"ENSG00000275700",26574
"ABCA1","9",49,107546595,107665960,6786,2.71e-05,6.42e-05,5.82e-06,344,627,23,324.9262273,742.1418301,85.57460611,-0.655985574,2.067312148,6.700626021,0.001658803,0.998341197,2.3e-13,"ENSG00000165029",19
"ABCA10","17",37,67144967,67221499,4632,1.4e-05,3.69e-05,3.99e-06,192,535,48,169.7449902,421.2883855,59.02034883,-1.058957574,-2.709763938,1.420967348,1.21e-27,0.011995837,0.988004163,"ENSG00000154263",10349
"ABCA12","2",53,215797357,216002931,7788,2.82e-05,6.61e-05,6.72e-06,351,745,31,336.8871731,761.4575233,96.74858011,-0.476672814,0.291714136,6.621459994,2.02e-07,0.999999798,2.7e-13,"ENSG00000144452",26154
"ABCA13","7",62,48211080,48685108,15177,5.25e-05,0.000126674,9.48e-06,666,1673,118,552.0691194,1302.189181,117.0911635,-3.006036488,-5.026109737,-0.083198097,3.31e-78,1.65e-12,1,"ENSG00000179869",154664
"ABCA3","16",30,2326674,2376467,5115,3.45e-05,6.64e-05,3.57e-06,400,670,21,378.3278538,720.9394059,49.99455801,-0.690742776,0.927942138,4.062046062,7.48e-08,0.999990122,9.8e-06,"ENSG00000167972",21
"ABCA4","1",50,94458792,94586601,6822,3.11e-05,6.99e-05,5.98e-06,383,873,58,360.3091232,787.0877886,85.55905308,-0.741077453,-1.497820316,2.951351884,1.27e-28,0.894718807,0.105281193,"ENSG00000198691",24
"ABCA5","17",38,67243677,67310556,4929,1.37e-05,3.8e-05,4.32e-06,197,502,34,160.9228736,422.3729102,61.3206959,-1.763080547,-1.895087957,3.456033782,2.53e-15,0.999502071,0.000497929,"ENSG00000154265",23461
"ABCA6","17",38,67075113,67136844,4854,1.56e-05,3.89e-05,3.66e-06,195,534,34,180.4113311,430.0951356,54.35653867,-0.673339585,-2.450587845,2.735065436,1.83e-16,0.979463514,0.020536486,"ENSG00000154262",23460
"ABCA7","19",46,1041360,1065424,6441,4.53e-05,9.26e-05,5.11e-06,455,983,60,453.2134416,913.417777,68.61823903,-0.052026595,-1.126107565,1.030595874,1.89e-36,0.000203957,0.999796043,"ENSG00000064687",10347
"ABCA8","17",37,66864225,66938175,4746,1.77e-05,4.04e-05,3.88e-06,216,540,53,211.3691302,463.1338664,57.50777421,-0.197466809,-1.747020719,0.588828136,1.72e-33,0.000114649,0.999885351,"ENSG00000141338",10351
"ABCA9","17",38,66972055,67047267,4875,1.7e-05,4.03e-05,4.45e-06,206,495,49,204.1241397,463.0367036,64.35604484,-0.081397684,-0.72654138,1.896157545,1.28e-26,0.089815749,0.910184251,"ENSG00000154258",10350
"ABCB10","1",13,229653925,229694399,2217,1.37e-05,2.96e-05,1.52e-06,83,163,11,85.69158262,202.6019132,18.61387509,0.180255146,1.360851475,1.74814329,7.95e-06,0.915409282,0.08458277,"ENSG00000135776",23456
"ABCB11","2",27,169780131,169874635,3966,1.37e-05,3.6e-05,3.21e-06,197,395,23,152.2112797,385.396472,43.21925691,-2.250580129,-0.239272106,3.046605566,2.19e-10,0.998263927,0.001736073,"ENSG00000073734",8647
"ABCB4","7",27,87031411,87104781,3861,1.56e-05,3.52e-05,3.39e-06,156,358,16,185.3305858,405.4867715,49.08924813,1.33566282,1.153455884,4.6782498,0.000203043,0.999796618,3.39e-07,"ENSG00000005471",5244
"ABCB5","7",27,20662908,20795247,3774,1.38e-05,3.4e-05,3.89e-06,188,550,41,155.3991771,367.5012798,50.52149092,-1.621262434,-4.656362618,1.326956188,1.17e-23,0.02699293,0.97300707,"ENSG00000004846",340273
"ABCB6","2",19,220074659,220083395,2529,1.36e-05,3.2e-05,2.51e-06,165,330,29,154.3508687,348.66471,34.49880819,-0.531383165,0.488915131,0.927376772,2.11e-17,0.049799963,0.950200037,"ENSG00000115657",10058
"ABCB8","7",16,150725602,150742436,2157,1.29e-05,2.94e-05,1.75e-06,143,308,13,147.7078437,328.2844141,25.75648715,0.240140674,0.547587477,2.489874606,4.6e-06,0.990775898,0.009219506,"ENSG00000197150",11194
"ABCB9","12",11,123414457,123444782,2301,1.54e-05,3.13e-05,1.3e-06,148,290,7,152.2247609,305.6785771,16.55728295,0.21228188,0.438622827,2.326642264,0.002901108,0.984485545,0.012613348,"ENSG00000150967",23457
"ABCC1","16",31,16043608,16235138,4596,2.83e-05,5.64e-05,3.78e-06,346,504,14,310.7866189,608.9212806,52.51890853,-1.23830115,2.079694662,5.265090455,0.01943576,0.980564228,1.13e-08,"ENSG00000103222",4363
"ABCC10","6",21,43395716,43417829,4479,2.25e-05,4.99e-05,3.54e-06,278,558,37,253.7940795,557.4356964,47.18485159,-0.941954491,-0.011690393,1.468734003,8.31e-21,0.091415007,0.908584993,"ENSG00000124574",89845
"ABCC11","16",29,48201184,48265832,4149,1.91e-05,4.27e-05,3.2e-06,250,533,41,224.3715121,485.2491165,47.18281119,-1.06069077,-1.060268036,0.891628158,5.7e-25,0.004597258,0.995402742,"ENSG00000121270",85320
"ABCC12","16",29,48117625,48180335,4080,1.85e-05,4.12e-05,3.27e-06,219,491,43,221.1235633,476.1565941,48.92186521,0.088532883,-0.332716958,0.838680835,2.21e-26,0.002512724,0.997487276,"ENSG00000140798",94160
"ABCC2","10",32,101542601,101611388,4638,1.72e-05,4.12e-05,3.94e-06,206,588,49,207.4035935,477.0400358,57.73561662,0.060420551,-2.484880437,1.138836545,3.36e-29,0.002811963,0.997188037,"ENSG00000023839",1244
"ABCC3","17",31,48712297,48768561,4584,2.33e-05,5.14e-05,3.43e-06,241,581,30,266.352936,574.8777821,49.95779497,0.963048966,-0.124892452,2.797052573,2.62e-14,0.989877188,0.010122812,"ENSG00000108846",8714
"ABCC4","13",31,95673828,95953568,3978,1.72e-05,3.88e-05,3.45e-06,206,400,15,198.5840002,433.5022957,49.67735814,-0.326247422,0.787037453,4.873673265,0.001314683,0.998685203,1.14e-07,"ENSG00000125257",10257
"ABCC6","16",31,16243989,16317291,4512,2.46e-05,5.13e-05,3.59e-06,240,541,18,238.6609566,496.7601439,44.70230978,-0.053732779,-0.97086141,3.956157529,1.45e-06,0.99998186,1.67e-05,"ENSG00000091262",368
"ABCC8","11",39,17414537,17498323,4746,2.7e-05,5.64e-05,4.14e-06,299,475,33,297.3848946,605.7409424,58.09943446,-0.058061656,2.598271311,3.261877342,3.94e-15,0.998700876,0.001299124,"ENSG00000006071",6833
"ABCC9","12",38,21953977,22089608,4650,1.65e-05,4.18e-05,4.04e-06,194,265,18,200.4914612,485.1324716,61.22057173,0.284214675,4.888441737,5.471816276,0.000700543,0.999299455,2.34e-09,"ENSG00000069431",10060
"ABCD2","12",10,39947713,40013417,2223,7.04e-06,1.95e-05,1.43e-06,95,157,12,83.911028,224.7301778,20.35634027,-0.750466156,2.209876827,1.834661445,2.97e-06,0.927390257,0.072606773,"ENSG00000173208",225
"ABCD4","14",19,74753163,74769615,1821,9.75e-06,2.06e-05,1.94e-06,121,210,17,111.7595088,229.7507384,28.02966558,-0.541879481,0.637338959,2.063683364,1.4e-08,0.943627529,0.056372457,"ENSG00000119688",5826
"ABCF1","6",25,30539264,30558478,2538,1.1e-05,2.71e-05,2.94e-06,118,214,17,127.5111214,304.317797,41.97666635,0.522163157,2.532364091,3.818740429,2.73e-06,0.999963882,3.34e-05,"ENSG00000204574",23
"ABCF3","3",21,183903995,183911486,2130,1.17e-05,2.7e-05,1.99e-06,134,277,10,138.289956,309.6653182,30.6307044,0.226157714,0.907939328,3.692540092,0.004026166,0.995906699,6.71e-05,"ENSG00000161204",55324
"ABCG2","4",15,89013385,89061147,1968,7.39e-06,1.76e-05,2.05e-06,86,253,28,87.65639701,200.4961632,28.79156732,0.109678848,-1.813652453,0.14613185,1.37e-18,0.005254415,0.994745585,"ENSG00000118777",9429
"ABCG4","11",14,119020675,119031816,1941,1.09e-05,2.28e-05,1.29e-06,116,167,9,129.4031401,263.4031659,20.40463703,0.730436327,2.905342684,2.500959886,0.000455417,0.992033195,0.007511388,"ENSG00000172350",64137
"ABCG5","2",13,44040254,44065818,1956,1.03e-05,2.27e-05,1.55e-06,110,257,22,103.0243529,226.0864401,20.80071807,-0.426050386,-1.005608261,-0.260478457,1.9e-15,0.007287105,0.992712895,"ENSG00000138075",64240
"ABCG8","2",13,44066192,44105052,2022,1.13e-05,2.27e-05,1.53e-06,144,344,23,126.2312709,251.5588229,21.67266398,-0.980441279,-2.850770463,-0.282432341,3.75e-16,0.005398997,0.994601003,"ENSG00000143921",64241
"ABHD1","2",9,27346816,27353612,1218,5.24e-06,1.25e-05,1.04e-06,65,180,26,63.188974,145.3304648,15.61017257,-0.141238949,-1.406648702,-2.604918676,1.06e-21,2.08e-05,0.999979226,"ENSG00000143994",84696
"ABHD10","3",5,111697908,111710568,921,3.85e-06,9.55e-06,9.56e-07,48,109,7,44.61857425,107.3074896,12.80016856,-0.313828279,-0.079915334,1.605914617,0.000658971,0.911518448,0.087822581,"ENSG00000144827",55347
"ABHD11","7",6,73150888,73153127,948,6.35e-06,1.35e-05,9.51e-07,51,123,9,64.484186,137.6440951,11.57292123,1.040992688,0.610520603,0.749194693,9.03e-06,0.535113474,0.464877493,"ENSG00000106077",83451
"ABHD12","20",13,25275608,25371339,1215,8.26e-06,1.63e-05,1.42e-06,59,135,12,68.42535505,139.9378356,19.4030881,0.706380708,0.204165527,1.664819564,1.98e-06,0.884464311,0.115533706,"ENSG00000100997",26090
"ABHD12B","14",13,51338892,51371084,1089,4.61e-06,1.09e-05,9.91e-07,37,106,17,38.78929777,92.75283914,13.17750587,0.178105218,-0.672783989,-1.043085304,3.28e-13,0.005721087,0.994278913,"ENSG00000131969",145447
"ABHD14A","3",5,52009151,52015034,816,4.49e-06,9.51e-06,6.21e-07,33,86,6,39.28621998,85.48055526,7.141341898,0.621754415,-0.027480092,0.423073246,0.000234514,0.517628989,0.482136497,"ENSG00000248487",25864
"ABHD14A-ACY1","3",16,52009151,52023091,1530,7.53e-06,1.77e-05,1.19e-06,67,184,10,74.70883306,174.7303366,17.00348044,0.552906854,-0.343003102,1.68242098,2.25e-05,0.907764806,0.092212744,"ENSG00000114786",100526760
"ABHD15","17",2,27889578,27893984,1407,1.23e-05,2.36e-05,1.05e-06,74,169,6,115.9787011,226.0620635,11.1015945,2.416514365,1.856309239,1.516711416,0.001790126,0.898430435,0.09977944,"ENSG00000168792",116236
"ABHD16B","20",1,62492893,62494303,1410,1.48e-05,2.89e-05,7.54e-07,67,156,3,111.3646736,216.5757019,5.915942033,2.606232768,2.013307336,1.18756286,0.033092969,0.820444475,0.146462556,"ENSG00000183260",140701
"ABHD17A","19",5,1877198,1881565,1086,1.06e-05,1.78e-05,6.32e-07,34,48,3,87.38103521,147.4717405,6.923003942,3.540200485,4.006467892,1.47693432,0.050556875,0.860043678,0.089399447,"ENSG00000129968",81926
"ABHD3","18",9,19231551,19284626,1230,5.18e-06,1.21e-05,1.07e-06,49,125,11,57.99474514,128.9019191,14.96210218,0.732224393,0.168098144,1.014656498,1.34e-06,0.603635251,0.396363411,"ENSG00000158201",171586
"ABHD4","14",7,23067215,23079854,1029,4.82e-06,1.21e-05,1.25e-06,70,134,9,54.20912484,133.7499227,15.79345143,-1.329595684,-0.01057751,1.693330046,7.51e-05,0.917300501,0.082624438,"ENSG00000100439",63874
"ABHD5","3",7,43732484,43760024,1050,3.78e-06,9.22e-06,1.35e-06,66,108,10,44.74195439,105.9693079,18.04717895,-1.970223628,-0.096487751,1.876414064,3.45e-05,0.945149055,0.054816408,"ENSG00000011198",51099
"ABHD6","3",8,58242313,58279492,1014,4.33e-06,1.01e-05,7.7e-07,54,112,6,51.85212826,116.9190891,11.95951278,-0.18491586,0.22251503,1.70704007,0.002559916,0.93213387,0.065306214,"ENSG00000163686",57406
"ABI3","17",8,47288086,47300077,1101,7.01e-06,1.36e-05,7.99e-07,61,140,4,61.16171891,118.2050084,9.540003074,0.012819566,-0.98051765,1.776746283,0.027711007,0.921540701,0.050748292,"ENSG00000108798",51225
"ABI3BP","3",35,100469338,100712249,3228,1.07e-05,2.83e-05,3.54e-06,121,310,19,114.0536371,284.5882245,45.61948023,-0.403231782,-0.736789567,3.904039011,3.94e-07,0.999977584,2.2e-05,"ENSG00000154175",25890
"ABL2","1",12,179076852,179198532,3549,1.37e-05,3.31e-05,2.9e-06,182,315,11,154.4889456,366.0567397,37.40696044,-1.372172673,1.305253998,4.276927297,0.009702577,0.990293634,3.79e-06,"ENSG00000143322",27
"ABLIM3","5",23,148521658,148637967,2052,9.37e-06,2.36e-05,2.62e-06,106,285,11,114.3362855,273.4497132,38.76573986,0.483315517,-0.341641805,4.417482886,0.016025349,0.983972836,1.82e-06,"ENSG00000173210",22885
"ABRA","8",2,107773264,107782418,1146,4.88e-06,1.24e-05,8.42e-07,77,162,9,56.17213,140.9094463,10.37324297,-1.72279608,-0.86903123,0.422357124,4.06e-06,0.37671174,0.6232842,"ENSG00000174429",137735
"ABT1","6",3,26597210,26598873,819,4.9e-06,1.4e-05,3.91e-07,56,113,3,53.99361499,154.9292141,5.472526145,-0.16927532,1.647655312,1.046975914,0.027105567,0.793221171,0.179673262,"ENSG00000146109",29777
"ABTB1","3",12,127391868,127399318,1437,9.56e-06,2.08e-05,1.49e-06,102,196,8,96.87055419,206.7019483,18.80055536,-0.323090671,0.364086961,2.467461794,0.001298307,0.990484558,0.008217135,"ENSG00000114626",80325
"ACAA1","3",12,38164537,38178526,1275,7.62e-06,1.53e-05,1.17e-06,71,125,10,75.41535782,152.6157707,17.38853245,0.31519963,1.093388115,1.755158773,2.64e-05,0.92367179,0.076301828,"ENSG00000060971",30
"ACAA2","18",10,47310216,47339854,1194,4.07e-06,1.04e-05,1.04e-06,51,131,6,45.17846283,109.3435614,12.7436731,-0.536934904,-1.012992021,1.871280413,0.003508042,0.952684652,0.043807306,"ENSG00000167315",10449
"ACACB","12",52,109577210,109704167,7377,4.21e-05,8.99e-05,6.4e-06,444,925,50,482.2710926,1006.652587,90.66174634,1.080375654,1.258776775,4.23022681,5.12e-22,0.999983957,1.6e-05,"ENSG00000076555",32
"ACAD10","12",21,112130513,112194277,3273,1.48e-05,3.46e-05,3.26e-06,172,398,35,166.8995421,383.7547634,43.5698083,-0.244756723,-0.355678912,1.286080001,4.01e-20,0.063109176,0.936890824,"ENSG00000111271",80724
"ACAD11","3",20,132277814,132378595,2343,8.32e-06,2.2e-05,2.37e-06,109,258,17,100.7445927,253.299509,34.52171128,-0.509890224,-0.144458581,2.954065125,1.68e-07,0.99817416,0.001825672,"ENSG00000240303",84129
"ACAD8","11",11,134123494,134134854,1248,6.07e-06,1.39e-05,1.52e-06,71,144,11,63.30912633,140.6044466,19.54813756,-0.599227523,-0.140066258,1.915175283,1.17e-05,0.94700564,0.052982699,"ENSG00000151498",27034
"ACAD9","3",18,128598534,128631450,1866,9.6e-06,2.2e-05,1.67e-06,123,240,12,111.4027419,246.1752395,25.362625,-0.681174687,0.192506497,2.628357168,2.07e-05,0.994684436,0.005294849,"ENSG00000177646",28976
"ACADL","2",11,211053684,211089987,1293,4.91e-06,1.26e-05,1.41e-06,48,122,14,52.83542142,131.2666918,18.80149225,0.412402288,0.395607297,1.096907024,3.59e-08,0.542970324,0.45702964,"ENSG00000115361",33
"ACADM","1",12,76190472,76228448,1278,3.85e-06,1.12e-05,1.33e-06,48,125,16,47.10845345,128.2789105,19.47893674,-0.080527783,0.141601229,0.78082483,8.44e-10,0.268163093,0.731836906,"ENSG00000117054",34
"ACADS","12",10,121163688,121177251,1239,8.8e-06,1.71e-05,9.71e-07,87,171,8,92.58062936,177.5574999,13.57037125,0.359561028,0.24070507,1.497883217,0.00016291,0.878896084,0.120941006,"ENSG00000122971",35
"ACADSB","10",11,124768545,124813281,1299,4.84e-06,1.11e-05,1.05e-06,49,139,13,54.73166968,118.7386559,15.47771614,0.480298552,-0.909468433,0.623860923,2.99e-08,0.301001539,0.698998431,"ENSG00000196177",36
"ACADVL","17",21,7120464,7128416,2037,1.06e-05,2.38e-05,1.77e-06,120,229,15,108.4225091,237.6898416,25.19165537,-0.689294076,0.275689969,2.011435222,1.31e-07,0.944474873,0.055524995,"ENSG00000072778",37
"ACAP3","1",24,1228943,1243195,2505,2.01e-05,3.87e-05,2.1e-06,160,223,7,144.9809621,285.0102663,23.60098062,-0.773276832,1.796594051,3.384998607,0.03943093,0.960288966,0.000280104,"ENSG00000131584",116983
"ACAT1","11",12,107992333,108018117,1284,4.35e-06,1.15e-05,9.48e-07,52,123,7,49.06245268,120.5566131,15.00548267,-0.259992104,-0.10884677,2.047162142,0.001599516,0.969810573,0.028589912,"ENSG00000075239",38
"ACAT2","6",9,160183119,160199861,1194,3.84e-06,1.06e-05,7.64e-07,49,126,9,45.65868598,120.3457219,12.13002931,-0.306552261,-0.252104172,0.890240155,1.26e-05,0.608220827,0.391766528,"ENSG00000120437",39
"ACBD4","17",9,43213511,43221008,1026,5.21e-06,1.12e-05,1.16e-06,59,126,10,60.92004824,127.0503114,16.52324538,0.152504226,0.045576606,1.589665375,1.83e-05,0.883792362,0.116189374,"ENSG00000181513",79777
"ACBD5","10",13,27486358,27529617,1578,6.52e-06,1.5e-05,1.43e-06,66,164,6,76.45588159,170.2704695,20.45018332,0.741318046,0.235043868,3.165297055,0.06164569,0.937666667,0.000687643,"ENSG00000107897",91452
"ACBD6","1",8,180257497,180471401,849,3.59e-06,7.37e-06,7.93e-07,42,95,4,40.30209959,80.7429516,11.82189854,-0.165805042,-0.776057439,2.253503594,0.064959259,0.920160983,0.014879758,"ENSG00000230124",100527964
"ACBD7","10",4,15120528,15130727,267,1.3e-06,2.39e-06,2.58e-07,18,33,2,15.71905195,27.59874727,4.270354032,-0.356658114,-0.502881979,1.088307003,0.086336608,0.761384382,0.15227901,"ENSG00000176244",414149
"ACCS","11",14,44089177,44105342,1506,5.88e-06,1.55e-05,1.16e-06,77,190,9,68.84991495,172.9270493,17.85348601,-0.608919926,-0.635030931,2.075594349,0.000171666,0.970899052,0.028929282,"ENSG00000110455",84680
"ACCSL","11",14,44069586,44081470,1707,6.09e-06,1.66e-05,1.33e-06,93,204,18,74.47511675,193.207777,20.7804225,-1.330758474,-0.379764271,0.604189682,2.58e-11,0.136446774,0.863553226,"ENSG00000205126",390110
"ACD","16",12,67691508,67694381,1635,1.06e-05,2.18e-05,1.44e-06,115,223,13,117.7252876,239.6587664,20.56441339,0.155714432,0.526336423,1.652368135,5.78e-07,0.868643626,0.131355796,"ENSG00000102977",65057
"ACE","17",25,61554455,61574727,3921,2.51e-05,4.88e-05,3.49e-06,283,546,34,255.3620277,497.5106924,46.68499072,-1.072205233,-1.063313083,1.839040032,4.63e-18,0.43663764,0.56336236,"ENSG00000159640",1636
"ACKR2","3",1,42905994,42907149,1155,5.22e-06,1.19e-05,3.82e-07,59,145,5,59.61878,135.5665019,4.75089226,0.049681441,-0.396290003,-0.113211196,0.00037689,0.39097141,0.6086517,"ENSG00000144648",1238
"ACKR4","3",1,132319241,132320294,1053,3.16e-06,8.73e-06,5.36e-07,6,22,4,36.18717,99.3034222,6.4932755,3.110961032,3.794312182,0.969232699,0.007445108,0.773751344,0.218803547,"ENSG00000129048",51554
"ACMSD","2",10,135596252,135659430,1011,4.48e-06,9.72e-06,9.95e-07,55,127,12,53.81547293,112.0000898,15.14007053,-0.100101818,-0.693259162,0.799401873,1.99e-07,0.436883259,0.563116542,"ENSG00000153086",130013
"ACO1","9",20,32405504,32450109,2670,1.08e-05,2.62e-05,2.72e-06,131,284,19,130.464583,305.6863775,39.2003063,-0.029059055,0.606688712,3.195971949,3.57e-08,0.999308722,0.000691242,"ENSG00000122729",48
"ACOT1","14",3,74004125,74010359,1266,9.25e-06,1.85e-05,6.89e-07,24,39,3,65.6045796,136.2439606,6.108892742,3.184369709,4.074933884,1.245988996,0.035999166,0.830358559,0.133642275,"ENSG00000184227",641371
"ACOT11","1",17,55013982,55100402,1824,1.08e-05,2.52e-05,2.05e-06,107,258,19,120.0919138,267.5973256,25.91951424,0.740619644,0.286962183,1.346330936,1.33e-10,0.536072994,0.463927006,"ENSG00000162390",26027
"ACOT12","5",15,80626212,80689933,1668,7.45e-06,1.76e-05,1.76e-06,77,207,20,79.50814405,188.6018628,25.56695944,0.1743795,-0.655264112,1.090606883,1.29e-11,0.306867091,0.693132909,"ENSG00000172497",134526
"ACOT13","6",3,24667491,24701843,423,1.71e-06,4.16e-06,3.1e-07,16,42,6,19.45853563,45.51646471,4.481570591,0.486056935,0.254939975,-0.710508326,3.43e-05,0.204678037,0.79528767,"ENSG00000112304",55856
"ACOT4","14",3,74058663,74062358,1266,8.35e-06,1.71e-05,6.72e-07,53,136,10,72.61113235,151.0382059,7.561554817,1.426758499,0.598506657,-0.878409737,4.21e-08,0.058226341,0.941773617,"ENSG00000177465",122970
"ACOT6","14",2,74083878,74086543,624,1.94e-06,4.77e-06,2.55e-07,27,50,4,22.870298,54.920067,3.73271275,-0.535342876,0.324729824,-0.137042625,0.001523887,0.444703616,0.553772497,"ENSG00000205669",641372
"ACOT8","20",6,44470476,44485954,960,5.63e-06,1.18e-05,1.11e-06,62,133,9,60.79312723,125.3870603,14.11126003,-0.095958338,-0.332537148,1.347828946,3.57e-05,0.81811029,0.181854025,"ENSG00000101473",10005
"ACOT9","X",16,23722010,23761261,1347,4.98e-06,1.25e-05,1.46e-06,33,92,10,43.10668086,98.42282991,16.62512816,0.954301703,0.31666129,1.609538777,1.91e-05,0.889292965,0.110687943,"ENSG00000123130",23597
"ACOX1","17",14,73942828,73975154,1983,8.55e-06,2.1e-05,1.81e-06,89,179,7,101.6911352,241.8713358,26.0932707,0.780202448,1.977319131,3.702591251,0.094435306,0.905495422,6.93e-05,"ENSG00000161533",51
"ACOX2","3",14,58490950,58520833,2046,9.79e-06,2.27e-05,1.55e-06,117,261,17,116.790151,263.6143207,23.42183149,-0.012035157,0.07875668,1.314432145,1.55e-09,0.585002571,0.414997427,"ENSG00000168306",8309
"ACOX3","4",17,8368687,8418248,2103,1.37e-05,2.68e-05,1.92e-06,143,307,21,145.0149665,281.341889,26.56331857,0.103733274,-0.748210395,1.069257921,3.03e-12,0.259265349,0.740734651,"ENSG00000087008",8310
"ACOXL","2",17,111525966,111875393,1743,8.61e-06,1.97e-05,1.55e-06,66,177,17,80.27517257,179.1183643,22.02816638,0.987734216,0.077420202,1.061231487,6.28e-10,0.400098611,0.599901388,"ENSG00000153093",55289
