"gene","chr","n_exons","cds_start","cds_end","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull","ensembl_gene_id","entrezgene_id"
"ABR","17",23,909319,1083021,2580,1.62e-05,3.05e-05,2.26e-06,182,160,1,178.0776893,326.6506788,32.13363374,-0.182215575,4.510054713,5.440509313,0.999949479,5.05e-05,1.49e-12,"ENSG00000159842",29
"ACACA","17",56,35444250,35766389,7152,2.49e-05,7.02e-05,7.24e-06,277,375,9,303.2137138,813.8400878,104.0544555,0.933261542,7.524076382,9.230640151,1,5.64e-11,1.32e-32,"ENSG00000278540",31
"ACAN","15",17,89379437,89417712,7593,3.74e-05,7.91e-05,3.54e-06,339,772,2,396.2214051,832.5224446,42.21535387,1.782128297,1.02596998,6.131212837,0.999993945,6.06e-06,1.71e-15,"ENSG00000157766",176
"ACAP2","3",23,195000056,195163576,2337,8.18e-06,2.08e-05,2.81e-06,83,144,3,97.71847463,234.4778722,39.66325017,0.923046939,2.890067527,5.76668863,0.999918185,8.18e-05,1.97e-13,"ENSG00000114331",23527
"ACBD3","1",8,226334310,226374376,1587,8.4e-06,1.83e-05,1.69e-06,59,112,2,69.895397,166.7726839,20.7574815,0.807919892,2.074522544,4.078278221,0.98182333,0.018176151,5.19e-07,"ENSG00000182827",64746
"ACE2","X",18,15580027,15619034,2418,7.75e-06,1.97e-05,2.26e-06,47,135,1,67.130567,160.3875132,24.34409693,1.523159464,0.980508012,4.686729531,0.999070361,0.000929637,1.79e-09,"ENSG00000130234",59272
"ACHE","7",4,100488578,100491853,1854,1.3e-05,2.63e-05,1.44e-06,141,137,0,137.8539542,277.7401976,16.52088999,-0.16611104,4.130620011,4.026302611,0.996674942,0.00332486,1.98e-07,"ENSG00000087085",43
"ACIN1","14",19,23528356,23564495,4026,1.54e-05,4.65e-05,4.16e-06,198,390,4,180.5413219,530.2902909,54.65486924,-0.805514039,2.979801065,6.787291212,0.999998437,1.56e-06,2.59e-18,"ENSG00000100813",22985
"ACLY","17",28,40024062,40070126,3306,1.72e-05,3.75e-05,3.25e-06,177,285,7,199.6880688,423.1442013,47.18409178,0.995340005,3.284769671,5.79490161,0.99641498,0.00358502,3.31e-12,"ENSG00000131473",47
"ACSL4","X",14,108887257,108926715,2136,6.67e-06,1.74e-05,1.95e-06,57,92,1,56.94480176,140.1866443,20.28256704,-0.004534835,1.990625207,4.241242232,0.99576765,0.004232277,7.23e-08,"ENSG00000068366",2182
"ACTB","7",5,5567378,5569288,1128,8.67e-06,1.67e-05,5.67e-07,128,12,0,98.52184865,188.3702958,8.448675663,-1.841125568,6.285441098,2.879280796,0.935803217,0.063906187,0.000290596,"ENSG00000075624",60
"ACTC1","15",6,35082612,35087009,1134,5.64e-06,1.39e-05,5.7e-07,55,24,0,66.394823,159.7026268,8.9777343,0.866941532,5.252289143,2.968062622,0.946770309,0.053048127,0.000181565,"ENSG00000159251",70
"ACTL6A","3",14,179280880,179305798,1290,4.61e-06,1.17e-05,1.18e-06,56,66,1,56.12091196,135.7391129,18.64574584,0.010005743,2.927792452,4.04799406,0.992221335,0.007778345,3.2e-07,"ENSG00000136518",86
"ACTL6B","7",14,100240868,100253977,1281,8.37e-06,1.63e-05,1.63e-06,87,61,2,87.83823448,168.0400017,21.69511156,0.055446082,4.038836117,4.188583087,0.987130695,0.012869083,2.22e-07,"ENSG00000077080",51412
"ACTN1","14",22,69341575,69445773,2745,1.51e-05,3.4e-05,2.77e-06,163,236,3,178.6673275,390.329273,40.10230296,0.726642871,3.820755846,5.803712759,0.999930574,6.94e-05,1.32e-13,"ENSG00000072110",87
"ACTN2","1",21,236849973,236925919,2685,1.55e-05,3.25e-05,2.23e-06,156,299,2,178.811076,368.0333342,33.02788791,1.057543934,1.760076545,5.348124676,0.999811916,0.000188084,7.39e-12,"ENSG00000077522",88
"ACTN4","19",21,39138385,39220072,2736,1.94e-05,3.78e-05,2.27e-06,202,180,0,208.2583131,402.0611867,32.00367665,0.268846707,5.416802183,5.603890654,0.999989805,1.02e-05,1.49e-13,"ENSG00000130402",81
"ACTR1A","10",11,104240619,104262404,1131,5.78e-06,1.32e-05,1.53e-06,50,63,3,70.056713,153.738346,21.91644518,1.485539725,3.57944806,4.002618693,0.941234074,0.05876398,1.95e-06,"ENSG00000138107",10121
"ACTR2","2",10,65455043,65495868,1200,4.18e-06,1.11e-05,1.55e-06,37,30,1,48.73830226,125.7855775,21.29374629,1.042364253,4.17735336,4.356381443,0.997096541,0.00290343,2.88e-08,"ENSG00000138071",10097
"ACTR3","2",12,114647856,114715032,1257,4.33e-06,1.2e-05,1.26e-06,49,46,0,49.60724033,131.3819823,18.37567043,0.05344872,3.64346716,4.246305971,0.998335664,0.0016643,3.66e-08,"ENSG00000115091",10096
"ACTR3B","7",12,152456967,152551638,1257,6.71e-06,1.44e-05,1.37e-06,45,51,0,70.20099644,145.962344,17.33667168,1.86464254,3.844566122,4.124511645,0.99754718,0.002452726,9.43e-08,"ENSG00000133627",57180
"ACVR1","2",9,158594042,158656005,1530,6.6e-06,1.51e-05,1.29e-06,72,105,2,78.519021,174.9026385,18.35127405,0.456083461,2.585304058,3.781012748,0.956448193,0.043547277,4.53e-06,"ENSG00000115170",90
"ACVR1B","12",10,52345527,52387894,1641,7.94e-06,1.89e-05,1.52e-06,75,85,0,84.15730033,199.8204299,19.49497798,0.618829497,3.972972912,4.373721141,0.998904331,0.001095656,1.32e-08,"ENSG00000135503",91
"ACVR2A","2",11,148602721,148684843,1542,5.22e-06,1.29e-05,1.3e-06,65,82,1,63.744273,150.2398803,19.31448718,-0.097504615,2.723091339,4.128029976,0.993932262,0.006067564,1.74e-07,"ENSG00000121989",92
"ACVR2B","3",11,38495813,38524823,1539,9.47e-06,1.94e-05,1.42e-06,109,114,1,101.1697122,207.291165,18.97284002,-0.482616998,3.169324385,4.087335319,0.993110896,0.006888866,2.38e-07,"ENSG00000114739",93
"ADAD1","4",11,123301224,123350894,1731,5.47e-06,1.46e-05,1.36e-06,71,175,2,66.19828192,169.0630272,19.88579656,-0.365866762,-0.223336228,3.973073038,0.974992287,0.025006572,1.14e-06,"ENSG00000164113",132612
"ADAM10","15",16,58889745,59041733,2247,7.12e-06,2.01e-05,2.09e-06,86,129,1,83.2677378,225.4944897,29.12743242,-0.185623555,3.14304825,5.162602016,0.999844507,0.000155493,2.3e-11,"ENSG00000137845",102
"ADAM17","2",19,9630305,9695734,2475,1.05e-05,2.38e-05,2.09e-06,110,212,3,121.0020259,268.3211467,30.3752106,0.620047268,1.681744822,4.920253402,0.997367645,0.002632354,9.28e-10,"ENSG00000151694",6868
"ADAM22","7",31,87563780,87825806,2721,1.16e-05,2.72e-05,3.14e-06,109,220,6,140.080927,312.3397131,47.51336215,1.627996993,2.555590936,5.965813836,0.999388899,0.000611101,2.19e-13,"ENSG00000008277",53616
"ADAM23","2",26,207308590,207482351,2499,1.16e-05,2.66e-05,2.58e-06,96,201,5,111.796822,257.6055019,37.69850396,0.92619803,1.725033351,5.275401471,0.995404041,0.004595959,1.48e-10,"ENSG00000114948",8745
"ADAMTS10","19",24,8645776,8670595,3312,2.48e-05,5.18e-05,3.04e-06,192,285,6,232.7908839,480.5123895,38.18181012,1.657409271,4.362530349,5.159075986,0.98034624,0.019653759,1.06e-09,"ENSG00000142303",81794
"ADAMTS19","5",23,128796102,129072911,3624,1.7e-05,3.93e-05,3.64e-06,129,295,9,171.5907394,402.2242395,48.94143767,2.015660372,2.61502081,5.655552589,0.951958941,0.048041059,8.05e-11,"ENSG00000145808",171019
"ADAMTS2","5",22,178540867,178772329,3636,2.85e-05,5.56e-05,2.94e-06,223,412,5,267.0985315,532.1812548,36.2802481,1.672775082,2.548141497,5.144282045,0.992213475,0.007786524,5.38e-10,"ENSG00000087116",9509
"ADAMTS6","5",24,64447662,64769500,3354,1.1e-05,3.1e-05,3.24e-06,129,252,6,132.5194068,355.6908302,45.70852192,0.189530172,2.689183111,5.818014749,0.998800473,0.001199527,1.13e-12,"ENSG00000049192",11174
"ADAR","1",15,154557281,154580482,3681,1.54e-05,3.71e-05,2.47e-06,205,297,6,179.7872088,423.4333792,33.83685009,-1.165711706,3.005285202,4.740398262,0.907595373,0.092404575,5.12e-08,"ENSG00000160710",103
"ADCK5","8",15,145597784,145618289,1743,1.29e-05,2.63e-05,1.5e-06,103,146,2,105.5449924,208.9560851,16.2221344,0.153574259,2.130231347,3.497844148,0.908275225,0.09169485,2.99e-05,"ENSG00000173137",203054
"ADCY1","7",20,45614142,45753594,3360,2.42e-05,4.64e-05,2.46e-06,200,212,2,256.0654189,490.3818617,34.98768879,2.172045306,6.148797824,5.524384794,0.99990962,9.04e-05,1.24e-12,"ENSG00000164742",107
"ADCY2","5",25,7396409,7826984,3276,1.81e-05,3.87e-05,2.56e-06,182,211,1,208.4951705,434.9142398,38.59132193,1.137545124,5.251655966,5.994216666,0.999995486,4.51e-06,4.14e-15,"ENSG00000078295",108
"ADCY5","3",21,123003454,123167392,3786,3.13e-05,5.88e-05,2.61e-06,242,296,5,305.6968804,574.2010337,35.58932029,2.258511098,5.678625141,5.079251151,0.989940592,0.010059407,1.01e-09,"ENSG00000173175",111
"ADCY9","16",10,4015775,4165443,4062,2.94e-05,5.38e-05,2.24e-06,306,452,4,323.077101,593.4372415,28.63055012,0.5889935,2.839832616,4.559832819,0.974310442,0.025689508,4.99e-08,"ENSG00000162104",115
"ADD2","2",14,70890556,70933540,2181,1.23e-05,2.5e-05,2.14e-06,125,208,2,139.4702736,276.9139293,29.07366378,0.759601995,2.025587118,4.973783558,0.999175207,0.000824793,2.71e-10,"ENSG00000075340",119
"ADD3","10",14,111860411,111893376,2121,7e-06,1.83e-05,1.89e-06,93,229,4,84.44948768,211.5260456,26.91817421,-0.576823543,-0.58766112,4.375693864,0.952357437,0.047642331,2.32e-07,"ENSG00000148700",120
"ADNP","20",3,49507941,49520533,3309,1.15e-05,2.85e-05,2.01e-06,194,285,1,130.7075888,322.5242864,23.90372076,-3.432026256,1.021992785,4.640481297,0.9989041,0.001095897,2.68e-09,"ENSG00000101126",23394
"ADRM1","20",9,60878624,60883817,1224,9.72e-06,1.63e-05,8.57e-07,105,121,0,101.4125284,168.2755971,11.95473533,-0.22084912,1.782555107,3.42499357,0.981917517,0.018069979,1.25e-05,"ENSG00000130706",11047
"AEBP2","12",9,19592633,19671654,1554,1.08e-05,2.05e-05,1.41e-06,51,54,1,74.19844794,146.4783304,13.61187818,1.669594574,3.737400738,3.386182567,0.950982696,0.048987236,3.01e-05,"ENSG00000139154",121536
"AFF2","X",21,147582617,148072862,3936,1.43e-05,3.58e-05,2.62e-06,140,256,2,118.577693,284.5578417,27.98366031,-1.219590502,0.828048912,4.865615148,0.998760604,0.001239395,7.31e-10,"ENSG00000155966",2334
"AFF3","2",23,100167935,100720916,3756,2.3e-05,4.3e-05,3.02e-06,210,385,5,259.5227326,480.0015134,41.56186841,1.905750757,2.12092662,5.617855106,0.998912591,0.001087409,4.4e-12,"ENSG00000144218",3899
"AFF4","5",20,132216750,132272881,3492,1.21e-05,3.18e-05,2.88e-06,141,278,1,143.3778765,365.0968477,40.11933027,0.123112442,2.229536937,6.11792699,0.999997451,2.55e-06,1.03e-15,"ENSG00000072364",27125
"AFTPH","2",9,64778608,64819169,2811,8.72e-06,2.2e-05,1.56e-06,113,274,1,101.1660995,249.8100468,21.10806164,-0.729390101,-0.748595913,4.335465743,0.996888388,0.003111578,3.41e-08,"ENSG00000119844",54812
"AGAP1","2",18,236403330,237032766,2574,1.84e-05,3.54e-05,2.75e-06,204,312,4,214.9680939,405.9434858,38.55621208,0.463760615,2.280606845,5.512754331,0.999356436,0.000643564,6.06e-12,"ENSG00000157985",116987
"AGAP2","12",19,58120334,58132029,3579,2.89e-05,5.57e-05,3.28e-06,161,203,4,230.8944157,455.8937749,38.03798673,2.851577148,5.793257743,5.466946253,0.999218902,0.000781098,9.71e-12,"ENSG00000135439",116986
"AGAP3","7",18,150783828,150841030,2736,2.02e-05,4.05e-05,2.3e-06,192,244,4,214.2888978,427.9637398,31.59690216,0.943926574,4.349557943,4.863263106,0.991380425,0.008619571,3.41e-09,"ENSG00000133612",116988
"AGFG1","2",14,228337137,228419211,1755,6.91e-06,1.56e-05,1.33e-06,86,146,2,77.96995565,169.3493393,19.31878925,-0.563772,0.877604012,3.903168013,0.969265962,0.030732137,1.9e-06,"ENSG00000173744",3267
"AGO1","1",19,36349022,36385208,2574,1.16e-05,3.08e-05,2.9e-06,136,100,0,137.1155611,349.435941,39.87690145,0.059062868,6.526670924,6.255332328,0.999999463,5.37e-07,1.14e-16,"ENSG00000092847",26523
"AGO2","8",19,141542142,141645605,2580,1.83e-05,3.6e-05,2.33e-06,176,83,0,204.177157,396.190515,32.73660897,1.222485442,7.696140897,5.667695965,0.999992249,7.75e-06,7.63e-14,"ENSG00000123908",27161
"AGO3","1",19,36397027,36521346,2583,9.47e-06,2.64e-05,2.69e-06,90,108,0,112.8558398,301.5258121,37.82359873,1.333779233,5.451213177,6.092157518,0.999998844,1.16e-06,7.42e-16,"ENSG00000126070",192669
"AGO4","1",18,36274017,36319206,2586,8.54e-06,2.56e-05,2.59e-06,85,158,5,100.9611803,292.1908068,35.61717681,0.98477673,3.839776252,5.081888446,0.990043812,0.009956187,9.81e-10,"ENSG00000134698",192670
"AGPAT1","6",6,32137052,32139273,852,4.46e-06,1.06e-05,8.87e-07,35,45,0,52.15749954,120.682618,12.36533028,1.472804424,3.369691654,3.483313384,0.984453681,0.015537695,8.62e-06,"ENSG00000204310",10554
"AGPAT3","21",8,45379562,45402273,1131,7.46e-06,1.47e-05,1.06e-06,74,81,0,87.31679445,169.1006051,15.14758561,0.883486965,3.313772992,3.855329165,0.994454771,0.005544538,6.91e-07,"ENSG00000160216",56894
"AGPS","2",20,178257517,178402923,1977,8.59e-06,2e-05,1.88e-06,75,89,2,77.4278553,184.4737615,28.08154121,0.171050547,3.438217402,4.87542458,0.998805102,0.001194897,6.69e-10,"ENSG00000018510",8540
"AHCTF1","1",36,247004107,247094629,6828,2.26e-05,5.76e-05,5.76e-06,227,575,3,256.7187367,631.2195533,75.47400745,1.149874711,1.094495477,8.263675448,1,1.25e-10,1.34e-27,"ENSG00000153207",25909
"AHCY","20",10,32868839,32891076,1299,8.02e-06,1.68e-05,8.87e-07,92,134,1,90.07908733,185.2163129,13.23997674,-0.125471327,1.840708594,3.332167002,0.944069807,0.055888306,4.19e-05,"ENSG00000101444",191
"AHCYL1","1",17,110527674,110564302,1593,7.21e-06,1.71e-05,1.96e-06,81,64,1,84.31156422,192.9578719,28.39189163,0.223582873,4.540807938,5.092306425,0.99979528,0.00020472,4.49e-11,"ENSG00000168710",10768
"AHCYL2","7",17,128864917,129066886,1836,9.59e-06,2.06e-05,1.83e-06,72,93,4,85.41158846,194.1110696,26.74098337,0.899645318,3.549687485,4.356224896,0.949258836,0.050740892,2.72e-07,"ENSG00000158467",23382
"AHDC1","1",1,27873814,27878626,4812,3.25e-05,6.83e-05,2.23e-06,339,502,1,368.8346,774.333966,25.65977553,0.963061138,4.786897956,4.822279879,0.999431448,0.000568552,5.41e-10,"ENSG00000126705",27245
"AHR","7",11,17338888,17382688,2547,8.68e-06,2.23e-05,2.35e-06,126,265,1,100.1920209,248.8955445,29.65060898,-1.598406698,-0.499292579,5.212028479,0.999872137,0.000127863,1.43e-11,"ENSG00000106546",196
"AHSA1","14",9,77924532,77935592,1017,4.32e-06,1.04e-05,9.56e-07,39,60,1,44.55595754,103.8719693,12.97161773,0.516007077,2.105497048,3.292649328,0.938521221,0.061425606,5.32e-05,"ENSG00000100591",10598
"AIFM1","X",16,129263531,129299630,1842,7.87e-06,1.79e-05,2.04e-06,59,86,2,64.67974919,139.7003815,21.21382719,0.437818924,2.22226162,4.132320681,0.984631568,0.015368089,3.44e-07,"ENSG00000156709",9131
"AJAP1","1",5,4715485,4834559,1236,9.27e-06,1.83e-05,8.62e-07,80,154,0,100.6098036,197.0195953,11.37024513,1.273805362,1.499091429,3.340217136,0.977592767,0.022386032,2.12e-05,"ENSG00000196581",55966
"AKAP10","17",15,19809539,19880992,1989,7.38e-06,1.81e-05,1.89e-06,90,173,4,79.23290361,183.6510563,25.92110352,-0.749886217,0.384427239,4.265061999,0.932283431,0.067716005,5.64e-07,"ENSG00000108599",11216
"AKAP4","X",6,49955602,49965540,2565,8.66e-06,2.12e-05,1.34e-06,71,170,0,68.99922978,165.592317,12.35210705,-0.149322246,-0.167536103,3.481450849,0.98437775,0.015613522,8.73e-06,"ENSG00000147081",8852
"AKAP6","14",12,32902699,33293979,6960,2.39e-05,5.79e-05,4.28e-06,329,769,6,275.417584,660.5008579,53.57598504,-2.001593253,-2.064932632,6.438614308,0.999936668,6.33e-05,8.74e-16,"ENSG00000151320",9472
"AKAP8","19",14,15465725,15490542,2079,1.36e-05,2.81e-05,1.47e-06,150,308,2,149.5395259,301.9761989,20.86927055,-0.023345394,-0.169551086,4.091581165,0.982554657,0.017444873,4.69e-07,"ENSG00000105127",10270
"AKIRIN2","6",5,88385314,88411402,612,4.77e-06,8.58e-06,1.01e-06,26,37,0,33.7723429,67.63635597,11.10837554,0.829126208,1.82206334,3.301528547,0.975340569,0.024632579,2.69e-05,"ENSG00000135334",55122
"AKT1","14",13,105236677,105258980,1443,9.33e-06,2.02e-05,1.45e-06,105,97,2,103.5979792,218.8011822,20.52525015,-0.08539291,4.027570836,4.050508219,0.980206587,0.019792772,6.41e-07,"ENSG00000142208",207
"AKT2","19",13,40739778,40771174,1446,8.71e-06,1.93e-05,1.13e-06,92,111,0,101.0521448,215.594525,17.64800523,0.558246646,3.484227098,4.1613818,0.997816207,0.002183722,7.1e-08,"ENSG00000105221",208
"AKT3","1",13,243668550,244006472,1440,4.21e-06,1.24e-05,1.54e-06,61,44,0,50.87384808,139.3788473,22.09517926,-0.880129271,3.95157235,4.656273316,0.999585399,0.0004146,1.24e-09,"ENSG00000117020",10000
"ALAS1","3",10,52233257,52248196,1923,7.34e-06,1.95e-05,1.45e-06,95,213,3,87.328115,225.4578217,20.62056141,-0.508949629,0.405812281,3.843786052,0.907956554,0.092037332,6.11e-06,"ENSG00000023330",211
"ALAS2","X",10,55035612,55052433,1764,6.39e-06,1.79e-05,1.1e-06,65,86,0,45.90917309,121.1324688,10.63117102,-1.746725014,1.561331924,3.229834166,0.970654598,0.029304128,4.13e-05,"ENSG00000158578",212
"ALB","4",14,74270044,74286015,1830,6.72e-06,1.6e-05,1.82e-06,88,174,3,80.66329779,183.4594173,25.82376777,-0.506421618,0.341593869,4.449048978,0.985726825,0.014273117,5.8e-08,"ENSG00000163631",213
"ALCAM","3",15,105086252,105290783,1752,6.79e-06,1.5e-05,1.4e-06,79,167,2,82.26797737,174.8946302,21.96135886,0.223364117,0.291983543,4.219395423,0.988336238,0.011663587,1.75e-07,"ENSG00000170017",214
"ALDH1A1","9",13,75516123,75567916,1506,5.79e-06,1.35e-05,1.23e-06,70,118,1,70.63263459,157.36456,19.2785804,0.046665568,1.534860043,4.123771689,0.993850729,0.006149091,1.8e-07,"ENSG00000165092",216
"ALDH1A3","15",13,101420112,101454978,1539,9.11e-06,1.82e-05,1.14e-06,84,121,2,91.22579833,180.4598423,16.77447319,0.469004002,2.164958809,3.573363851,0.924100685,0.075880907,1.84e-05,"ENSG00000184254",220
"ALG13","X",27,110924446,111003227,3414,1.26e-05,3.02e-05,2.86e-06,98,202,2,91.38007121,204.8541994,26.1946258,-0.429316021,0.097539027,4.682766621,0.99758296,0.002417037,3.73e-09,"ENSG00000101901",79868
"AMBRA1","11",18,46418999,46569930,3627,1.6e-05,4.16e-05,2.86e-06,181,322,2,182.7384895,463.2511526,38.08694514,0.07972767,3.209965131,5.792309438,0.999971641,2.84e-05,7.36e-14,"ENSG00000110497",55626
"AMD1","6",9,111196308,111214819,1005,3.22e-06,9.81e-06,7.24e-07,36,62,1,38.36221063,110.9921651,11.66415321,0.236437401,2.274558585,3.093067956,0.903413518,0.096418051,0.000168431,"ENSG00000123505",262
"AMER1","X",1,63409758,63413166,3408,1.13e-05,3.09e-05,2.28e-06,114,311,2,88.3899,241.0856674,18.16437154,-1.688726829,-2.202402964,3.756974833,0.953441253,0.046553393,5.35e-06,"ENSG00000184675",139285
"AMMECR1","X",6,109441747,109561299,1002,6.55e-06,1.27e-05,8.49e-07,31,46,0,38.93937656,78.90153942,7.504527365,0.788753861,1.811714975,2.713634519,0.910792997,0.088538552,0.00066845,"ENSG00000101935",9949
"AMMECR1L","2",6,128622667,128631808,933,4.27e-06,1.02e-05,1.22e-06,50,56,0,49.70187013,114.9278654,15.76094226,-0.026216143,2.688590548,3.932608837,0.995586602,0.004413003,3.95e-07,"ENSG00000144233",83607
"AMOT","X",11,112021794,112066354,3255,1.27e-05,3.28e-05,2.63e-06,70,156,1,76.09317691,183.2089945,17.64031754,0.433032619,0.983231124,3.924624949,0.988710203,0.011289001,7.96e-07,"ENSG00000126016",154796
"ANAPC2","9",13,140069393,140082984,2469,1.68e-05,3.67e-05,1.69e-06,204,234,2,172.6047747,372.6654832,21.724296,-1.481447492,3.513381217,4.191971569,0.987268624,0.01273116,2.16e-07,"ENSG00000176248",29882
"ANAPC7","12",11,110811948,110841534,1800,7.97e-06,1.81e-05,1.51e-06,63,113,0,84.65581529,190.1064761,20.53760889,1.459135693,2.735325021,4.489155448,0.99925787,0.000742125,5.12e-09,"ENSG00000196510",51434
"ANGPT1","8",9,108264082,108509786,1497,5e-06,1.31e-05,1.38e-06,53,119,1,59.80820194,150.3972316,19.06038018,0.545759627,1.252239796,4.097801006,0.993331324,0.006668457,2.19e-07,"ENSG00000154188",284
"ANK1","8",43,41513245,41753998,5694,3.64e-05,7.16e-05,4.8e-06,363,637,1,404.1694298,784.2517446,69.54400784,1.269528018,2.571870078,8.141967013,1,4.24e-11,2.35e-27,"ENSG00000029534",286
"ANK2","4",46,113970884,114302627,11874,4.58e-05,0.00010755,8.4e-06,533,1135,7,525.0841497,1210.592197,110.4278371,-0.214158532,1.062657698,9.749623885,1,1.92e-13,3.16e-37,"ENSG00000145362",287
"ANK3","10",43,61802448,62149296,13134,5.14e-05,0.00011846,7.71e-06,626,1215,5,596.09933,1350.665991,103.9801169,-0.759226735,1.805566793,9.615292727,1,7.92e-14,8.89e-37,"ENSG00000151150",288
"ANKFY1","17",25,4071072,4167025,3636,2.08e-05,4.27e-05,2.98e-06,206,329,6,221.7776451,436.0311186,41.69102533,0.656797679,2.507077374,5.475545922,0.994632888,0.005367112,4.38e-11,"ENSG00000185722",51479
"ANKHD1","5",36,139781552,139928822,7854,2.9e-05,6.9e-05,5.74e-06,299,558,3,322.9470142,762.5496983,77.33180146,0.826104509,3.623107729,8.373080722,1,6.23e-11,2.46e-28,"ENSG00000131503",54882
"ANKHD1-EIF4EBP3","5",36,139781552,139928822,7854,2.9e-05,6.9e-05,5.74e-06,299,558,3,322.9470142,762.5496983,77.33180146,0.826104509,3.623107729,8.373080722,1,6.23e-11,2.46e-28,"ENSG00000254996",404734
"ANKIB1","7",19,91924292,92028263,3270,1.04e-05,2.94e-05,2.89e-06,106,213,2,110.1680071,299.0612048,34.3592111,0.246178132,2.434130057,5.468472582,0.999885675,0.000114325,2.2e-12,"ENSG00000001629",54467
"ANKRD11","16",11,89334885,89383427,7992,6.09e-05,0.000105652,4.68e-06,684,981,3,678.1905152,1174.519662,56.04948094,-0.13829688,2.761926525,7.019158022,0.999999822,1.78e-07,6.47e-20,"ENSG00000167522",29123
"ANKRD12","18",12,9182430,9281124,6189,1.83e-05,4.77e-05,4.3e-06,293,601,5,211.7820667,542.257039,53.06175705,-3.459844632,-1.233871721,6.535796815,0.999985244,1.48e-05,1.24e-16,"ENSG00000101745",23253
"ANKRD13B","17",15,27920639,27940600,1881,1.37e-05,2.87e-05,1.57e-06,86,121,2,111.616415,239.761625,19.46564169,1.503154272,3.751480283,3.921388307,0.970860716,0.029137618,1.67e-06,"ENSG00000198720",124930
"ANKRD13C","1",13,70728399,70820091,1626,7.62e-06,1.67e-05,1.79e-06,76,118,1,89.47197708,188.6653285,24.41763684,0.882952612,2.51638224,4.694409124,0.999095558,0.00090444,1.68e-09,"ENSG00000118454",81573
"ANKRD13D","11",15,67056931,67069803,1818,1.14e-05,2.54e-05,1.48e-06,102,164,1,97.57220438,209.758943,16.78829476,-0.277890978,1.545367707,3.816995297,0.984538264,0.015460013,1.72e-06,"ENSG00000172932",338692
