"Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","ENU_A","CTL_A","ENU_B","CTL_B","ENU_C","CTL_C"
"ENSG00000002330.14","ENSG00000002330","BAD",572,"protein_coding","11",64269830,64284704,53.92,682.052244057051,623.893304793003,685.880361730686,618.50904746894,486.161751624893,343.000107394264
"ENSG00000002549.13","ENSG00000002549","LAP3",51056,"protein_coding","4",17577198,17607972,44.16,614.440108559222,555.744959192537,470.05968777589,523.045264526263,964.606650049391,957.403212386901
"ENSG00000002586.20","ENSG00000002586","CD99",4267,"protein_coding","X",2691187,2741309,47.38,3807.63078856197,3475.56562562379,4198.89855715194,3683.77891825859,4169.30554341348,4274.18094990813
"ENSG00000002586.20_PAR_Y","ENSG00000002586","CD99",4267,"protein_coding","X",2691187,2741309,47.38,3807.63078856197,3475.56562562379,4198.89855715194,3683.77891825859,4169.30554341348,4274.18094990813
"ENSG00000002726.21","ENSG00000002726","AOC1",26,"protein_coding","7",150824627,150861504,47.8,2.37235563150279,9.59835853527698,11.299511725382,8.02216663383839,0,3.33009813004139
"ENSG00000002745.13","ENSG00000002745","WNT16",51384,"protein_coding","7",121325367,121341104,38.61,980.969053626402,825.45883403382,714.129141044141,645.78441402399,206.150221210556,318.856895951463
"ENSG00000002746.15","ENSG00000002746","HECW1",23072,"protein_coding","7",43112629,43566001,42.03,15.4203116047681,8.63852268174928,3.38985351761459,11.2310332873737,30.8674128015805,25.8082605078208
"ENSG00000002822.16","ENSG00000002822","MAD1L1",8379,"protein_coding","7",1815793,2233243,55.65,292.985920490594,331.143369467056,344.63510762415,360.195281859344,427.734148821901,388.788956682333
"ENSG00000002834.18","ENSG00000002834","LASP1",3927,"protein_coding","17",38869859,38921770,53.69,13178.435532998,13674.7814052091,13716.4772834412,15403.3621536331,14243.1061927293,14067.1670258274
"ENSG00000002919.15","ENSG00000002919","SNX11",29916,"protein_coding","17",48103357,48123601,48.03,231.304674071522,251.476993624257,196.611504021646,294.413515461869,262.373008813434,232.274344570387
"ENSG00000002933.9","ENSG00000002933","TMEM176A",55365,"protein_coding","7",150800403,150805118,57.55,1105.5177242803,2809.43954327557,2205.66468879456,3516.11563561137,303.162090015523,432.912756905381
"ENSG00000003056.8","ENSG00000003056","M6PR",4074,"protein_coding","12",8940361,8949761,42.37,1419.85484545442,1412.87837639277,1483.62588954265,1471.26536064596,1780.38827409116,1828.22387339273
"ENSG00000003096.15","ENSG00000003096","KLHL13",90293,"protein_coding","X",117897813,118117340,36.56,100.825114338868,180.449140463207,167.232773535653,180.498749261364,361.589692818515,328.014665809077
"ENSG00000003137.9","ENSG00000003137","CYP26B1",56603,"protein_coding","2",72129238,72147862,59.85,252.655874755047,237.079455821341,201.131308711799,244.676082332071,25.3553748012983,43.2912756905381
"ENSG00000003249.15","ENSG00000003249","DBNDD1",79007,"protein_coding","16",90004871,90019890,59.3,358.225700356921,348.420414830554,284.747695479626,314.468932046465,235.91522641208,210.628706725118
"ENSG00000003393.16","ENSG00000003393","ALS2",57679,"protein_coding","2",201700267,201782112,38.18,747.292023923378,750.59163745866,839.553721195881,762.105830214647,806.962363241319,820.869189055204
"ENSG00000003400.16","ENSG00000003400","CASP10",843,"protein_coding","2",201182872,201229428,42.31,22.5373784992765,16.3172095099709,10.1695605528438,6.41773330707071,9.92166840050802,15.8179661176966
"ENSG00000003402.21","ENSG00000003402","CFLAR",8837,"protein_coding","2",201116154,201176687,44.35,1928.72512841177,2074.20527947335,1785.32285261035,2152.34730785884,1529.03934127829,1615.09759307008
"ENSG00000003436.16","ENSG00000003436","TFPI",7035,"protein_coding","2",187464230,187565760,36.6,2778.02844448976,2989.88868373878,3266.68883980793,2828.61595509142,3165.01221976206,3512.42100266116
"ENSG00000003509.16","ENSG00000003509","NDUFAF7",55471,"protein_coding","2",37231631,37253403,38.97,236.049385334527,215.003231190204,223.730332162563,218.202932440404,281.113938014394,237.269491765449
"ENSG00000003756.17","ENSG00000003756","RBM5",10181,"protein_coding","3",50088919,50119021,44.45,1413.92395637566,1459.91033321563,1398.87955160229,1501.74959385455,1663.53306848518,1992.23120629726
"ENSG00000003987.14","ENSG00000003987","MTMR7",9108,"protein_coding","8",17296794,17413528,40.26,21.3512006835251,47.9917926763849,21.4690722782258,28.8797998818182,42.9938964022014,25.8082605078208
"ENSG00000003989.18","ENSG00000003989","SLC7A2",6542,"protein_coding","8",17497088,17570573,40.13,3852.70554556053,4133.05318529027,3030.52904474745,3047.6211041952,3868.34826859807,3575.69286713195
"ENSG00000004059.11","ENSG00000004059","ARF5",381,"protein_coding","7",127588386,127591700,56.14,1103.1453686488,1059.65878229458,1141.25068426358,1095.02574551894,1298.63615286649,1153.87900205934
"ENSG00000004139.14","ENSG00000004139","SARM1",23098,"protein_coding","17",28364356,28404049,51.55,179.11285017846,150.694229003849,77.9666309051356,115.519199527273,511.517126426191,360.483122576981
"ENSG00000004142.12","ENSG00000004142","POLDIP2",26073,"protein_coding","17",28346633,28357527,49.87,1696.23427652449,1762.25862707685,1857.6397276528,1731.18355958232,1760.54493729015,1601.77720054991
"ENSG00000004399.13","ENSG00000004399","PLXND1",23129,"protein_coding","3",129555214,129606676,58.3,4018.77043976572,4218.47857625423,4601.16117457554,4942.45686310783,2021.81553850352,2275.28954735078
"ENSG00000004455.18","ENSG00000004455","AK2",204,"protein_coding","1",33007986,33080996,46.32,1437.64751269069,1488.70540882146,1322.04287186969,1512.17841047854,2067.01425010584,1836.54911871783
"ENSG00000004478.8","ENSG00000004478","FKBP4",2288,"protein_coding","12",2794970,2805423,51.53,702.217266924825,678.603948444082,628.252851931238,763.710263541415,918.30553084702,858.332793018169
"ENSG00000004487.18","ENSG00000004487","KDM1A",23028,"protein_coding","1",23019443,23083689,39.17,1555.07911645008,1669.15454928467,1717.52578225806,1631.70869332273,1933.62293049901,1911.47632664376
"ENSG00000004534.15","ENSG00000004534","RBM6",10180,"protein_coding","3",49940007,50100045,44.14,1028.41616625646,995.349780108222,986.447373625847,1004.37526255657,1558.80434647982,1765.78453345445
"ENSG00000004660.15","ENSG00000004660","CAMKK1",84254,"protein_coding","17",3860315,3894891,57.17,98.4527587073656,82.545883403382,150.28350594758,137.179049438636,101.421499205193,110.725762823876
"ENSG00000004700.16","ENSG00000004700","RECQL",5965,"protein_coding","12",21468910,21501669,37.57,989.272298336662,1037.58255766344,1022.60581114707,927.362462871718,1382.41913047078,1443.59753937294
"ENSG00000004766.17","ENSG00000004766","VPS50",55610,"protein_coding","7",93232340,93361123,34.82,277.565608885826,269.713874841283,280.227890789473,292.809082135101,338.439133217329,359.650598044471
"ENSG00000004776.13","ENSG00000004776","HSPB6",126393,"protein_coding","19",35754566,35758079,62.52,3004.58840729828,2430.30438113213,3186.46230655772,2133.09410793763,1209.34113726192,886.638627123521
"ENSG00000004777.19","ENSG00000004777","ARHGAP33",115703,"protein_coding","19",35774532,35788822,60.93,58.1227129718183,56.6303153581342,44.0680957289897,62.5728997439394,119.060020806096,94.0752721736694
"ENSG00000004779.10","ENSG00000004779","NDUFAB1",4706,"protein_coding","16",23581014,23596316,48.72,644.094553953007,554.785123339009,537.856758128182,567.969397675758,494.981012425345,377.133613227188
"ENSG00000004838.14","ENSG00000004838","ZMYND10",51364,"protein_coding","3",50341110,50345732,58.49,5.93088907875697,6.71885097469388,2.2599023450764,3.20886665353535,5.51203800028224,12.4878679876552
"ENSG00000004864.14","ENSG00000004864","SLC25A13",10165,"protein_coding","7",96120220,96322147,39.76,156.575471679184,182.368812170263,109.605263736205,182.905399251515,220.481520011289,267.240374935822
"ENSG00000004866.22","ENSG00000004866","ST7",7982,"protein_coding","7",116953238,117230176,39.15,543.269439614138,403.131058481633,473.449541293505,438.81251487096,496.083420025401,467.046262738306
"ENSG00000004897.12","ENSG00000004897","CDC27",996,"protein_coding","17",47117703,47189422,38.66,1682.00014273548,1739.22256659219,1619.22003024724,1596.41116013384,1958.97830530031,2084.64142940591
"ENSG00000004961.15","ENSG00000004961","HCCS",3052,"protein_coding","X",11111301,11123086,42.97,466.167881590298,403.131058481633,410.172275631366,451.647981485101,487.26415922495,509.505013896333
"ENSG00000004975.12","ENSG00000004975","DVL2",1856,"protein_coding","17",7225342,7234517,55.13,755.595268633638,784.185892332129,1031.64542052737,869.602863108081,870.902004044593,720.133720621451
"ENSG00000005007.14","ENSG00000005007","UPF1",5976,"protein_coding","19",18831959,18868230,55.14,2595.35706086405,2509.0109211214,2750.30115395797,2660.15045578081,2230.17057491419,2144.58319574666
"ENSG00000005020.13","ENSG00000005020","SKAP2",8935,"protein_coding","7",26667068,26995239,36.94,634.605131426996,673.804769176444,775.146504361204,663.433180618435,840.034591243013,771.750241637093
"ENSG00000005022.6","ENSG00000005022","SLC25A5",292,"protein_coding","X",119468422,119471396,52.54,1563.38236116034,1648.99799636058,1564.9823739654,1590.79564349015,1730.77993208862,1587.62428349723
"ENSG00000005059.16","ENSG00000005059","MCUB",55013,"protein_coding","4",109560209,109688719,41.01,194.533161783229,185.248319730846,204.521162229414,178.092099271212,239.222449212249,231.441820037877
"ENSG00000005073.6","ENSG00000005073","HOXA11",3207,"protein_coding","7",27181157,27185232,54.37,0,3.83934341411079,1.1299511725382,4.01108331691919,0,0.832524532510349
"ENSG00000005075.16","ENSG00000005075","POLR2J",5439,"protein_coding","7",102473128,102478922,54.98,366.528945067181,382.974505557551,360.454424039685,409.932714989142,455.294338823313,374.636039629657
"ENSG00000005100.13","ENSG00000005100","DHX33",56919,"protein_coding","17",5440917,5468982,45.78,381.949256671949,369.536803608164,388.70320335314,405.921631672222,545.691762027941,507.007440298802
"ENSG00000005156.12","ENSG00000005156","LIG3",3980,"protein_coding","17",34980512,35009743,47.21,314.337121174119,370.496639461691,372.883886937605,366.613015166414,472.932860424216,555.293863184402
"ENSG00000005175.10","ENSG00000005175","RPAP3",79657,"protein_coding","12",47661249,47706030,36.55,370.087478514435,374.335982875802,314.126425965619,372.228531810101,533.56527842732,520.327832818968
"ENSG00000005187.12","ENSG00000005187","ACSM3",6296,"protein_coding","16",20610243,20797581,41.08,4.74471126300557,0.959835853527698,6.77970703522919,2.40664999015152,4.40963040022579,1.6650490650207
"ENSG00000005189.20","ENSG00000005189","REXO5",81691,"protein_coding","16",20806429,20849665,39.89,40.3300457355474,42.2327775552187,53.1077051092953,50.5396497931818,27.5601900014112,46.6213738205795
"ENSG00000005194.15","ENSG00000005194","CIAPIN1",57019,"protein_coding","16",57428187,57447420,44.27,381.949256671949,460.721209693295,389.833154525678,421.163748276515,539.077316427603,521.992881883989
"ENSG00000005206.17","ENSG00000005206","SPPL2B",56928,"protein_coding","19",2328615,2355095,61.04,787.622069658925,655.567887959417,684.750410558148,715.577263738384,712.155309636465,760.927422714459
"ENSG00000005238.20","ENSG00000005238","ATOSB",80256,"protein_coding","9",35104112,35116341,54.68,517.173527667608,548.066272364315,467.799785430814,568.771614339142,629.474739632231,538.643372534195
"ENSG00000005243.10","ENSG00000005243","COPZ2",51226,"protein_coding","17",48026167,48038030,52.71,453.119925617032,440.564656769213,352.544765831918,354.579765215657,841.136998843069,725.128867816514
"ENSG00000005249.13","ENSG00000005249","PRKAR2B",5577,"protein_coding","7",107044705,107161811,38.61,123.362492838145,189.087663144956,180.792187606112,141.190132755556,182.99966160937,238.10201629796
"ENSG00000005302.19","ENSG00000005302","MSL3",10943,"protein_coding","X",11758159,11775772,42.85,253.842052570798,264.914695573645,249.719209130942,273.555882213889,336.234318017216,387.123907617312
"ENSG00000005339.15","ENSG00000005339","CREBBP",1387,"protein_coding","16",3725054,3880713,45.01,1993.96490827809,1888.95695974251,2372.89746233022,2066.51012487677,1770.46660569065,1848.20446217297
"ENSG00000005379.17","ENSG00000005379","TSPOAP1",9256,"protein_coding","17",58301228,58328795,57.84,39.143867919796,59.5098229187172,100.5656543559,74.606149694697,37.4818584019192,24.9757359753105
"ENSG00000005436.14","ENSG00000005436","GCFC2",6936,"protein_coding","2",75652000,75710985,36.39,173.181961099703,187.167991437901,164.972871190577,143.596782745707,224.891150411515,218.121427517711
"ENSG00000005448.17","ENSG00000005448","WDR54",84058,"protein_coding","2",74421678,74425755,54.68,423.465480223247,384.894177264607,518.647588195033,402.712765018687,300.95727481541,298.876307171215
"ENSG00000005469.12","ENSG00000005469","CROT",54677,"protein_coding","7",87345664,87399794,37.43,392.624857013711,505.833494809097,376.27374045522,458.065714792172,691.209565235392,546.136093326789
"ENSG00000005483.23","ENSG00000005483","KMT2E",55904,"protein_coding","7",104940943,105115019,39.74,1617.9465406849,1652.8373397747,1809.05182723365,1724.76582627525,1369.19023927011,1576.8014645746
"ENSG00000005486.17","ENSG00000005486","RHBDD2",57414,"protein_coding","7",75842602,75888926,47.79,841.000071367738,620.053961378893,785.316064914048,730.819380342677,657.034929633642,619.398252187699
"ENSG00000005700.15","ENSG00000005700","IBTK",25998,"protein_coding","6",82169986,82247754,36.07,1449.5092908482,1563.57260539662,1294.92404372877,1472.06757730934,1695.50288888682,1756.62676359684
"ENSG00000005801.18","ENSG00000005801","ZNF195",7748,"protein_coding","11",3339261,3379222,41.43,59.3088907875697,74.8671965751604,79.0965820776738,68.1884163876263,116.855205605983,119.88353268149
"ENSG00000005810.20","ENSG00000005810","MYCBP2",23077,"protein_coding","13",77042474,77327094,35.75,1666.57983113071,1496.38409564968,1778.54314557512,1691.87494307652,1547.78027047925,1667.54663861823
"ENSG00000005812.11","ENSG00000005812","FBXL3",26224,"protein_coding","13",76992598,77027195,38.36,958.431675127126,1031.82354254227,976.277813073003,1028.44176245808,809.167178441432,869.155611940804
"ENSG00000005882.12","ENSG00000005882","PDK2",5164,"protein_coding","17",50094737,50112152,56.67,383.1354344877,343.621235562916,267.798427891553,396.295031711616,388.047475219869,312.196699691381
"ENSG00000005884.18","ENSG00000005884","ITGA3",3675,"protein_coding","17",50055968,50090481,52.64,4801.64779816164,4641.76618765995,5827.15819677949,5572.19694386414,4850.59344024837,4953.52096843657
"ENSG00000005889.16","ENSG00000005889","ZFX",7543,"protein_coding","X",24149173,24216255,40.77,691.541666583062,693.961322100525,793.225723121815,778.952380145707,714.360124836578,693.49293558112
"ENSG00000005893.16","ENSG00000005893","LAMP2",3920,"protein_coding","X",120426148,120469365,38.61,3520.57575715014,3573.46888268362,3944.65954333085,3368.50776954874,3313.83724576968,3599.00355404224
"ENSG00000005961.19","ENSG00000005961","ITGA2B",3674,"protein_coding","17",44372180,44389649,54.81,13.0479559732653,14.3975378029155,12.4294628979202,8.82438329722223,6.61444560033868,6.66019626008279
"ENSG00000006007.12","ENSG00000006007","GDE1",51573,"protein_coding","16",19501693,19522123,40.14,2396.07918781781,2395.75029040513,3101.71596861735,2635.28173921591,1660.22584568501,1884.83554160343
"ENSG00000006015.18","ENSG00000006015","REX1BD",55049,"protein_coding","19",18588685,18592337,60.22,270.448541991318,298.508950447114,249.719209130942,333.722131967677,367.101730818797,288.886012781091
"ENSG00000006016.12","ENSG00000006016","CRLF1",9244,"protein_coding","19",18572220,18607741,55.32,98.4527587073656,120.93931754449,80.226533250212,83.4305329919192,130.084096806661,94.0752721736694
"ENSG00000006025.12","ENSG00000006025","OSBPL7",114881,"protein_coding","17",47807372,47821803,57.84,158.947827310687,120.93931754449,92.6559961481322,127.55244947803,202.842998410386,181.490348087256
"ENSG00000006042.12","ENSG00000006042","TMEM98",26022,"protein_coding","17",32927910,32945106,48.47,1889.58126049197,2186.5060743361,1830.52089951188,2164.3805578096,1490.45507527632,1400.30626368241
"ENSG00000006062.18","ENSG00000006062","MAP3K14",9020,"protein_coding","17",45263119,45317029,49.97,463.795525958795,489.516285299126,598.874121445245,555.133931061616,343.951171217611,329.679714874098
"ENSG00000006118.15","ENSG00000006118","TMEM132A",54972,"protein_coding","11",60924460,60937159,58.71,2415.05803286984,3106.02882201563,2374.02741350275,3442.31170258005,2410.96542132345,1921.46662103388
"ENSG00000006125.18","ENSG00000006125","AP2B1",163,"protein_coding","17",35578046,35726413,39.93,6763.58590541444,7024.07877611569,7539.03422317486,7577.73860232374,5789.84471549646,6104.90239689839
"ENSG00000006194.11","ENSG00000006194","ZNF263",10127,"protein_coding","16",3283283,3301401,47.36,362.970411619926,380.094997996968,437.291103772283,409.130498325758,421.119703221563,359.650598044471
"ENSG00000006282.21","ENSG00000006282","SPATA20",64847,"protein_coding","17",50543058,50555852,57.05,869.468338945771,733.314592095161,778.536357878818,766.91913019495,862.082743244142,812.5439437301
"ENSG00000006327.14","ENSG00000006327","TNFRSF12A",51330,"protein_coding","16",3018445,3022383,60.12,2838.52351309308,3064.75588031394,2219.22410286502,2979.43268780758,2695.38658213801,2629.94499820019
"ENSG00000006451.8","ENSG00000006451","RALA",5898,"protein_coding","7",39623565,39708120,39.66,1291.74764135327,1338.97101567114,1578.54178803586,1438.37447744722,1319.58189726757,1376.99557677212
"ENSG00000006453.14","ENSG00000006453","BAIAP2L1",55971,"protein_coding","7",98291650,98401090,46.78,476.84348193206,384.894177264607,801.135381329582,563.156097695455,225.993558011572,253.087457883146
"ENSG00000006459.11","ENSG00000006459","KDM7A",80853,"protein_coding","7",140084746,140176983,39.15,153.01693823193,156.453244125015,152.543408292657,113.914766200505,265.680231613604,246.427261623063
"ENSG00000006468.15","ENSG00000006468","ETV1",2115,"protein_coding","7",13891229,13991425,36.3,153.01693823193,189.087663144956,129.944384841893,152.421166042929,114.65039040587,127.376253474083
"ENSG00000006530.18","ENSG00000006530","AGK",55750,"protein_coding","7",141551278,141655244,39.57,302.475343016605,330.183533613528,287.007597824702,390.679515067929,444.270262822748,452.060821153119
"ENSG00000006534.17","ENSG00000006534","ALDH3B1",221,"protein_coding","11",68008578,68029282,58.4,1345.12564306208,1344.7300307923,2032.78215939622,1861.14265905051,964.606650049391,833.357057042859
"ENSG00000006576.17","ENSG00000006576","PHTF2",57157,"protein_coding","7",77798773,77957503,37.66,2394.89301000206,2365.99537894577,2137.86761844227,2456.38742328131,1723.06307888823,1906.4811794487
"ENSG00000006606.9","ENSG00000006606","CCL26",10344,"protein_coding","7",75769533,75789896,48.09,1.18617781575139,0,1.1299511725382,1.60443332676768,1.10240760005645,5.82767172757244
"ENSG00000006607.14","ENSG00000006607","FARP2",9855,"protein_coding","2",241356285,241494841,45.58,211.139651203748,193.886842412595,241.809550923174,276.764748867424,224.891150411515,206.466084062566
"ENSG00000006625.18","ENSG00000006625","GGCT",79017,"protein_coding","7",30496621,30504841,40.54,143.527515705919,161.252423392653,180.792187606112,157.234466023232,267.885046813717,246.427261623063
"ENSG00000006634.8","ENSG00000006634","DBF4",10926,"protein_coding","7",87876216,87909553,36.72,122.176315022394,71.0278531610496,82.4864355952884,101.079299586364,102.52390680525,125.711204409063
"ENSG00000006638.13","ENSG00000006638","TBXA2R",6915,"protein_coding","19",3594507,3606875,55.81,61.6812464190725,62.3893304793003,122.034726634125,135.574616111869,31.969820401637,41.6262266255174
"ENSG00000006652.15","ENSG00000006652","IFRD1",3475,"protein_coding","7",112422887,112481017,39.46,566.992995929166,532.708898707872,598.874121445245,490.154381327525,562.227876028788,558.623961314444
"ENSG00000006695.12","ENSG00000006695","COX10",1352,"protein_coding","17",14069490,14231736,39.2,214.698184651002,212.123723629621,209.040966919567,181.300965924748,212.764666810894,219.786476582732
"ENSG00000006704.11","ENSG00000006704","GTF2IRD1",9569,"protein_coding","7",74453790,74602605,52.72,722.382289792599,722.756397706356,905.090889203096,764.512480204798,622.860294031893,569.446780237078
"ENSG00000006712.15","ENSG00000006712","PAF1",54623,"protein_coding","19",39385629,39391154,52.37,747.292023923378,687.242471125831,757.067285600593,829.492029938889,1047.28722005362,967.393506777025
"ENSG00000006715.16","ENSG00000006715","VPS41",27072,"protein_coding","7",38722974,38932394,38.35,1004.69260994143,932.000613775394,774.016553188666,853.558529840404,1201.62428406153,1179.68726256716
"ENSG00000006740.18","ENSG00000006740","ARHGAP44",9912,"protein_coding","17",12789498,12991643,42.69,28.4682675780334,23.0360604846647,25.9888769683786,22.4620665747475,28.6625976014676,28.3058341053518
"ENSG00000006744.19","ENSG00000006744","ELAC2",60528,"protein_coding","17",12991612,13018065,48.02,813.717981605456,798.583430135044,768.366797325975,786.974546779546,966.811465249504,976.551276634639
"ENSG00000006756.16","ENSG00000006756","ARSD",414,"protein_coding","X",2903972,2929349,48.88,314.337121174119,369.536803608164,265.538525546476,379.448481780556,329.619872416878,370.473416967105
"ENSG00000006757.12","ENSG00000006757","PNPLA4",8228,"protein_coding","X",7898247,7927739,40.45,43.8885791828016,36.4737624340525,44.0680957289897,24.868716564899,156.541879208015,154.849563046925
"ENSG00000006788.14","ENSG00000006788","MYH13",8735,"protein_coding","17",10300865,10373130,45.88,11.8617781575139,13.4377019493878,4.51980469015279,11.2310332873737,15.4337064007903,38.296128495476
"ENSG00000006831.10","ENSG00000006831","ADIPOR2",79602,"protein_coding","12",1688574,1788674,39.4,1199.22577172466,1232.42923592956,1303.96365310908,1322.05306125657,1221.46762086254,1242.12660250544
"ENSG00000006837.12","ENSG00000006837","CDKL3",51265,"protein_coding","5",134286350,134371047,40.16,16.6064894205195,20.1565529240816,22.599023450764,17.6487665944445,16.5361140008467,11.6553434551449
"ENSG00000007047.16","ENSG00000007047","MARK4",57787,"protein_coding","19",45079288,45305284,53.57,1080.60799014952,1110.53008253155,1320.91292069715,1063.73929564697,793.733472040642,731.789064076596
"ENSG00000007062.12","ENSG00000007062","PROM1",8842,"protein_coding","4",15963076,16084378,43.17,3.55853344725418,23.9958963381924,6.77970703522919,3.20886665353535,5.51203800028224,12.4878679876552
"ENSG00000007080.11","ENSG00000007080","CCDC124",115098,"protein_coding","19",17933015,17943991,55.84,752.036735186383,778.426877210963,706.219482836374,845.536363206566,1111.2268608569,900.791544176197
"ENSG00000007168.14","ENSG00000007168","PAFAH1B1",5048,"protein_coding","17",2593183,2685615,42.41,3248.94103734307,3371.9033534428,3020.3594841946,3181.5912869803,3501.24653777928,3627.30938814759
"ENSG00000007202.15","ENSG00000007202","BLTP2",9703,"protein_coding","17",28614446,28645454,46.75,3638.00736090952,3563.87052414834,3531.09741418187,3677.36118495152,3653.37878658707,3552.38218022166
"ENSG00000007237.19","ENSG00000007237","GAS7",8522,"protein_coding","17",9910606,10198606,47.97,622.743353269482,533.6687345614,274.578134926782,205.367465826263,1159.73279525938,1201.33290041243
"ENSG00000007255.10","ENSG00000007255","TRAPPC6A",79090,"protein_coding","19",45162928,45178237,56.86,113.873070312134,120.93931754449,142.373847739813,124.343582824495,71.6564940036691,59.1092418082347
"ENSG00000007341.19","ENSG00000007341","ST7L",54879,"protein_coding","1",112523514,112620825,39.05,87.7771583656031,95.9835853527698,65.5371680072155,111.508116210354,162.053917208298,172.332578229642
"ENSG00000007376.8","ENSG00000007376","RPUSD1",113000,"protein_coding","16",784974,788397,67.17,236.049385334527,291.79009947242,280.227890789473,226.225099074243,308.674128015805,287.22096371607
"ENSG00000007384.15","ENSG00000007384","RHBDF1",64285,"protein_coding","16",58059,76355,61.15,1737.75050007579,1801.61189707149,1812.44168075127,1951.79314201288,1476.12377647558,1543.50048327419
"ENSG00000007392.17","ENSG00000007392","LUC7L",55692,"protein_coding","16",188969,229463,47.33,373.646011961689,259.155680452478,291.527402514855,351.370898562121,573.251952029352,612.738055927617
"ENSG00000007402.12","ENSG00000007402","CACNA2D2",9254,"protein_coding","3",50362613,50504244,56.51,1.18617781575139,4.79917926763849,13.5594140704584,8.82438329722223,11.0240760005645,4.99514719506209
"ENSG00000007516.14","ENSG00000007516","BAIAP3",8938,"protein_coding","16",1333638,1349439,65.69,23.7235563150279,11.5180302423324,15.8193164155348,40.1108331691919,24.2529672012418,12.4878679876552
"ENSG00000007520.4","ENSG00000007520","TSR3",115939,"protein_coding","16",1349240,1351878,62.41,869.468338945771,977.112898891196,908.480742720711,955.440046090152,825.703292442279,749.272079259314
"ENSG00000007541.17","ENSG00000007541","PIGQ",9091,"protein_coding","16",566995,584109,64.34,569.365351560669,551.905615778426,612.433535515703,560.749447705303,449.78230082303,454.55839475065
"ENSG00000007545.16","ENSG00000007545","CRAMP1",57585,"protein_coding","16",1612337,1677908,53.1,873.026872393026,673.804769176444,702.829629318759,748.468146937122,591.992881230312,610.240482330085
