"Row.names","ensembl_gene_id","external_gene_name","entrezgene_id","gene_biotype","chromosome_name","start_position","end_position","percentage_gene_gc_content","ENU_A","CTL_A","C1E_A","ENU_B","CTL_B","C1E_B","ENU_C","CTL_C","C1E_C"
"ENSG00000001626.18","ENSG00000001626","CFTR",1080,"protein_coding","7",117287120,117715971,36.9,79.2595129273948,59.0935034569076,380.44733883191,48.729149377658,44.3817006520343,519.400959164903,47.6789219425093,75.9850944960804,18.1786222346507
"ENSG00000001629.10","ENSG00000001629","ANKIB1",54467,"protein_coding","7",92245974,92401383,36.83,1785.16810654932,1851.59644164977,1957.30144056943,1971.2101141105,1835.26551029616,1609.24227810629,1246.46324506846,1316.5057945276,1273.32985743621
"ENSG00000001630.18","ENSG00000001630","CYP51A1",1595,"protein_coding","7",92084987,92134803,38.33,1154.75013449604,1440.89659262426,1275.49976229435,1536.12842323855,1537.74373925845,1237.95565797107,1310.0351409918,1557.2675546163,969.251085511147
"ENSG00000001631.17","ENSG00000001631","KRIT1",889,"protein_coding","7",92197498,92246166,36.51,582.862264296841,586.010575947667,617.726336998128,729.777022822545,664.903626435107,523.404049408949,516.521654377185,611.295816395433,424.718719482293
"ENSG00000002016.18","ENSG00000002016","RAD52",5893,"protein_coding","12",911736,990053,45.19,107.305186732473,73.8668793211345,98.1153663303347,98.6185165976413,89.5852846494766,82.0633500029327,91.9522066034109,104.159343017099,86.7616061199237
"ENSG00000002330.14","ENSG00000002330","BAD",572,"protein_coding","11",64269830,64284704,53.92,701.141845126954,640.179620783166,625.735754657747,704.252230291391,633.672059309601,669.516843316609,500.628680396348,351.751223959384,637.07807922344
"ENSG00000002549.13","ENSG00000002549","LAP3",51056,"protein_coding","4",17577198,17607972,44.16,631.637349175238,570.252308359158,495.582717688935,482.65062240728,535.867941206044,576.444995142552,993.310873802278,981.829872702163,826.30101066594
"ENSG00000002586.20","ENSG00000002586","CD99",4267,"protein_coding","X",2691187,2741309,47.38,3914.20056149134,3566.29293362437,2310.71699480013,4311.36950208041,3774.08832211373,3276.52936475124,4293.37339968025,4383.23005778513,3364.69771543171
"ENSG00000002586.20_PAR_Y","ENSG00000002586","CD99",4267,"protein_coding","X",2691187,2741309,47.38,3914.20056149134,3566.29293362437,2310.71699480013,4311.36950208041,3774.08832211373,3276.52936475124,4293.37339968025,4383.23005778513,3364.69771543171
"ENSG00000002745.13","ENSG00000002745","WNT16",51384,"protein_coding","7",121325367,121341104,38.61,1008.42487986085,847.006882882342,379.446161624458,733.257676349521,661.616093053474,282.217862205207,212.284723886887,326.992035865155,193.35443649583
"ENSG00000002746.15","ENSG00000002746","HECW1",23072,"protein_coding","7",43112629,43566001,42.03,15.851902585479,8.86402551853614,25.0294301863099,3.48065352697557,11.5063668357126,27.0208591473071,31.7859479616729,26.4667183076235,11.5682141493232
"ENSG00000002822.16","ENSG00000002822","MAD1L1",8379,"protein_coding","7",1815793,2233243,55.65,301.1861491241,339.787644877219,257.302542315265,353.866441909183,369.025622088211,325.251082328697,440.46242175461,398.708304827748,485.864994271573
"ENSG00000002834.18","ENSG00000002834","LASP1",3927,"protein_coding","17",38869859,38921770,53.69,13547.2798249747,14031.7523958427,9834.56370880487,14083.8843879855,15780.9821151798,13427.3654510896,14666.9445594576,14426.0690078682,20142.7397370036
"ENSG00000002919.15","ENSG00000002919","SNX11",29916,"protein_coding","17",48103357,48123601,48.03,237.778538782184,258.04163176183,186.218960586145,201.877904564583,301.631187764752,291.22481525431,270.18055767422,238.200464768612,305.731373946398
"ENSG00000002933.9","ENSG00000002933","TMEM176A",55365,"protein_coding","7",150800403,150805118,57.55,1136.45947766664,2882.77807697281,2360.77585517275,2264.74522821877,3602.31470292345,4810.71370078168,312.183417480716,443.957855482717,41.315050533297
"ENSG00000003056.8","ENSG00000003056","M6PR",4074,"protein_coding","12",8940361,8949761,42.37,1459.59441498602,1449.7606181428,1322.55509104461,1523.36602697298,1507.33405547835,1432.10553480728,1833.3680699322,1874.86817430778,1541.05138489198
"ENSG00000003096.15","ENSG00000003096","KLHL13",90293,"protein_coding","X",117897813,118117340,36.56,103.647055366593,185.159644164977,513.603907423078,171.712240664128,184.92375271681,434.335291478936,372.349676122454,336.383452038828,110.724335429236
"ENSG00000003137.9","ENSG00000003137","CYP26B1",56603,"protein_coding","2",72129238,72147862,59.85,259.727326977463,243.268255897603,21.0247213565003,206.518775933884,250.674420349453,44.0339926845005,26.1098858256599,44.3957855482717,11.5682141493232
"ENSG00000003249.15","ENSG00000003249","DBNDD1",79007,"protein_coding","16",90004871,90019890,59.3,368.251890831896,357.515695914291,274.322554841956,292.374896265948,322.178271399953,233.18000671565,242.935459421357,216.002571994476,517.264432676878
"ENSG00000003393.16","ENSG00000003393","ALS2",57679,"protein_coding","2",201700267,201782112,38.18,768.207586834749,770.185328388362,773.909981360701,862.041856847617,780.78917813764,649.501392096382,830.975496712306,841.812395203767,836.216622793931
"ENSG00000003400.16","ENSG00000003400","CASP10",843,"protein_coding","2",201182872,201229428,42.31,23.1681653172385,16.7431593127905,8.00941765961916,10.4419605809267,6.57506676326434,4.0030902440455,10.2169118448234,16.2215370272531,13.220816170655
"ENSG00000003402.21","ENSG00000003402","CFLAR",8837,"protein_coding","2",201116154,201176687,44.35,1982.70720030683,2128.35101617296,1645.93532905174,1833.1441908738,2205.11301572978,1816.40219823564,1574.53963653001,1656.30430699321,1233.66740892425
"ENSG00000003436.16","ENSG00000003436","TFPI",7035,"protein_coding","2",187464230,187565760,36.6,2855.78121963013,3067.93772113779,5172.08145369907,3354.18978216213,2897.96067590876,3529.72482268712,3259.19487849867,3602.03498515689,1626.98669000124
"ENSG00000003509.16","ENSG00000003509","NDUFAF7",55471,"protein_coding","2",37231631,37253403,38.97,242.656047270024,220.615746239122,218.256631224622,229.723132780388,223.552269950988,243.187732325764,289.479168936664,243.323055408797,191.701834474498
"ENSG00000003756.17","ENSG00000003756","RBM5",10181,"protein_coding","3",50088919,50119021,44.45,1453.49752937622,1498.02031263261,1565.84115245555,1436.34968879859,1538.56562260386,1368.05609090255,1713.03555264873,2043.0599003272,1441.89526361207
"ENSG00000003987.14","ENSG00000003987","MTMR7",9108,"protein_coding","8",17296794,17413528,40.26,21.9487881952785,49.2445862140897,31.0364934310242,22.0441390041786,29.5878004346895,34.0262670743867,44.2732846609015,26.4667183076235,13.220816170655
"ENSG00000003989.18","ENSG00000003989","SLC7A2",6542,"protein_coding","8",17497088,17570573,40.13,3960.53689212582,4240.9437647574,5132.03436540098,3111.70425311616,3122.33482920515,5476.22745385424,3983.46040705394,3666.9211332659,1792.24689213442
"ENSG00000004059.11","ENSG00000004059","ARF5",381,"protein_coding","7",127588386,127591700,56.14,1134.02072342273,1087.3204636071,1511.77758325312,1171.82002074844,1121.87076648198,1608.24150554528,1337.28023924467,1183.31843788278,1627.8129910119
"ENSG00000004139.14","ENSG00000004139","SARM1",23098,"protein_coding","17",28364356,28404049,51.55,184.125945415948,154.628000712242,192.22602383086,80.0550311204382,118.351201738758,175.13519817699,526.738566222008,369.680291200032,294.163159797075
"ENSG00000004142.12","ENSG00000004142","POLDIP2",26073,"protein_coding","17",28346633,28357527,49.87,1743.70928440268,1808.26120578137,1570.84703849281,1907.39813278261,1773.62425939056,1848.42692018801,1812.93424624256,1642.64406528605,2005.43255288624
"ENSG00000004399.13","ENSG00000004399","PLXND1",23129,"protein_coding","3",129555214,129606676,58.3,4131.24968920021,4328.59912821848,3246.81768376812,4724.40705394818,5063.62329105895,4468.44948491579,2081.97959148957,2333.34003660436,3572.92557011952
"ENSG00000004455.18","ENSG00000004455","AK2",204,"protein_coding","1",33007986,33080996,46.32,1477.88507181542,1527.56706436106,1659.95180995607,1357.45487552047,1549.25010609416,1803.3921549425,2128.52330100488,1883.40582537476,1899.666023521
"ENSG00000004478.8","ENSG00000004478","FKBP4",2288,"protein_coding","12",2794970,2805423,51.53,721.871256200272,696.318449067228,621.731045827937,645.081120332806,782.432944828457,719.555471367178,945.631951859769,880.231825005156,1361.74406557747
"ENSG00000004487.18","ENSG00000004487","KDM1A",23028,"protein_coding","1",23019443,23083689,39.17,1598.60340688945,1712.72670852604,2056.41798410722,1763.53112033429,1671.71072455996,2043.57756958523,1991.16259731337,1960.24468497754,2332.64775310995
"ENSG00000004534.15","ENSG00000004534","RBM6",10180,"protein_coding","3",49940007,50100045,44.14,1057.19996473925,1021.33271808022,1065.25254872935,1012.87017634989,1028.99794845087,1146.88535491903,1605.19037206448,1810.83579130547,981.645600671137
"ENSG00000004660.15","ENSG00000004660","CAMKK1",84254,"protein_coding","17",3860315,3894891,57.17,101.208301122673,84.7006882882342,67.0788728993104,154.30897302925,140.542052064775,88.0679853690009,104.43954330264,113.550759190772,195.833339527828
"ENSG00000004700.16","ENSG00000004700","RECQL",5965,"protein_coding","12",21468910,21501669,37.57,1016.96051971457,1064.66795394862,1164.36909226714,1049.9971473043,950.097147291697,906.699940276305,1423.55638371206,1480.42869501352,1256.80383722289
"ENSG00000004766.17","ENSG00000004766","VPS50",55610,"protein_coding","7",93232340,93361123,34.82,285.334246538621,276.754574523184,375.441452794648,287.734024896647,299.987421073936,240.18541464273,348.510215151199,368.826526093334,302.426169903734
"ENSG00000004776.13","ENSG00000004776","HSPB6",126393,"protein_coding","19",35754566,35758079,62.52,3088.68224992448,2493.7458458815,2274.67461533184,3271.81431535704,2185.38781543999,1815.40142567463,1245.32803264126,909.259838632872,3824.94737837264
"ENSG00000004777.19","ENSG00000004777","ARHGAP33",115703,"protein_coding","19",35774532,35788822,60.93,59.749478976036,58.1086117326258,71.08358172912,45.2484958506825,64.1069009418273,84.0648951249554,122.602942137881,96.4754570568212,122.292549578559
"ENSG00000004779.10","ENSG00000004779","NDUFAB1",4706,"protein_coding","16",23581014,23596316,48.72,662.121777224236,569.267416634877,352.414377023243,552.263692946791,581.893408548894,525.405594530971,509.710379813969,386.755593333982,655.25670145809
"ENSG00000004838.14","ENSG00000004838","ZMYND10",51364,"protein_coding","3",50341110,50345732,58.49,6.0968856097996,6.89424206997255,4.00470882980958,2.32043568465038,3.28753338163217,12.0092707321365,5.67606213601302,12.806476600463,8.2630101066594
"ENSG00000004864.14","ENSG00000004864","SLC25A13",10165,"protein_coding","7",96120220,96322147,39.76,160.957780098709,187.129427613541,199.234264283027,112.541130705544,187.389402753034,230.177689032616,227.042485440521,274.058599249908,280.94234362642
"ENSG00000004866.22","ENSG00000004866","ST7",7982,"protein_coding","7",116953238,117230176,39.15,558.474721857643,413.654524198353,456.536806598292,486.131275934255,449.570189938199,384.296663428368,510.845592241172,478.962224857316,374.314357831671
"ENSG00000004897.12","ENSG00000004897","CDC27",996,"protein_coding","17",47117703,47189422,38.66,1729.07675893917,1784.62380439861,1979.32733913338,1662.592168052,1635.547857362,1712.32185189046,2017.27248313903,2137.82782717062,1974.8594154916
"ENSG00000004961.15","ENSG00000004961","HCCS",3052,"protein_coding","X",11111301,11123086,42.97,479.215208930248,413.654524198353,395.464996943696,421.159076764044,462.720323464728,412.318295136686,501.763892823551,522.50424529889,477.601984164913
"ENSG00000004975.12","ENSG00000004975","DVL2",1856,"protein_coding","17",7225342,7234517,55.13,776.743226688469,804.656538738225,927.090094100918,1059.2788900429,890.921546422318,1060.81891467206,896.817817490057,738.506817293366,923.804529924521
"ENSG00000005007.14","ENSG00000005007","UPF1",5976,"protein_coding","19",18831959,18868230,55.14,2667.9971428483,2574.50696727261,2175.55807179405,2823.97022821952,2725.36517337307,2652.04728668014,2296.53474023087,2199.29891485284,2993.6885616427
"ENSG00000005020.13","ENSG00000005020","SKAP2",8935,"protein_coding","7",26667068,26995239,36.94,652.366760248557,691.393990445819,873.026524898488,795.909439835081,679.697526652451,672.519160999643,865.031869528384,791.440253908613,528.006345815536
"ENSG00000005022.6","ENSG00000005022","SLC25A5",292,"protein_coding","X",119468422,119471396,52.54,1607.13904674317,1692.04398231612,1831.15311243043,1606.90171162039,1629.79467394415,1713.32262445147,1782.28351070809,1628.1300584722,2811.90233929619
"ENSG00000005059.16","ENSG00000005059","MCUB",55013,"protein_coding","4",109560209,109688719,41.01,199.977848001427,190.084102786386,268.315491597242,209.99942946086,182.458102680585,293.226360376333,246.341096702965,237.346699661914,266.895226445099
"ENSG00000005075.16","ENSG00000005075","POLR2J",5439,"protein_coding","7",102473128,102478922,54.98,376.787530685615,392.971797988436,329.387301251838,370.109491701736,419.98238950351,300.231768303412,468.842732434675,384.19429801389,436.286933631616
"ENSG00000005100.13","ENSG00000005100","DHX33",56919,"protein_coding","17",5440917,5468982,45.78,392.639433271094,379.18331384849,367.432035135029,399.114937759866,415.87297277647,321.247992084651,561.930151465289,519.942949978798,620.552059010121
"ENSG00000005156.12","ENSG00000005156","LIG3",3980,"protein_coding","17",34980512,35009743,47.21,323.134937319379,380.168205572772,379.446161624458,382.871887967313,375.600688851475,399.308251843538,487.006131269917,569.461326167254,746.97611364201
"ENSG00000005175.10","ENSG00000005175","RPAP3",79657,"protein_coding","12",47661249,47706030,36.55,380.445662051495,384.107772469899,486.572122821864,322.540560166403,381.353872269332,422.3260207468,549.44281476606,533.603191685958,503.217315495557
"ENSG00000005187.12","ENSG00000005187","ACSM3",6296,"protein_coding","16",20610243,20797581,41.08,4.87750848783968,0.984891724281793,3.00353162235718,6.96130705395115,2.46565003622413,5.00386280505687,4.54084970881041,1.70753021339507,0
"ENSG00000005189.20","ENSG00000005189","REXO5",81691,"protein_coding","16",20806429,20849665,39.89,41.4588221466373,43.3352358683989,24.0282529788575,54.530238589284,51.7786507607067,38.0293573184322,28.3803106800651,47.8108459750618,47.9254586186245
"ENSG00000005194.15","ENSG00000005194","CIAPIN1",57019,"protein_coding","16",57428187,57447420,44.27,392.639433271094,472.748027655261,433.509730826887,400.275155602191,431.488756339222,490.378554895573,555.118876902073,535.310721899353,683.350935820732
"ENSG00000005206.17","ENSG00000005206","SPPL2B",56928,"protein_coding","19",2328615,2355095,61.04,809.666408981386,672.681047684465,562.661590588246,703.092012449066,733.119944103974,743.574012831451,733.347227972882,780.341307521545,758.544327791333
"ENSG00000005238.20","ENSG00000005238","ATOSB",80256,"protein_coding","9",35104112,35116341,54.68,531.648425174525,562.373174564904,442.520325693958,480.330186722629,582.715291894302,518.400186603892,648.206295932687,552.386024033304,627.162467095448
"ENSG00000005243.10","ENSG00000005243","COPZ2",51226,"protein_coding","17",48026167,48038030,52.71,465.802060588689,452.065301445343,235.276643751313,361.98796680546,363.272438670355,296.228678059367,866.167081955586,743.629407933551,362.746143682348
"ENSG00000005249.13","ENSG00000005249","PRKAR2B",5577,"protein_coding","7",107044705,107161811,38.61,126.815220683832,194.023669683513,767.902918115987,185.634854772031,144.651468791815,440.339926845005,188.445262915632,244.176820515494,217.317165805142
"ENSG00000005302.19","ENSG00000005302","MSL3",10943,"protein_coding","X",11758159,11775772,42.85,260.946704099423,271.830115901775,326.383769629481,256.408143153867,280.262220784143,327.252627450719,346.239790296794,397.000774614353,361.093541661016
"ENSG00000005339.15","ENSG00000005339","CREBBP",1387,"protein_coding","16",3725054,3880713,45.01,2049.77294201462,1938.26691338657,2165.54629971953,2436.4574688829,2117.17149777112,1944.5010860451,1823.15115808738,1895.35853686852,2126.07250044346
"ENSG00000005379.17","ENSG00000005379","TSPOAP1",9256,"protein_coding","17",58301228,58328795,57.84,40.2394450246773,61.0632869054712,76.089467766382,103.259387966942,76.435151122948,88.0679853690009,38.5972225248885,25.612953200926,52.8832646826202
"ENSG00000005436.14","ENSG00000005436","GCFC2",6936,"protein_coding","2",75652000,75710985,36.39,178.029059806148,192.05388623495,241.283706996027,169.391804979478,147.11711882804,236.182324398684,231.583335149331,223.686457954754,290.031654743745
"ENSG00000005448.17","ENSG00000005448","WDR54",84058,"protein_coding","2",74421678,74425755,54.68,435.317632539691,394.941581436999,588.692197982008,532.539989627263,412.585439394837,502.38782562771,309.912992626311,306.501673304414,480.080887196911
"ENSG00000005469.12","ENSG00000005469","CROT",54677,"protein_coding","7",87345664,87399794,37.43,403.613827368733,519.037938696505,525.618033912507,386.352541494289,469.295390227992,512.395551237824,711.778191856032,560.069909993582,318.125889106387
"ENSG00000005483.23","ENSG00000005483","KMT2E",55904,"protein_coding","7",104940943,105115019,39.74,1663.23039435333,1695.98354921325,2078.44388267117,1857.50876556263,1767.04919262729,1537.18665371347,1409.93383458563,1617.03111208513,1355.95995850281
"ENSG00000005486.17","ENSG00000005486","RHBDD2",57414,"protein_coding","7",75842602,75888926,47.79,864.538379469583,636.240053886038,527.620388327412,806.351400416008,748.735727666727,616.475897583006,676.586606612752,635.201239382964,615.594252946125
"ENSG00000005700.15","ENSG00000005700","IBTK",25998,"protein_coding","6",82169986,82247754,36.07,1490.07884303502,1604.38861885504,1426.67752061966,1329.60964730467,1508.15593882376,1231.951022605,1745.9567130376,1801.44437513179,1329.5183261615
"ENSG00000005801.18","ENSG00000005801","ZNF195",7748,"protein_coding","11",3339261,3379222,41.43,60.968856097996,76.8215544939799,149.175403910407,81.2152489627634,69.8600843596836,118.091162199342,120.332517283476,122.942175364445,129.729258674553
"ENSG00000005810.20","ENSG00000005810","MYCBP2",23077,"protein_coding","13",77042474,77327094,35.75,1713.22485635369,1535.44619815532,1462.71990008795,1826.18288381985,1733.35197546556,1213.9371165068,1593.83824779246,1710.09150871516,1387.35939690811
"ENSG00000005812.11","ENSG00000005812","FBXL3",26224,"protein_coding","13",76992598,77027195,38.36,985.256714543615,1058.75860360293,1124.32200396904,1002.42821576897,1053.65444881311,1010.78028662149,833.245921566711,891.330771392224,871.747566252567
"ENSG00000005882.12","ENSG00000005882","PDK2",5164,"protein_coding","17",50094737,50112152,56.67,393.858810393054,352.591237292882,372.437921172291,274.97162863107,406.010372631573,371.28662013522,399.594774375316,320.161915011575,340.436016394367
"ENSG00000005884.18","ENSG00000005884","ITGA3",3675,"protein_coding","17",50055968,50090481,52.64,4936.03858969375,4762.93637862675,1854.18018820184,5983.24341287101,5708.80171720426,2517.94376350462,4994.93467969146,5079.90238485032,7424.31458083347
"ENSG00000005889.16","ENSG00000005889","ZFX",7543,"protein_coding","X",24149173,24216255,40.77,710.896862102633,712.076716655737,862.013575616512,814.472925312284,798.048728391209,680.525341487734,735.617652827287,711.186333879045,628.81506911678
"ENSG00000005893.16","ENSG00000005893","LAMP2",3920,"protein_coding","X",120426148,120469365,38.61,3619.11129797704,3666.75188950112,3327.91303757176,4050.32048755724,3451.08816736837,2896.23579156692,3412.44855617103,3690.82655625343,3316.77225681308
"ENSG00000005961.19","ENSG00000005961","ITGA2B",3674,"protein_coding","17",44372180,44389649,54.81,13.4131483415591,14.7733758642269,10.0117720745239,12.7623962655771,9.04071679948847,12.0092707321365,6.81127456321562,6.83012085358026,6.61040808532752
"ENSG00000006007.12","ENSG00000006007","GDE1",51573,"protein_coding","16",19501693,19522123,40.14,2463.14178635904,2458.28974380736,1944.28613687255,3184.79797718265,2699.88678966542,2119.63628422209,1709.62991536712,1932.92420156321,1456.76868180405
"ENSG00000006015.18","ENSG00000006015","REX1BD",55049,"protein_coding","19",18588685,18592337,60.22,278.017983806862,306.301326251638,222.261340054432,256.408143153867,341.903471689746,348.268851231958,378.025738258467,296.256492024044,330.520404266376
"ENSG00000006016.12","ENSG00000006016","CRLF1",9244,"protein_coding","19",18572220,18607741,55.32,101.208301122673,124.096357259506,218.256631224622,82.3754668050886,85.4758679224364,194.149876836207,133.955066409907,96.4754570568212,158.64979404786
"ENSG00000006025.12","ENSG00000006025","OSBPL7",114881,"protein_coding","17",47807372,47821803,57.84,163.396534342629,124.096357259506,155.182467155121,95.1378630706657,130.679451919879,171.132107932945,208.879086605279,186.120793260062,133.860763727882
"ENSG00000006042.12","ENSG00000006042","TMEM98",26022,"protein_coding","17",32927910,32945106,48.47,1942.46775528215,2243.58334791393,2791.28205437728,1879.55290456681,2217.4412659109,2571.98548179923,1534.80720157792,1436.03290946525,1684.00145973719
"ENSG00000006062.18","ENSG00000006062","MAP3K14",9020,"protein_coding","17",45263119,45317029,49.97,476.776454686328,502.294779383715,272.320200427051,614.915456432351,568.743275022366,296.228678059367,354.186277287212,338.090982252223,272.67933351976
"ENSG00000006118.15","ENSG00000006118","TMEM132A",54972,"protein_coding","11",60924460,60937159,58.71,2482.6518203104,3187.10961977588,2781.27028230275,2437.61768672523,3526.70143514591,3818.9480928194,2482.70957829209,1970.48986625791,3110.1970041466
"ENSG00000006125.18","ENSG00000006125","AP2B1",163,"protein_coding","17",35578046,35726413,39.93,6952.88834941546,7207.43763829416,6680.85550532983,7740.97344399368,7763.51008072437,6034.65854289859,5962.13566766807,6260.65952741301,7145.02483922838
"ENSG00000006194.11","ENSG00000006194","ZNF263",10127,"protein_coding","16",3283283,3301401,47.36,373.129399319735,390.01712281559,348.409668193433,449.004304979849,419.160506158102,409.315977453652,433.651147191395,368.826526093334,449.507749802271
"ENSG00000006282.21","ENSG00000006282","SPATA20",64847,"protein_coding","17",50543058,50555852,57.05,893.803430396621,752.45727735129,751.884082796748,799.390093362057,785.720478210089,734.567059782349,887.736118072436,833.274744136792,793.248970239302
"ENSG00000006327.14","ENSG00000006327","TNFRSF12A",51330,"protein_coding","16",3018445,3022383,60.12,2917.96945285009,3144.75927563177,1518.78582370528,2278.66784232668,3052.47474484547,2809.16857875893,2775.59438451037,2697.04397205751,3717.52824698606
"ENSG00000006451.8","ENSG00000006451","RALA",5898,"protein_coding","7",39623565,39708120,39.66,1327.90168581435,1373.9239553731,1198.40911732052,1620.82432572829,1473.63683831662,1434.1070799293,1358.84927536152,1412.12748647772,1469.98949797471
"ENSG00000006453.14","ENSG00000006453","BAIAP2L1",55971,"protein_coding","7",98291650,98401090,46.78,490.189603027888,394.941581436999,143.168340665692,822.594450208561,576.962108476446,171.132107932945,232.718547576534,259.54459243605,317.299588095721
"ENSG00000006459.11","ENSG00000006459","KDM7A",80853,"protein_coding","7",140084746,140176983,39.15,157.29964873283,160.537351057932,219.257808432074,156.629408713901,116.707435047942,193.149104275195,273.586194955827,252.71447158247,114.855840482566
"ENSG00000006468.15","ENSG00000006468","ETV1",2115,"protein_coding","7",13891229,13991425,36.3,157.29964873283,194.023669683513,251.295479070551,133.425051867397,156.157835627528,198.152967080252,118.062092429071,130.626061324723,181.786222346507
"ENSG00000006530.18","ENSG00000006530","AGK",55750,"protein_coding","7",141551278,141655244,39.57,310.941166099779,338.802753152937,392.461465321339,294.695331950599,400.257189213717,404.312114648595,457.490608162649,463.59445293676,494.954305388898
"ENSG00000006534.17","ENSG00000006534","ALDH3B1",221,"protein_coding","11",68008578,68029282,58.4,1382.77365630255,1379.83330571879,963.132473569204,2087.23189834302,1906.76936134666,1420.09626407514,993.310873802278,854.61887180423,788.291164175307
"ENSG00000006576.17","ENSG00000006576","PHTF2",57157,"protein_coding","7",77798773,77957503,37.66,2461.92240923708,2427.75810035462,1588.86822822695,2195.13215767926,2516.60680363943,1380.06536163468,1774.33702371767,1955.12209433735,1390.66460095078
"ENSG00000006606.9","ENSG00000006606","CCL26",10344,"protein_coding","7",75769533,75789896,48.09,1.21937712195992,0,0,1.16021784232519,1.64376669081609,6.00463536606824,1.1352124272026,5.97635574688273,1.65260202133188
"ENSG00000006607.14","ENSG00000006607","FARP2",9855,"protein_coding","2",241356285,241494841,45.58,217.049127708866,198.948128304922,204.240150320289,248.286618257591,283.549754165775,283.218634766219,231.583335149331,211.733746460988,262.763721391769
"ENSG00000006625.18","ENSG00000006625","GGCT",79017,"protein_coding","7",30496621,30504841,40.54,147.54463175715,165.461809679341,205.241327527741,185.634854772031,161.089135699976,249.192367691832,275.856619810233,252.71447158247,323.909996181048
"ENSG00000006634.8","ENSG00000006634","DBF4",10926,"protein_coding","7",87876216,87909553,36.72,125.595843561872,72.8819875968527,181.213074548883,84.695902489739,103.557301521413,168.129790249911,105.574755729842,128.918531111327,259.458517349105
"ENSG00000006638.13","ENSG00000006638","TBXA2R",6915,"protein_coding","19",3594507,3606875,55.81,63.4076103419158,64.0179620783166,94.1106575005251,125.303526971121,138.898285373959,85.0656676859668,32.9211603888755,42.6882553348766,90.0668101625874
"ENSG00000006652.15","ENSG00000006652","IFRD1",3475,"protein_coding","7",112422887,112481017,39.46,582.862264296841,546.614906976395,504.593312556007,614.915456432351,502.170724044314,509.393233554789,578.958337873328,572.876386594045,717.229277258036
"ENSG00000006695.12","ENSG00000006695","COX10",1352,"protein_coding","17",14069490,14231736,39.2,220.707259074745,217.661071066276,181.213074548883,214.64030083016,185.745636062218,193.149104275195,219.095998450102,225.393988168149,304.078771925066
