gene_id,C9_CTL_A,C9_ENU_A,C9_CTL_B,C9_ENU_B,C9_CTL_C,C9_ENU_C,C1_CTL_A,C1_CTL_B,C1_CTL_C
ENSG00000154188,1155,1119,847,716,1453,1843,57.91,25.65,7.69
ENSG00000154198,0,0,0,0,0,0,0,0,0
ENSG00000154217,164,108,188,135,112,125,5.3,4.73,5.26
ENSG00000154222,434,393,534,389,561,749,6.5,7.61,9.1
ENSG00000154227,0,0,0,0,0,0,0,0,0
ENSG00000154229,2160,1961,2385,1900,2257,3016,12.34,13.37,17.11
ENSG00000154237,1044,853,1283,975,568,722,6.83,7.67,5.87
ENSG00000154240,140,107,182,138,189,250,5.01,2.91,6.34
ENSG00000154252,0,0,0,0,0,0,0,0,0
ENSG00000154258,0,0,0,0,0,0,0,0,0
ENSG00000154262,0,0,0,0,3,5,0.44,0.03,0.08
ENSG00000154263,0,0,0,0,1,1,0.07,0.03,0
ENSG00000154265,4,16,9,13,45,46,1.86,0.94,0.99
ENSG00000154269,0,1,1,0,1,1,0.04,0.11,0.05
ENSG00000154274,4,5,1,0,3,2,0.07,0,0
ENSG00000154277,3239,3036,3067,2550,8171,8529,281.65,251.22,482.81
ENSG00000154305,1290,976,1699,1153,1412,1924,16.9,13.05,15.43
ENSG00000154309,71,62,85,60,64,71,0.66,1.15,1.26
ENSG00000154310,45,42,26,5,266,266,6.22,2.69,2.92
ENSG00000154316,0,0,0,0,0,0,0,0,0
ENSG00000154319,518,422,462,522,268,254,11.92,8.31,3
ENSG00000154328,226,138,197,177,205,255,4.93,4.11,6.89
ENSG00000154330,435,403,593,486,297,284,9.33,8.81,8.51
ENSG00000154342,0,0,0,0,0,0,0,0,0
ENSG00000154358,1118.68,1039.59,1264.07,851.71,820.34,1309.58,11.53,9.5,5.25
ENSG00000154359,148,140,197,174,142,231,6.91,4.54,3.34
ENSG00000154370,364,288,385,280,403,492,8.83,9.61,15.66
ENSG00000154380,2104.56,1563,2551,1637.28,2568,2994,24.75,26.86,46.67
ENSG00000154415,0,0,0,0,0,0,0,0,0
ENSG00000154429,304,282,439,301,226,365,7.45,4.96,4.4
ENSG00000154438,0,0,0,0,2,1,0.16,0.17,0
ENSG00000154447,602,561,481,387,604,758,7.21,7.89,14.11
ENSG00000154451,0,0,0,3,1,1,0,0,0
ENSG00000154473,1483,1202,1773,1191,1368,1916,58.93,75.4,117.7
ENSG00000154478,0,0,0,0,0,0,0,0,0
ENSG00000154479,4,1,1,1,2,1,0.72,0,0
ENSG00000154485,0,0,0,0,0,0,0,0,0.03
ENSG00000154493,0,0,1,0,0,0,0,0,0
ENSG00000154511,1263,964,1712,1315,700,1254,16.82,19.59,9.12
ENSG00000154518,1355,995,1578,985,1380,1637,97.62,122.85,142.26
ENSG00000154529,0,0,0,0,31,36,0.17,0.17,0.32
ENSG00000154537,0,0,0,0,0,0,0,0,0
ENSG00000154545,1,0,0,0,0,0,0,0,0
ENSG00000154548,0,0,0,0,0,5,0,0,0.05
ENSG00000154553,19,23,14,14,43,74,2.99,3.61,6.17
ENSG00000154556,0,0,0,0,3,1,0,0,0
ENSG00000154582,740,614,894,597,744,901,90.45,71.01,103.96
ENSG00000154589,60,57,68,69,47,64,11.31,13.73,3.26
ENSG00000154608,10,8,11,8,13,21,0.2,0.12,0.12
ENSG00000154611,0,0,0,0,0,0,0,0,0
ENSG00000154620,0,0,0,0,0,0,0,0,0
ENSG00000154639,3,12,1,1,1,3,0.1,0.07,0.03
ENSG00000154640,1046,872,1227,981,423,541,47.19,43.85,41.27
ENSG00000154642,123,81,133,78,145,195,4.37,3.35,4.12
ENSG00000154645,0,0,0,0,0,1,0.05,0,0
ENSG00000154646,0,0,0,0,0,0,0,0,0
ENSG00000154654,184,186,84,86,126,216,1.29,2.61,5.44
ENSG00000154655,0,0,0,0,0,0,0,0,0.02
ENSG00000154678,690,584,1249,811,1113,1432,17.24,21.32,9.87
ENSG00000154710,507.94,486.4,426.96,484.88,359.58,512.25,8.68,9.87,9.11
ENSG00000154719,193,123,201,145,211,241,13.01,10.04,17.18
ENSG00000154721,412,265,229,164,44,81,14.23,8.86,4.85
ENSG00000154723,702,578,757.66,538,779.74,853,100.83,111.36,108.77
ENSG00000154727,698,486,709.34,599,501.26,778,10.24,7.36,6.95
ENSG00000154734,25815,18382,23814,13373,15564,27600,642.91,553.3,142
ENSG00000154736,729,664,565,559,879,1393,9.78,8.93,1.62
ENSG00000154743,44,71,66,27,86,97,2.01,3.49,1.66
ENSG00000154760,25,9,7,5,34,36,0.58,0.48,0.45
ENSG00000154764,0,0,0,0,0,0,0,0,0
ENSG00000154767,1153.77,936.92,1388.19,1138.19,1239.54,1649.91,22.89,21.46,26.7
ENSG00000154768,0,0,0,0,0,0,0,0,0
ENSG00000154781,274,253,355,269,235,335,16.59,11.21,11.27
ENSG00000154783,0,0,0,0,0,0,0,0,0
ENSG00000154803,408.12,363.34,412.98,372.53,395.84,525.99,11.62,9.53,6.85
ENSG00000154813,672,465,820,462,498,611,13.86,11.03,13.82
ENSG00000154814,80,82,70,82,79,106,3.09,3.51,3.53
ENSG00000154822,0,0,0,0,11,4,0.35,0.02,0.88
ENSG00000154832,441,312,489,393,417,513,17.68,20.7,25.87
ENSG00000154839,37,25,46,19,46,96,3.02,2.62,6.17
ENSG00000154845,1518,1221,1942,1176,1490,2082,36.83,31.79,44.27
ENSG00000154856,29,26,34,16,41,62,2.52,5.99,8.29
ENSG00000154864,72,83,97,84,1040,1454,4.61,6.89,1.14
ENSG00000154874,104.21,82.22,124.16,96.79,88.4,183.33,0.81,0.55,0.56
ENSG00000154889,445.72,391.3,576.84,518.37,353.36,480.6,15.99,15.93,9.97
ENSG00000154898,2,7,4,1,11,12,0.05,0.02,0.08
ENSG00000154914,2,0,0,1,0,2,0,0.04,0.04
ENSG00000154917,24.07,30.26,44.2,40.38,27.67,31.12,0.36,0.18,0.96
ENSG00000154920,21.11,39.26,60.09,28.03,32.13,74.4,2.36,1.43,2.64
ENSG00000154928,15,3,18,12,2,3,0.48,0.21,1.71
ENSG00000154930,25,15,34,12,12,7,0.57,0.65,0.92
ENSG00000154945,610.93,474.98,719.22,524.58,583,811.55,7.9,8.22,12.76
ENSG00000154957,134,76,135,94,112,168,4.22,2.86,2.76
ENSG00000154975,0,0,0,0,0,0,0,0,0
ENSG00000154978,2273,1718,2624,1745,1503,2032,43.7,54.7,63
ENSG00000154997,0,0,1,0,0,0,0,0,0
ENSG00000155008,71,52,89,56,51,72,2.47,2.45,3.72
ENSG00000155011,4,2,4,2,2,3,0.1,0.15,0
ENSG00000155016,537,522,600,612,373,489,4.25,3.54,4.69
ENSG00000155026,1.05,1.08,1.03,0,0,1.11,0,0.05,0.02
ENSG00000155034,283,208,324,248,187,264,5.49,5.41,7.75
ENSG00000155052,0,0,0,0,0,0,0,0,0
ENSG00000155066,2,16,4,6,6,2,0.3,0.05,0.13
ENSG00000155070,0,0,0,0,0,0,0,0,0
ENSG00000155085,40,23,39,19,42,47,2.29,0.84,0.95
ENSG00000155087,0,0,0,0,0,0,0,0,0
ENSG00000155090,627,511,536,372,624,838,25.19,17.06,25.73
ENSG00000155093,5,2,5,0,0,0,0.01,0.07,0.07
ENSG00000155096,3310.94,2427.83,4054.9,2613.71,2872.85,3898,66.17,63.92,70.41
ENSG00000155097,980,766,1125,890,666,898,25.19,15.81,14.48
ENSG00000155099,257,193,228,190,200,239,16.16,10.07,8.96
ENSG00000155100,165,145,164,111,251,329,5.48,3.26,6.13
ENSG00000155111,720,499,783,613,592,758,11.35,7.04,8.93
ENSG00000155115,363,299,477,243,591,670,32.78,34.18,50.54
ENSG00000155130,2993,2536,2891,2121,3659,4130,48.75,43.88,47.05
ENSG00000155158,91,126,129,127,200,297,5.28,4.49,3.16
ENSG00000155189,191,128,256,147,232,333,9.69,7.06,9.94
ENSG00000155229,1445,1058,1701,1312,931,1204,35,32.41,29.51
ENSG00000155249,0,0,0,0,0,0,0,0,0
ENSG00000155252,664.89,625.79,893.9,642.64,625.73,737.17,6.61,10.18,9
ENSG00000155254,1914,1613,2037,1389,1891,2230,50.83,48.58,53.52
ENSG00000155256,344,279,400,308,397,522,9.52,8.81,8.67
ENSG00000155265,0,0,0,0,0,1,0,0,0
ENSG00000155269,7.61,16.49,20.05,16.63,20.03,3.05,0.19,0.2,0.07
ENSG00000155275,98,95,144,106,119,151,5.23,5.24,4.91
ENSG00000155282,0,0,0,0,0,0,0,0,0
ENSG00000155287,254,224,282,241,217,225,19.09,16.97,17.1
ENSG00000155304,1041,766,1180,835,1247,1741,28.16,26.59,30.46
ENSG00000155307,0,0,1,0,0,0,0,0,0
ENSG00000155313,1167,968,1575,1248,798,1100,21.83,18.9,17.57
ENSG00000155324,452,326,578,374,270,393,5.98,5.86,14.16
ENSG00000155329,170,140,159,147,89,157,18.58,14.79,9.81
ENSG00000155330,558,468,621,375,550,698,25.76,22.14,14.76
ENSG00000155363,1219,1026,1520,951,1309,1797,37.58,26.51,27.54
ENSG00000155366,6584.88,5416.77,8667,5738,4873,5751,309.67,372.59,494.45
ENSG00000155367,48.95,32.09,43,85,12,22,1.53,1.22,0.96
ENSG00000155368,582,487,799,414,785,921,68.51,103.17,121.69
ENSG00000155380,1008,855,1108,847,1321,1700,29.55,37.05,33.35
ENSG00000155393,178,122,157,84,216,281,3.21,4.31,8.56
ENSG00000155428,4,1,4,1,6,4,0.23,0.24,0
ENSG00000155438,301,307,449,310,360,491,40.92,23.31,48.45
ENSG00000155463,1876,1474,2331,1815,1321,1533,87.94,80.57,61.17
ENSG00000155465,41,32,18,27,17,48,1.26,0.82,1.66
ENSG00000155495,0,0,0,0,0,1,0,0,0
ENSG00000155506,2559,2197,2958,2064,3411,4380,39.32,41.61,66.62
ENSG00000155508,1205,997,1616,1185,906,1302,36.92,33.14,31.53
ENSG00000155511,21,25,36,12,5,4,1.65,1.06,0.21
ENSG00000155530,0,1,0,0,0,0,0,0,0
ENSG00000155542,42,13,35,18,38,40,2.92,1.47,3.23
ENSG00000155545,347,298,416,295,268,338,6.07,3.89,8.27
ENSG00000155561,1022,862,1120,758,813,1261,13.69,14.11,22.04
ENSG00000155592,146,128.98,221,169,190,174,2.36,2.28,1.96
ENSG00000155621,140,82,92,107,140,147,10.16,6.22,4.37
ENSG00000155622,0,0,0,0,0,0,0,0,0
ENSG00000155629,0,1,0,0,0,0,0,0.02,0.04
ENSG00000155636,99,109,111,72,167,183,4.97,4.34,6.59
ENSG00000155640,66,87,74,72,100,132,0.58,0.49,1.11
ENSG00000155657,24.11,21.28,28.27,19.34,70.06,75.84,0.02,0.01,0.02
ENSG00000155659,0,0,1,0,1,2,0,0,0
ENSG00000155660,3265,2771,3222,2021,3611,4845,50.44,65.53,93.86
ENSG00000155666,55,49.35,62,29,47,66.2,2.94,1.73,2.53
ENSG00000155714,0,0,0,0,0,0,0,0,0
ENSG00000155719,0,0,0,0,0,0,0,0,0
ENSG00000155729,352,244,418,294,368,416,8.38,8.6,6.93
ENSG00000155744,105.62,81.58,121,102,82,146.58,1.57,1.56,1.6
ENSG00000155749,1,2,4,0,6,4,0,0,0.1
ENSG00000155754,10,18,30,8,7,9,0.48,0.59,0.41
ENSG00000155755,610,549,578.87,393,610,782,21.12,21.57,22.99
ENSG00000155760,5293,4681,5624,3734,3739,4556,57.13,59.11,58.38
ENSG00000155761,2,1,0,2,0,4,0.02,0.04,0.03
ENSG00000155792,161,78,106,85,76,73,0.45,2.08,0.56
ENSG00000155816,1052,985,1286,1006,861,1350,13.98,12.77,22.7
ENSG00000155827,572,478,704,506,624,901,15.9,15.01,17.9
ENSG00000155833,0,0,0,0,0,0,0,0,0
ENSG00000155846,0,0,0,0,0,0,0,0,0.03
ENSG00000155849,52,40,108,142,9,18,0.21,0.95,0.06
ENSG00000155850,292,290,321,225,255,400,1.87,1.65,1.7
ENSG00000155858,116,104,130,110,121,149,0.97,0.82,1.16
ENSG00000155868,134,92,168,100,144,166,10.46,6.74,5.86
ENSG00000155875,1,0,0,0,0,0,0,0,0
ENSG00000155876,1288,1114,1424,1027,1405,1621,48.89,51.7,54.94
ENSG00000155886,0,0,0,0,0,1,0,0,0
ENSG00000155890,0,0,0,0,0,0,0,0,0
ENSG00000155893,175,118,155,94,185,199,5.1,4.58,5.64
ENSG00000155897,0,0,0,0,0,0,0,0,0
ENSG00000155903,722,555,775,630,314,490,11.02,7.21,8.81
ENSG00000155906,258,183,272,190,265,344,9.14,10.07,10.82
ENSG00000155918,0,0,0,0,0,0,0,0,0
ENSG00000155926,201,122,264,134,67,156,3.3,6.12,1.14
ENSG00000155957,721,581.27,923,646,669,975,58.4,40.98,37.75
ENSG00000155959,568,419,664,392,560,692,31.75,34.17,37.91
ENSG00000155961,0,0,0,0,4,9,0,0,0
ENSG00000155962,2,1,3,3,3,7,0.05,0.05,0.02
ENSG00000155966,0,0,2,0,5,9,0.02,0,0.08
ENSG00000155970,1066,718,1044,753,513,756,17.03,20.5,9.86
ENSG00000155974,1,3,0,0,1,1,0.09,0,0.08
ENSG00000155975,1139.83,875.26,1286.35,1003.19,806.63,1026.11,34.06,39.26,37.35
ENSG00000155980,8,12,13,4,7,6,0,0.02,0.2
ENSG00000155984,200,167,220,211,91,133,10.51,10.25,10.61
ENSG00000156006,0,0,1,1,0,0,0,0,0
ENSG00000156009,0,0,0,0,2,0,0,0,0
ENSG00000156011,1429,1131,1294,1094,1231,1486,9.87,8.66,4.74
ENSG00000156017,394,286,409,292,220,275,7.43,7.26,5.96
ENSG00000156026,884,693,1201,888,743,965,18.79,16.16,23.02
ENSG00000156030,687,520,766,537,588,880,7.03,6.28,9.55
ENSG00000156042,0,0,0,0,2,7,0.01,0,0
ENSG00000156049,2,3,1,0,1,1,0,0,0
ENSG00000156050,108,95,150,95,82,96.9,1.89,2.23,2.15
ENSG00000156052,997,867,1284,994,1018,1383,22.28,22.33,20.21
ENSG00000156076,0,1,1,0,0,0,0.03,0,0
ENSG00000156096,0,0,0,0,0,0,0,0,0
ENSG00000156097,0,3,0,1,0,3,0.01,0,0
ENSG00000156103,85,101,53,46,133,179,2.94,1.54,1.36
ENSG00000156110,416,354,606,430,334,458,16.39,19.59,25.75
ENSG00000156113,545,559,887,684,741,826,3.31,4.63,4.95
ENSG00000156127,0,0,0,0,0,0,0,0,0
ENSG00000156136,431,308.96,481,401,255,382.97,13.43,12.05,13.33
ENSG00000156140,2,1,0,1,9,15,0.21,0.03,0.26
ENSG00000156150,11.44,0,1.71,6.4,7.87,9.35,0.06,0.07,0.19
ENSG00000156162,834.87,703.88,963.41,826.98,663.03,1054.71,11.36,12.93,10.02
ENSG00000156170,53,45,42,36,71,71,2.86,2.18,6.97
ENSG00000156171,1038,668,1236,1146,339,516,47.23,31.59,23.86
ENSG00000156172,18,19,24,18,24,27,0.54,0.19,0.46
ENSG00000156194,0,0,2,0,0,0,0,0,0
ENSG00000156206,1,0,0,0,0,0,0.05,0,0
ENSG00000156218,0,0,0,0,0,0,0,0,0.02
ENSG00000156219,1,0,2,1,0,0,0.3,0,0.04
ENSG00000156222,0,0,0,0,0,0,0,0,0
ENSG00000156232,254,233,321,284,182,231,4.53,4.7,3.86
ENSG00000156234,0,0,0,0,0,0,0,0,0
ENSG00000156239,133,138,177,120,198,284,2.23,1.62,4.02
ENSG00000156253,296,214,355,187,353,431,11.12,9.75,13.18
ENSG00000156256,711,627,849,585,724,981,21.7,14.61,21.11
ENSG00000156261,2942,2161,3480,2396,2982,4198,104.7,95.67,135.35
ENSG00000156265,505,393,670,442,257,327,5.68,11.46,22.78
ENSG00000156269,0,0,0,0,0,0,0,0,0
ENSG00000156273,4066,3133,5000,3731,2205,3720,29.78,32.13,30.94
ENSG00000156282,0,0,0,0,0,0,0,0,0
ENSG00000156284,0,0,0,0,0,0,0,0,0
ENSG00000156298,0,0,1,0,1,2.94,0,0,0
ENSG00000156299,25,27,21,14,42,61,0.14,0.2,1.11
ENSG00000156304,632,460,788,576,539,954,9.69,8.59,13.36
ENSG00000156313,36,44,81,39,63,148,3.17,2.42,3.06
ENSG00000156345,35,46,51,70,52,105,1.68,2.27,2.58
ENSG00000156374,87,94,102,90,119,175,4.66,4.13,6.67
ENSG00000156381,484,355,544,306,107,136,13.71,18.99,20.53
ENSG00000156384,54,51,80,46,52,67,3.19,1.88,2.67
ENSG00000156395,0,0,0,0,0,0,0,0,0
ENSG00000156398,14,13,14,12,36,50,0.69,1.22,1.07
ENSG00000156411,621,460,710,535,509,576,84.68,107.2,101.97
ENSG00000156413,0,0,0,0,0,0,0,0,0
ENSG00000156414,0,0,4,2,0,0,0.03,0.31,0.04
ENSG00000156427,1,2,1,1,0,1,0,0.03,0.09
ENSG00000156453,30,18,44,48,21,51,0,0.03,1.43
ENSG00000156463,7,0,30,7,8,10,0.02,0,0.46
ENSG00000156466,2,5,1,1,12,35,0,0,0.14
ENSG00000156467,1485,1106,1625,1215,1953,2235,81.31,92.51,86.04
ENSG00000156469,159,87,222,152,153,223,11.65,6.52,9.57
ENSG00000156471,2799,2185,3229,2217,2167,3231,79.89,97.66,69.12
ENSG00000156475,0,0,0,0,0,0,0,0,0
ENSG00000156482,4905.65,3961.04,5623.52,4462.19,4112.13,4688.79,1187.76,1288.23,967.74
ENSG00000156486,0,0,0,0,0,2,0,0,0.01
ENSG00000156500,19,33,37,23,30,42,1.68,2.06,1.75
ENSG00000156502,207,154,229,123,228,336,11.37,8.73,14.65
ENSG00000156504,386,349,501,404,462,653,10.14,7.14,11.54
ENSG00000156508,293360,227667,360753,276324,166007,197170,11444.24,10651.75,7250.15
ENSG00000156509,0,3,6,5,0,13,0.15,0.17,0.25
ENSG00000156510,1,1,6,2,2,3,0,0,0
ENSG00000156515,2753,2101,3557,2190,3083,4303,46.71,51.6,72.17
ENSG00000156521,157,149,189,161,207,212,2.11,2.6,2.8
ENSG00000156531,685,582,984,696,640,805,14.27,8.66,12.68
ENSG00000156535,1431,1276.98,1912,1650,945.93,1298.91,6.29,5.79,5.81
ENSG00000156564,0,0,0,0,0,0,0,0,0
ENSG00000156574,0,1,0,1,1.52,1,0,0,0.1
ENSG00000156575,0,0,0,0,0,0,0,0,0
ENSG00000156587,1005,834,1285,919,760,890,54.12,56.46,42.91
ENSG00000156599,3061,2627,3325,2430,2074,2899,54.74,40.68,38.33
ENSG00000156603,287,263,337,194,288,351,15.88,19.32,19.63
ENSG00000156639,2461,2009,3021,2326,2177,2589,74.77,71.08,57.62
ENSG00000156642,2498,2012,3109,2133,2666,3675,103.66,96.08,122.41
ENSG00000156650,1584,1249,2239,1684,948,1433,14.54,12.69,8.96
ENSG00000156671,1239,1026,1426,1089,1120,1448,20.26,14.71,9.37
ENSG00000156675,1990,1785,2625,1876,1365,1964,8.81,11.24,12.16
ENSG00000156687,0,0,0,0,0,0,0,0,0
ENSG00000156689,12,2,19,13,9,10,1.44,0.59,1.33
ENSG00000156697,113,99,156,113,325,459,5.14,3.58,7.69
ENSG00000156709,266,268,383,215,579,743,9.19,10.57,14.81
ENSG00000156711,137,116,222,136,45,70,5.91,6.25,9.04
ENSG00000156735,426,349,520,432,294,411.38,9.48,6.94,7.4
ENSG00000156738,0,0,0,0,0,0,0,0,0
ENSG00000156750,0,0,0,0,0,0,0,0,0
ENSG00000156755,0,0,0,0,0,0,0,0,0
ENSG00000156787,106,78,100.05,72.06,94.16,146.52,6.2,3.5,4.28
ENSG00000156795,154,143,162,133,101,139,18.89,11.86,11.86
ENSG00000156802,679,501,761,519,312,746,11.56,8.66,16.43
ENSG00000156804,312,219,420,386,152,131,7.39,8.26,3.25
ENSG00000156831,259,229,374,280,241,309,22.05,21.69,26.24
ENSG00000156853,128,97,147,121,116,112,2.51,4.04,4.01
ENSG00000156858,435,386,620,395,356,479,17.6,19.16,16.76
ENSG00000156860,1414,1186,1737,1398,1257,1410,21.01,28.62,31.63
ENSG00000156869,23,30,12,6,59,66,1.59,0.83,1.45
ENSG00000156873,319.32,270.33,340.02,246.37,272.83,323.15,16.67,14.06,17.42
ENSG00000156875,682,571,884,679,635,918,11.27,12.76,8.98
ENSG00000156876,46,46,68,65,42,82,1.81,1.38,1.95
ENSG00000156885,0,0,0,0,0,0,0,0,0
ENSG00000156886,0,0,0,0,0,0,0,0,0
ENSG00000156920,0,0,0,0,0,0,0,0,0
ENSG00000156925,0,0,0,0,0,0,0,0,0
ENSG00000156928,456.37,362.99,518.73,401.79,404.87,536.51,30.06,42.49,44.52
ENSG00000156931,674,612,835,596,690,961,20.86,9.3,13.86
ENSG00000156958,419.89,287.33,493.54,370,282.66,341.31,20.34,14.8,15.04
ENSG00000156959,0,0,0,0,0,0,0,0,0
ENSG00000156966,13,8,16,14,1,2,0.04,0.36,0.06
ENSG00000156968,0,0,0,2,0,0,0,0,0
ENSG00000156970,126,121,202,145,192,387,7.74,5.08,17.16
ENSG00000156973,161,145,211,110,148,208,8.34,12.85,16.54
ENSG00000156976,8092,5832,9407,7569,5568.42,7193.29,262.64,237.31,191.61
ENSG00000156983,333,269,421,349,256,390,6.13,5.86,7.73
ENSG00000156990,313,285,443,341,302,380,18.5,22.46,27
ENSG00000157005,0,0,0,0,0,0,0,0,0
ENSG00000157014,731.54,674.35,1072.34,683.93,846.34,953.87,10.6,10.68,16.51
ENSG00000157017,1,0,0,0,0,0,0,0.05,0.05
ENSG00000157020,3382,2736,4332,3100,3071,3591,149.7,191.58,206.72
ENSG00000157021,5,1,3,4,0,1,0.82,0.3,0.09
ENSG00000157036,150,121,189,95,216,286,5.62,5.45,9.42
ENSG00000157045,766,662,927,732,310,484,47.6,51.8,51.77
ENSG00000157060,0,0,0,0,0,1,0,0,0
ENSG00000157064,58,59,121,57,56,61,0.02,0.27,1.73
ENSG00000157077,758,660,1000,797,687,927,11.61,7.95,9.14
ENSG00000157087,0,1,0,0,0,1,0.03,0.01,0
ENSG00000157093,0,0,0,0,0,0,0,0,0
ENSG00000157103,0,0,0,0,0,0,0,0,0
ENSG00000157106,1759,1542,2173,1554,1545,2576,7.22,5.98,7.83
ENSG00000157107,569,481,740,545,481,645,11.49,8.88,8.4
ENSG00000157110,5084,3753,6559,4570,2872,3545,217.99,223.92,139.81
ENSG00000157111,90,72,100,63,59,65,3.25,4.22,4.31
ENSG00000157119,0,0,0,1,0,1,0,0,0
ENSG00000157131,0,0,0,0,0,0,0,0,0
ENSG00000157150,4,3,9,7,5,9,0.22,0.26,0.19
ENSG00000157152,4,0,2,0,0,1,0.03,0,0.1
ENSG00000157168,277,292,210,144,318,383,17.17,13.01,3.15
ENSG00000157181,263,206,240,205,280,394,5.71,4.83,4.83
ENSG00000157184,196.8,207.88,218.51,173.22,289,326.72,6.99,5.06,5.4
ENSG00000157191,1855,1482,2422,1450,1338,1708,38.82,58.18,72.68
ENSG00000157193,177,152,189,129,171,221,2.67,2.66,3.34
ENSG00000157211,0,0,0,0,0,0,0,0,0
ENSG00000157212,206,164,180,180,151,248,4.64,3.51,4.75
ENSG00000157214,1,0,0,1,18,24,0.74,0.01,0.67
ENSG00000157216,951,773,1168,784,897,1149,37.3,48.57,42.52
ENSG00000157219,0,0,0,0,0,0,0,0,0
ENSG00000157224,566,450,647,410,369,548,9.94,7.45,9.36
ENSG00000157227,12105,10241,13513,12133,9250,11779,347.77,411.74,411.76
ENSG00000157240,520,411,434,320,599,731,7.38,8.68,6.13
ENSG00000157259,664,612,778,705,507,690,12.42,10.49,8.39
ENSG00000157303,3,17,15,16,2,1,0.41,1.02,0.53
ENSG00000157306,15.38,17.27,23.59,12.99,41.45,69.43,1.3,0.52,0.05
ENSG00000157315,0,1,2,0,2,2,0.13,0,0.24
ENSG00000157322,0,0,0,0,1,0,0,0,0
ENSG00000157326,337,281.87,477,307.39,499.84,602.88,19.02,26.79,34.74
ENSG00000157330,0,0,0,0,0,0,0,0,0
ENSG00000157335,0,1,0,1,0,0,0,0,0
ENSG00000157343,7,0,6,1,4,2,1.11,0.07,0.24
ENSG00000157349,226.64,172.35,264.03,188.65,279.14,335.76,11.66,10.11,11.52
ENSG00000157350,758,589,749,434,1011,918,17.21,16.07,23.31
ENSG00000157353,192,131,201,140,161,199,2.45,4.42,6.3
ENSG00000157358,0,0,0,0,0,0,0,0,0
ENSG00000157368,13,5,49,4,1,7,0.05,0.3,0.08
ENSG00000157379,245,259,331,194,266,321,13.09,20.42,19.66
ENSG00000157388,0,0,0,0,0,0,0,0,0
ENSG00000157399,17,6,13,10,25,31,1.22,0.79,0.88
ENSG00000157404,214,208,26,15,50,95,4.99,2.2,1.87
ENSG00000157423,0,0,2,0,0,0,0.03,0.3,0.01
ENSG00000157426,186,168,216,248,175,228,3.9,3.23,2.81
ENSG00000157429,17,24,21,18,19,25.05,0.99,0.42,0.44
ENSG00000157445,9,3,3,1,6,13,0.48,0.4,0.25
ENSG00000157450,663,606,907,600,593,827,12.06,10.97,8.85
ENSG00000157456,126,107,207,143,281,437,11.21,13.85,31.78
ENSG00000157470,3,0,0,1,0,0,0.24,0.29,0
ENSG00000157483,1116,968,1572,955,962,1493,39.43,44.44,71.07
ENSG00000157500,643,514,706,631,609,790,13.02,9.8,12.4
ENSG00000157502,0,0,0,0,0,0,0,0,0
ENSG00000157510,340,241,356,266,166,233,7.02,7.45,14.62
ENSG00000157514,270,261,322,314,214,305,12.1,10.52,7.17
ENSG00000157538,1219,986,1799,1137,835,1058,32.4,31.99,25.79
ENSG00000157540,773,576,950,691,632,987,14.18,14.02,13.72
ENSG00000157542,19,10,15,11,2,1,0.23,0.18,0.07
ENSG00000157551,3,3,2,3,4,5,0.13,0.34,0
ENSG00000157554,0,0,0,0,0,0,0,0,0
ENSG00000157557,2388,1904,3309,2573,1374,2357,48.4,44.48,37.93
ENSG00000157570,129,96,36,31,165,128,14.6,11.1,5.49
ENSG00000157578,4,4,0,4,4,4.12,0.03,0.17,0
ENSG00000157593,2097,1767,2356,1737,1548,2071,61.9,69.43,55.67
ENSG00000157600,495,324,561,306,404,547,7.14,16.19,4.16
ENSG00000157601,13,23,55,19,13,27,0.65,0.41,0.73
ENSG00000157613,4471,3459,5054,3630,4939,5798,81.97,91.12,140.29
ENSG00000157617,2181,1652,2409,1552,683,1079,16.26,24.05,12.41
ENSG00000157625,597,441,775,537,380,410,5.97,5.14,6.04
ENSG00000157637,3217,2902,3612,2521,3034,3876,50.61,60.83,63.06
ENSG00000157653,2,1,4,2,4,1,0.14,0,0.18
ENSG00000157654,1557.48,1277.11,2124.15,1230.44,1679.89,2928.49,17.28,17.67,20.09
ENSG00000157657,602,494,580,450,626,729,6.64,6.1,7.52
ENSG00000157680,26,18,23,10,38,56,0.57,0.48,0.79
ENSG00000157693,100,72,62,58,184,278,3.28,3.6,2.09
ENSG00000157703,0,0,0,0,0,0,0,0,0
ENSG00000157734,204.02,118.58,177.17,113.51,161.3,301.63,2.31,2.48,3.08
ENSG00000157741,238,254,355,249,234,308,1.14,0.87,1.05
ENSG00000157764,212,192,279,199,160,223,4.42,4.23,4.64
ENSG00000157765,0,0,0,0,0,0,0.03,0,0
ENSG00000157766,0,0,0,0,5,1,0,0,2.81
ENSG00000157778,188,158,186,125,182,193,15.82,22.82,24.91
ENSG00000157782,12,15,11,2,43,28,2.78,1.62,1.43
ENSG00000157796,595,449,595,496,411,622,14.58,10.85,10.2
ENSG00000157800,761,560,820,550,843,1100,21.47,17.21,22.58
ENSG00000157823,503.37,472.61,606.97,449.52,413.09,523.1,22.58,15.32,15.24
ENSG00000157827,825,708,984,648,735,969,13.45,10.79,9.61
ENSG00000157828,0,0,0,0,0,0,0,0,0
ENSG00000157833,51,39,48,21,92,83,1.65,8.2,1.45
ENSG00000157837,848,741,1099,820,552,746,42.95,28.63,23.58
ENSG00000157851,0,0,0,0,0,2,0,0,0
