variant_type,obs.mut,sim.mut,sim.mut.normality,log2fc,log2fc.sd,log2fc.se,pvalue,pvalue.adj,condition,cycle
synonymous variant,55,61.2501,1.61E-21,-0.141221016,0.182468627,0.001824686,0.3709,0.770330769,enu,6
upstream gene variant,1472,1468.3976,0.173325473,0.003980188,0.035945063,0.000359451,0.928,1,enu,6
mature miRNA variant,0,0.188,3.70E-24,-0.181264964,0.404082243,0.004040822,1,1,enu,6
non coding transcript variant,0,0.0043,3.70E-24,-0.0043,0.06543652,0.000654365,1,1,enu,6
coding sequence variant,0,0.0033,3.70E-24,-0.0033,0.057353631,0.000573536,1,1,enu,6
incomplete terminal codon variant / coding sequence variant,0,0.004,3.70E-24,-0.004,0.063122092,0.000631221,1,1,enu,6
protein altering variant,0,0.0025,3.70E-24,-0.0025,0.049939958,0.0004994,0.0025,0.01125,enu,6
coding sequence variant / NMD transcript variant,0,2.00E-04,3.70E-24,-2.00E-04,0.014141428,0.000141414,2.00E-04,0.00135,enu,6
3 prime UTR variant,20,24.2481,3.70E-24,-0.23757411,0.28886266,0.002888627,0.3122,0.593928571,control,9
5 prime UTR variant,3,5.1463,3.70E-24,-0.510137211,0.589708404,0.005897084,0.3296,0.593928571,control,9
NMD transcript variant,0,0,NA,0,0,0,1,1,control,9
TF binding site variant,0,0.4104,3.70E-24,-0.376419678,0.555208762,0.005552088,0.3326,0.593928571,control,9
downstream gene variant,150,196.0154,4.72E-07,-0.380382803,0.098911093,0.000989111,2.00E-04,0.00125,control,9
frameshift variant,0,0.6439,3.70E-24,-0.56861855,0.636611051,0.006366111,0.6607,1,control,9
inframe deletion,0,0.056,3.70E-24,-0.055360451,0.23174626,0.002317463,0.0545,0.1703125,control,9
inframe insertion,0,0,NA,0,0,0,1,1,control,9
intergenic variant,985,753.6352,0.008524801,0.386519146,0.045314159,0.000453142,0,0,control,9
intron,1266,1404.3036,0.020071464,-0.149204428,0.027443877,0.000274439,0,0,control,9
missense variant,23,25.6532,3.70E-24,-0.12423769,0.282811855,0.002828119,0.6292,1,control,9
non coding transcript exon variant,15,14.3295,3.70E-24,0.107434678,0.370881501,0.003708815,0.8898,1,control,9
regulatory region,134,148.5354,1.53E-08,-0.142944267,0.115290469,0.001152905,0.21,0.583333333,control,9
splice,1,5.9371,3.70E-24,-1.694716125,0.564257786,0.005642578,0.0201,0.071785714,control,9
start lost,0,0.0458,3.70E-24,-0.04536797,0.210370763,0.002103708,1,1,control,9
start retained variant,0,0,NA,0,0,0,1,1,control,9
stop gained,4,1.8984,3.70E-24,0.96360086,0.743365927,0.007433659,0.2776,0.593928571,control,9
stop lost,0,0.0378,3.70E-24,-0.037550978,0.19157468,0.001915747,1,1,control,9
stop retained variant,0,0.0106,3.70E-24,-0.0106,0.1024143,0.001024143,1,1,control,9
synonymous variant,3,8.5603,3.70E-24,-1.186880387,0.466258157,0.004662582,0.0087,0.03625,control,9
upstream gene variant,173,187.5063,2.87E-09,-0.111920788,0.102136565,0.001021366,0.243,0.593928571,control,9
mature miRNA variant,0,0.0207,3.70E-24,-0.020658496,0.142570929,0.001425709,1,1,control,9
coding sequence variant,0,2.00E-04,3.70E-24,-2.00E-04,0.014141428,0.000141414,2.00E-04,0.00125,control,9
incomplete terminal codon variant / coding sequence variant,0,7.00E-04,3.70E-24,-7.00E-04,0.026449574,0.000264496,1,1,control,9
non coding transcript variant,0,5.00E-04,3.70E-24,-5.00E-04,0.022356207,0.000223562,5.00E-04,0.0025,control,9
3 prime UTR variant,433,555.5714,3.70E-24,-0.35732823,0.067318683,0.000673187,0.0037,0.018,enu,9
5 prime UTR variant,83,90.9082,4.39E-12,-0.121746801,0.153273482,0.001532735,0.408,0.719775,enu,9
NMD transcript variant,0,0,NA,0,0,0,1,1,enu,9
TF binding site variant,14,9.5852,3.70E-24,0.569093545,0.451677782,0.004516778,0.2637,0.567969231,enu,9
downstream gene variant,4537,4671.7854,3.70E-24,-0.041837873,0.034481187,0.000344812,0.0437,0.12236,enu,9
frameshift variant,1,1.0326,3.70E-24,0.149692841,0.709596925,0.007095969,1,1,enu,9
inframe deletion,0,0.077,3.70E-24,-0.076045414,0.269076531,0.002690765,0.0747,0.190145455,enu,9
inframe insertion,0,0.0059,3.70E-24,-0.0059,0.076588358,0.000765884,0.0059,0.02065,enu,9
intergenic variant,22948,20895.324,3.70E-24,0.135432525,0.028007621,0.000280076,0.0045,0.018,enu,9
intron,32715,34571.7963,3.70E-24,-0.079399091,0.027596753,0.000275968,0.0045,0.018,enu,9
missense variant,442,561.6301,3.70E-24,-0.343379197,0.066324691,0.000663247,0.0041,0.018,enu,9
non coding transcript exon variant,336,337.084,4.64E-14,-0.002297872,0.082572144,0.000825721,0.9343,1,enu,9
regulatory region,3723,3408.8857,3.70E-24,0.12757686,0.036892434,0.000368924,0.0045,0.018,enu,9
splice,93,131.4923,5.02E-09,-0.489525297,0.128320575,0.001283206,8.00E-04,0.0112,enu,9
start lost,1,2.2775,3.70E-24,-0.545600564,0.729633948,0.007296339,0.4113,0.719775,enu,9
start retained variant,0,0,NA,0,0,0,1,1,enu,9
stop gained,37,33.3807,3.70E-24,0.165569086,0.249663482,0.002496635,0.6067,0.943755556,enu,9
stop lost,0,1.2117,3.70E-24,-0.966544894,0.727939293,0.007279393,0.3352,0.6704,enu,9
stop retained variant,1,0.229,3.70E-24,0.780749772,0.438973796,0.004389738,0.206,0.480666667,enu,9
synonymous variant,166,174.2779,3.34E-09,-0.065497165,0.111791204,0.001117912,0.5493,0.904729412,enu,9
upstream gene variant,4422,4428.029,3.70E-24,-0.001575624,0.034488414,0.000344884,0.9251,1,enu,9
mature miRNA variant,0,0.5147,3.70E-24,-0.463315832,0.598985132,0.005989851,0.6989,1,enu,9
incomplete terminal codon variant / coding sequence variant,0,0.0096,3.70E-24,-0.009558496,0.097779353,0.000977794,0.0095,0.029555556,enu,9
non coding transcript variant,0,0.014,3.70E-24,-0.013958496,0.117718974,0.00117719,1,1,enu,9
coding sequence variant,0,0.009,3.70E-24,-0.009,0.09444518,0.000944452,1,1,enu,9
coding sequence variant / NMD transcript variant,0,0.0011,3.70E-24,-0.0011,0.033149659,0.000331497,1,1,enu,9
protein altering variant,0,0.0024,3.70E-24,-0.0024,0.048933419,0.000489334,1,1,enu,9
coding sequence variant / 3 prime UTR variant,0,2.00E-04,3.70E-24,-2.00E-04,0.014141428,0.000141414,2.00E-04,0.0056,enu,9
