"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C1_05_24
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,C1_05_24
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C1_05_24
"3 prime UTR variant",3,4,3.7e-24,-0.321928094887362,0.6582,1,C2_05_24
"5 prime UTR variant",3,1,3.7e-24,1,0.4646,1,C2_05_24
"downstream gene variant",29,34,3.7e-24,-0.222392421336448,0.3719,1,C2_05_24
"frameshift variant",0,0,3.7e-24,0,1,1,C2_05_24
"inframe deletion",0,0,3.7e-24,0,1,1,C2_05_24
"inframe insertion",0,0,NA,0,1,1,C2_05_24
"intergenic variant",179,150,8.49590531790109e-12,0.253448357004596,0.0096,0.336,C2_05_24
"intron variant",230,244,5.34949197613017e-09,-0.0848888975865131,0.1878,1,C2_05_24
"missense variant",2,4,3.7e-24,-0.736965594166206,0.2816,1,C2_05_24
"non coding transcript exon variant",1,2,3.7e-24,-0.584962500721156,0.3515,1,C2_05_24
"regulatory region variant",29,28,3.7e-24,0.0489096004809465,0.8428,1,C2_05_24
"splice acceptor variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant",1,0,3.7e-24,1,0.244,1,C2_05_24
"splice region variant",1,0,3.7e-24,1,0.3196,1,C2_05_24
"start lost",0,0,3.7e-24,0,1,1,C2_05_24
"start retained variant",0,0,NA,0,1,1,C2_05_24
"stop gained",0,0,3.7e-24,0,1,1,C2_05_24
"stop lost",0,0,3.7e-24,0,1,1,C2_05_24
"stop retained variant",0,0,3.7e-24,0,1,1,C2_05_24
"synonymous variant",1,1,3.7e-24,0,1,1,C2_05_24
"upstream gene variant",22,32,3.7e-24,-0.52083216330144,0.0459,0.80325,C2_05_24
"splice donor region variant / intron variant",0,0,3.7e-24,0,1,1,C2_05_24
"TF binding site variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"mature miRNA variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C2_05_24
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C2_05_24
"non coding transcript variant",0,0,3.7e-24,0,1,1,C2_05_24
"3 prime UTR variant",3,4,3.7e-24,-0.321928094887362,0.638,1,C3_05_24
"5 prime UTR variant",0,1,3.7e-24,-1,0.4599,1,C3_05_24
"downstream gene variant",28,38,3.7e-24,-0.427421223734676,0.0619,0.936,C3_05_24
"frameshift variant",0,0,3.7e-24,0,1,1,C3_05_24
"inframe deletion",0,0,3.7e-24,0,1,1,C3_05_24
"inframe insertion",0,0,NA,0,1,1,C3_05_24
"intergenic variant",190,151,6.68105675701017e-10,0.329501314592163,9e-04,0.0324,C3_05_24
"intron variant",254,269,2.65575380917513e-08,-0.082462160191973,0.179,1,C3_05_24
"missense variant",4,5,3.7e-24,-0.263034405833794,0.6879,1,C3_05_24
"non coding transcript exon variant",1,3,3.7e-24,-1,0.2452,1,C3_05_24
"regulatory region variant",24,29,3.7e-24,-0.263034405833794,0.339,1,C3_05_24
"splice acceptor variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor region variant / intron variant",1,0,3.7e-24,1,0.078,0.936,C3_05_24
"splice donor variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice region variant",0,0,3.7e-24,0,1,1,C3_05_24
"start lost",0,0,3.7e-24,0,1,1,C3_05_24
"start retained variant",0,0,NA,0,1,1,C3_05_24
"stop gained",1,0,3.7e-24,1,0.3382,1,C3_05_24
"stop lost",0,0,3.7e-24,0,1,1,C3_05_24
"stop retained variant",0,0,3.7e-24,0,1,1,C3_05_24
"synonymous variant",1,2,3.7e-24,-0.584962500721156,0.2695,1,C3_05_24
"upstream gene variant",33,35,3.7e-24,-0.082462160191973,0.6692,1,C3_05_24
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice polypyrimidine tract variant / intron variant",0,0,3.7e-24,0,1,1,C3_05_24
"TF binding site variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"mature miRNA variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"non coding transcript variant",0,0,3.7e-24,0,1,1,C3_05_24
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,C3_05_24
"coding sequence variant",0,0,3.7e-24,0,1,1,C3_05_24
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,C3_05_24
"3 prime UTR variant",27,24,3.7e-24,0.16349873228288,0.549,1,E1_06_14
"5 prime UTR variant",2,4,3.7e-24,-0.736965594166206,0.2698,1,E1_06_14
"downstream gene variant",188,205,1.93329592038653e-06,-0.124258102962146,0.2071,1,E1_06_14
"frameshift variant",0,0,3.7e-24,0,1,1,E1_06_14
"inframe deletion",0,0,3.7e-24,0,1,1,E1_06_14
"inframe insertion",0,0,NA,0,1,1,E1_06_14
"intergenic variant",946,874,0.0253979305472206,0.114081408748694,0.0067,0.0848666666666667,E1_06_14
"intron variant",1429,1481,0.0308328330910179,-0.0515303006400821,0.0558,0.5301,E1_06_14
"missense variant",14,26,3.7e-24,-0.84799690655495,0.0066,0.0848666666666667,E1_06_14
"non coding transcript exon variant",14,15,3.7e-24,-0.0931094043914815,0.701,1,E1_06_14
"regulatory region variant",150,155,1.27082848561072e-08,-0.0469974795371694,0.6534,1,E1_06_14
"splice acceptor variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor region variant / intron variant",1,0,3.7e-24,1,0.4532,1,E1_06_14
"splice donor variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice region variant",1,2,3.7e-24,-0.584962500721156,0.2804,1,E1_06_14
"start lost",0,0,3.7e-24,0,1,1,E1_06_14
"start retained variant",0,0,NA,0,1,1,E1_06_14
"stop gained",1,1,3.7e-24,0,1,1,E1_06_14
"stop lost",0,0,3.7e-24,0,1,1,E1_06_14
"stop retained variant",0,0,3.7e-24,0,1,1,E1_06_14
"synonymous variant",6,8,3.7e-24,-0.362570079384708,0.4918,1,E1_06_14
"upstream gene variant",212,190,3.0022055215883e-08,0.15728079219009,0.1257,0.95532,E1_06_14
"splice polypyrimidine tract variant / intron variant",0,2,3.7e-24,-1.58496250072116,4e-04,0.0152,E1_06_14
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"TF binding site variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"mature miRNA variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"non coding transcript variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor 5th base variant / synonymous variant",0,0,3.7e-24,0,1,1,E1_06_14
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E1_06_14
"coding sequence variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E1_06_14
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E1_06_14
"3 prime UTR variant",17,28,3.7e-24,-0.68805599368526,0.0188,0.238133333333333,E1_08_16
"5 prime UTR variant",8,5,3.7e-24,0.584962500721156,0.3946,1,E1_08_16
"TF binding site variant",1,0,3.7e-24,1,0.4318,1,E1_08_16
"downstream gene variant",248,261,4.04175033630342e-05,-0.0734210694693694,0.38,1,E1_08_16
"frameshift variant",0,0,3.7e-24,0,1,1,E1_08_16
"inframe deletion",0,0,3.7e-24,0,1,1,E1_08_16
"inframe insertion",0,0,NA,0,1,1,E1_08_16
"intergenic variant",1363,1263,0.0336380406759598,0.10984718084707,0.0011,0.0285,E1_08_16
"intron variant",1864,1960,0.0934760090934408,-0.0724139050495489,0.0015,0.0285,E1_08_16
"missense variant",35,31,3.7e-24,0.169925001442312,0.5202,1,E1_08_16
"non coding transcript exon variant",24,21,3.7e-24,0.184424571137428,0.5136,1,E1_08_16
"regulatory region variant",216,209,6.82010098538044e-06,0.0473057147783568,0.6207,1,E1_08_16
"splice acceptor variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor region variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.0959,0.91105,E1_08_16
"splice donor variant",2,1,3.7e-24,0.584962500721156,0.6373,1,E1_08_16
"splice polypyrimidine tract variant / intron variant",3,2,3.7e-24,0.415037499278844,0.7315,1,E1_08_16
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.2338,1,E1_08_16
"splice region variant",3,2,3.7e-24,0.415037499278844,0.7483,1,E1_08_16
"start lost",0,0,3.7e-24,0,1,1,E1_08_16
"start retained variant",0,0,NA,0,1,1,E1_08_16
"stop gained",5,2,3.7e-24,1,0.182,1,E1_08_16
"stop lost",0,0,3.7e-24,0,1,1,E1_08_16
"stop retained variant",0,0,3.7e-24,0,1,1,E1_08_16
"synonymous variant",6,10,3.7e-24,-0.652076696579693,0.1489,1,E1_08_16
"upstream gene variant",240,239,6.42772335840329e-05,0.00599874062144307,0.9709,1,E1_08_16
"splice donor region variant / intron variant",0,1,3.7e-24,-1,0.532,1,E1_08_16
"mature miRNA variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E1_08_16
"coding sequence variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E1_08_16
"non coding transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor 5th base variant / splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E1_08_16
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E1_08_16
"3 prime UTR variant",23,30,3.7e-24,-0.369233809665719,0.1601,1,E2_06_14
"5 prime UTR variant",3,5,3.7e-24,-0.584962500721156,0.2666,1,E2_06_14
"TF binding site variant",1,0,3.7e-24,1,0.4063,1,E2_06_14
"downstream gene variant",266,253,1.81056018189112e-06,0.072011244915388,0.4206,1,E2_06_14
"frameshift variant",0,0,3.7e-24,0,1,1,E2_06_14
"inframe deletion",0,0,3.7e-24,0,1,1,E2_06_14
"inframe insertion",0,0,NA,0,1,1,E2_06_14
"intergenic variant",1167,1063,0.0421907103379057,0.134542123378828,4e-04,0.0072,E2_06_14
"intron variant",1693,1824,0.0871740239111536,-0.107462589322543,1e-04,0.0036,E2_06_14
"missense variant",35,31,3.7e-24,0.169925001442312,0.5311,1,E2_06_14
"non coding transcript exon variant",23,18,3.7e-24,0.337034987277571,0.3467,1,E2_06_14
"regulatory region variant",185,186,1.73437724755612e-07,-0.00773564877960531,0.9157,1,E2_06_14
"splice acceptor variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor variant",1,1,3.7e-24,0,1,1,E2_06_14
"splice polypyrimidine tract variant / intron variant",4,2,3.7e-24,0.736965594166206,0.2832,1,E2_06_14
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.2174,1,E2_06_14
"splice region variant",3,2,3.7e-24,0.415037499278844,0.7529,1,E2_06_14
"start lost",0,0,3.7e-24,0,1,1,E2_06_14
"start retained variant",0,0,NA,0,1,1,E2_06_14
"stop gained",2,2,3.7e-24,0,1,1,E2_06_14
"stop lost",0,0,3.7e-24,0,1,1,E2_06_14
"stop retained variant",0,0,3.7e-24,0,1,1,E2_06_14
"synonymous variant",11,10,3.7e-24,0.125530882083859,0.8821,1,E2_06_14
"upstream gene variant",247,233,9.58148457658433e-08,0.0838315908034707,0.3491,1,E2_06_14
"splice donor region variant / intron variant",0,1,3.7e-24,-1,0.5031,1,E2_06_14
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"mature miRNA variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E2_06_14
"non coding transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_06_14
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E2_06_14
"coding sequence variant",0,0,3.7e-24,0,1,1,E2_06_14
"3 prime UTR variant",38,42,3.7e-24,-0.14086253583985,0.5473,1,E2_08_16
"5 prime UTR variant",12,8,3.7e-24,0.53051471669878,0.3161,1,E2_08_16
"TF binding site variant",1,1,3.7e-24,0,1,1,E2_08_16
"downstream gene variant",347,381,0.000517355312171117,-0.13448533218702,0.0568,0.44304,E2_08_16
"frameshift variant",0,0,3.7e-24,0,1,1,E2_08_16
"inframe deletion",0,0,3.7e-24,0,1,1,E2_08_16
"inframe insertion",0,0,3.7e-24,0,1,1,E2_08_16
"intergenic variant",1951,1747,0.090471939655546,0.159247868062288,0,0,E2_08_16
"intron variant",2647,2817,0.0227665442993281,-0.0897684895024189,0,0,E2_08_16
"missense variant",42,48,3.7e-24,-0.18844508941311,0.3866,1,E2_08_16
"non coding transcript exon variant",27,29,3.7e-24,-0.0995356735509144,0.6436,1,E2_08_16
"regulatory region variant",351,300,6.52843888747445e-07,0.225811941877595,0.0062,0.0806,E2_08_16
"splice acceptor variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor region variant / intron variant",2,1,3.7e-24,0.584962500721156,0.6323,1,E2_08_16
"splice donor region variant / intron variant / non coding transcript variant",1,0,3.7e-24,1,0.1371,0.763842857142857,E2_08_16
"splice donor variant",0,1,3.7e-24,-1,0.4117,1,E2_08_16
"splice polypyrimidine tract variant / intron variant",3,3,3.7e-24,0,1,1,E2_08_16
"splice region variant",4,4,3.7e-24,0,1,1,E2_08_16
"start lost",0,0,3.7e-24,0,1,1,E2_08_16
"start retained variant",0,0,NA,0,1,1,E2_08_16
"stop gained",3,3,3.7e-24,0,1,1,E2_08_16
"stop lost",0,0,3.7e-24,0,1,1,E2_08_16
"stop retained variant",0,0,3.7e-24,0,1,1,E2_08_16
"synonymous variant",9,15,3.7e-24,-0.678071905112638,0.078,0.507,E2_08_16
"upstream gene variant",304,341,0.00128324356059751,-0.165187082435649,0.0321,0.312975,E2_08_16
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E2_08_16
"mature miRNA variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E2_08_16
"protein altering variant",0,0,3.7e-24,0,1,1,E2_08_16
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E2_08_16
"non coding transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"coding sequence variant",0,0,3.7e-24,0,1,1,E2_08_16
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E2_08_16
"coding sequence variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E2_08_16
"3 prime UTR variant",63,73,1.87089800018637e-17,-0.20945336562895,0.2187,1,E3_06_14
"5 prime UTR variant",11,12,3.7e-24,-0.115477217419936,0.6641,1,E3_06_14
"downstream gene variant",616,639,0.00324280634838225,-0.0528014157379444,0.3453,1,E3_06_14
"frameshift variant",0,0,3.7e-24,0,1,1,E3_06_14
"inframe deletion",0,0,3.7e-24,0,1,1,E3_06_14
"inframe insertion",0,0,3.7e-24,0,1,1,E3_06_14
"intergenic variant",2908,2680,0.0889109358807772,0.117752077117745,0,0,E3_06_14
"intron variant",4532,4741,0.318327656629998,-0.0650295015960226,0,0,E3_06_14
"missense variant",58,79,2.73885594608896e-16,-0.439285045525521,0.0103,0.095275,E3_06_14
"non coding transcript exon variant",40,47,3.7e-24,-0.227410496103073,0.2466,1,E3_06_14
"regulatory region variant",486,486,0.00356211669395536,0,1,1,E3_06_14
"splice acceptor variant",0,1,3.7e-24,-1,0.4617,1,E3_06_14
"splice donor variant",5,2,3.7e-24,1,0.1855,1,E3_06_14
"splice polypyrimidine tract variant / intron variant",7,5,3.7e-24,0.415037499278844,0.5122,1,E3_06_14
"splice region variant",7,6,3.7e-24,0.192645077942396,0.8402,1,E3_06_14
"start lost",0,0,3.7e-24,0,1,1,E3_06_14
"start retained variant",0,0,3.7e-24,0,1,1,E3_06_14
"stop gained",7,4,3.7e-24,0.678071905112638,0.253,1,E3_06_14
"stop lost",0,0,3.7e-24,0,1,1,E3_06_14
"stop retained variant",0,0,3.7e-24,0,1,1,E3_06_14
"synonymous variant",24,25,3.7e-24,-0.0565835283663674,0.8452,1,E3_06_14
"upstream gene variant",641,597,0.0105342733672343,0.102427812924198,0.0713,0.52762,E3_06_14
"TF binding site variant",0,1,3.7e-24,-1,0.4143,1,E3_06_14
"splice donor region variant / intron variant",0,2,3.7e-24,-1.58496250072116,7e-04,0.00863333333333333,E3_06_14
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"mature miRNA variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"non coding transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_06_14
"coding sequence variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E3_06_14
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E3_06_14
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E3_06_14
"3 prime UTR variant",66,64,5.01022154467864e-21,0.0437213774293178,0.847,1,E3_08_16
"5 prime UTR variant",17,11,3.7e-24,0.584962500721156,0.2038,1,E3_08_16
"TF binding site variant",1,1,3.7e-24,0,1,1,E3_08_16
"downstream gene variant",583,574,0.0103385058187639,0.0224064130482797,0.6978,1,E3_08_16
"frameshift variant",0,0,3.7e-24,0,1,1,E3_08_16
"inframe deletion",0,0,3.7e-24,0,1,1,E3_08_16
"inframe insertion",0,0,3.7e-24,0,1,1,E3_08_16
"intergenic variant",3043,2801,0.029677955297331,0.119511403072727,0,0,E3_08_16
"intron variant",4102,4383,0.3481548199399,-0.0955686440679917,0,0,E3_08_16
"missense variant",51,68,4.28569806803852e-18,-0.408084738637077,0.0204,0.272,E3_08_16
"non coding transcript exon variant",50,45,3.7e-24,0.148863385914483,0.4618,1,E3_08_16
"regulatory region variant",498,452,0.00728667696572701,0.139528765291026,0.0367,0.367,E3_08_16
"splice acceptor variant",0,1,3.7e-24,-1,0.4953,1,E3_08_16
"splice donor variant",1,2,3.7e-24,-0.584962500721156,0.2677,1,E3_08_16
"splice polypyrimidine tract variant / intron variant",3,4,3.7e-24,-0.321928094887362,0.6427,1,E3_08_16
"splice region variant",4,6,3.7e-24,-0.485426827170242,0.2891,1,E3_08_16
"start lost",1,0,3.7e-24,1,0.2303,1,E3_08_16
"start retained variant",0,0,NA,0,1,1,E3_08_16
"stop gained",3,4,3.7e-24,-0.321928094887362,0.651,1,E3_08_16
"stop lost",0,0,3.7e-24,0,1,1,E3_08_16
"stop retained variant",0,0,3.7e-24,0,1,1,E3_08_16
"synonymous variant",22,21,3.7e-24,0.0641303374197156,0.9109,1,E3_08_16
"upstream gene variant",527,531,0.00239310166372169,-0.0108883161427362,0.8445,1,E3_08_16
"splice donor region variant / intron variant",0,1,3.7e-24,-1,0.418,1,E3_08_16
"splice donor 5th base variant / intron variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor region variant / intron variant / non coding transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor region variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"coding sequence variant",0,0,3.7e-24,0,1,1,E3_08_16
"mature miRNA variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"non coding transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"incomplete terminal codon variant / coding sequence variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor region variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor 5th base variant / synonymous variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor 5th base variant / non coding transcript exon variant",0,0,3.7e-24,0,1,1,E3_08_16
"splice donor region variant / synonymous variant",0,0,3.7e-24,0,1,1,E3_08_16
"coding sequence variant / NMD transcript variant",0,0,3.7e-24,0,1,1,E3_08_16
"3 prime UTR variant",3,4,3.7e-24,-0.321928094887362,0.6459,1,MMEA9_C1
"5 prime UTR variant",0,1,3.7e-24,-1,0.4327,1,MMEA9_C1
"downstream gene variant",36,36,3.7e-24,0,1,1,MMEA9_C1
"frameshift variant",0,0,3.7e-24,0,1,1,MMEA9_C1
"inframe deletion",0,0,NA,0,1,1,MMEA9_C1
"inframe insertion",0,0,NA,0,1,1,MMEA9_C1
"intergenic variant",173,138,1.99027947631432e-11,0.324002423125221,0.0021,0.0693,MMEA9_C1
