"variant_type","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","pvalue.adj",sample
"start retained variant",0,0,NA,0,1,1,C2_05_24
"stop gained",0,0.2794,3.7e-24,-0.264552809389675,1,1,C2_05_24
"stop lost",0,0.0041,3.7e-24,-0.0041,1,1,C2_05_24
"stop retained variant",0,0.0014,3.7e-24,-0.0014,0.0014,0.00816666666666667,C2_05_24
"synonymous variant",1,1.5914,3.7e-24,-0.192616310722746,0.7468,1,C2_05_24
"upstream gene variant",22,31.633,3.7e-24,-0.484073410732981,0.048,0.186666666666667,C2_05_24
"splice donor region variant / intron variant",0,0.0622,3.7e-24,-0.0612869175015865,0.06,0.206181818181818,C2_05_24
"TF binding site variant",0,0.0688,3.7e-24,-0.0678699250014423,1,1,C2_05_24
"splice donor 5th base variant / intron variant",0,0.0369,3.7e-24,-0.0368169925001442,1,1,C2_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0057,3.7e-24,-0.0057,1,1,C2_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0.01,3.7e-24,-0.01,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0.0347,3.7e-24,-0.0344924812503606,1,1,C2_05_24
"mature miRNA variant",0,0.0054,3.7e-24,-0.0054,1,1,C2_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0064,3.7e-24,-0.0064,0.0064,0.032,C2_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,0.0014,3.7e-24,-0.0014,0.0014,0.00816666666666667,C2_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0014,3.7e-24,-0.0014,0.0014,0.00816666666666667,C2_05_24
"splice donor 5th base variant / non coding transcript exon variant",0,1e-04,3.7e-24,-1e-04,1e-04,0.0035,C2_05_24
"splice donor region variant / non coding transcript exon variant",0,3e-04,3.7e-24,-3e-04,3e-04,0.0035,C2_05_24
"non coding transcript variant",0,3e-04,3.7e-24,-3e-04,3e-04,0.0035,C2_05_24
"3 prime UTR variant",3,4.6498,3.7e-24,-0.379936305994713,0.5058,0.7587,C3_05_24
"5 prime UTR variant",0,0.9748,3.7e-24,-0.807587962625475,0.0783,0.165811764705882,C3_05_24
"downstream gene variant",28,38.4727,3.7e-24,-0.428060887368358,0.0395,0.109384615384615,C3_05_24
"frameshift variant",0,0.1285,3.7e-24,-0.125187218755409,0.1206,0.228505263157895,C3_05_24
"inframe deletion",0,0.0072,3.7e-24,-0.00715849625007212,1,1,C3_05_24
"inframe insertion",0,0,NA,0,1,1,C3_05_24
"intergenic variant",190,151.0901,6.68105675701017e-10,0.332051580452108,0.0012,0.0072,C3_05_24
"intron variant",254,268.8658,2.65575380917513e-08,-0.0804178905972664,0.1939,0.34902,C3_05_24
"missense variant",4,4.675,3.7e-24,-0.0663000949822718,0.8202,1,C3_05_24
"non coding transcript exon variant",1,2.8102,3.7e-24,-0.774456193121122,0.2452,0.420342857142857,C3_05_24
"regulatory region variant",24,29.2936,3.7e-24,-0.255026781071188,0.3018,0.493854545454545,C3_05_24
"splice acceptor variant",0,0.096,3.7e-24,-0.0942643612526683,0.0919,0.1838,C3_05_24
"splice donor region variant / intron variant",1,0.0804,3.7e-24,0.920630074998558,0.078,0.165811764705882,C3_05_24
"splice donor variant",0,0.0727,3.7e-24,-0.0718284212515144,0.0706,0.165811764705882,C3_05_24
"splice region variant",0,0.4755,3.7e-24,-0.431424703444038,0.7087,0.944933333333333,C3_05_24
"start lost",0,0.0064,3.7e-24,-0.0064,0.0064,0.0234,C3_05_24
"start retained variant",0,0,NA,0,1,1,C3_05_24
"stop gained",1,0.4131,3.7e-24,0.619710535304157,0.3382,0.529356521739131,C3_05_24
"stop lost",0,0.0065,3.7e-24,-0.0065,0.0065,0.0234,C3_05_24
"stop retained variant",0,0.0028,3.7e-24,-0.0028,0.0028,0.0144,C3_05_24
"synonymous variant",1,1.9201,3.7e-24,-0.374918983408719,0.5434,0.782496,C3_05_24
"upstream gene variant",33,35.4387,3.7e-24,-0.0816122560588123,0.6078,0.841569230769231,C3_05_24
"splice donor 5th base variant / intron variant",0,0.0533,3.7e-24,-0.0526359400011538,0.0517,0.132942857142857,C3_05_24
"splice polypyrimidine tract variant / intron variant",0,0.3256,3.7e-24,-0.305251619706519,1,1,C3_05_24
"TF binding site variant",0,0.0773,3.7e-24,-0.0758888725024519,1,1,C3_05_24
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0.0365,3.7e-24,-0.0360019550008654,0.0353,0.1059,C3_05_24
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0059,3.7e-24,-0.0059,0.0059,0.0234,C3_05_24
"mature miRNA variant",0,0.0041,3.7e-24,-0.0041,1,1,C3_05_24
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0041,3.7e-24,-0.0041,1,1,C3_05_24
"splice donor region variant / intron variant / non coding transcript variant",0,0.0108,3.7e-24,-0.0107584962500721,0.0107,0.0350181818181818,C3_05_24
"splice donor 5th base variant / intron variant / NMD transcript variant",0,5e-04,3.7e-24,-5e-04,5e-04,0.0036,C3_05_24
"splice donor region variant / intron variant / NMD transcript variant",0,7e-04,3.7e-24,-7e-04,1,1,C3_05_24
"non coding transcript variant",0,2e-04,3.7e-24,-2e-04,2e-04,0.0018,C3_05_24
"splice donor region variant / non coding transcript exon variant",0,2e-04,3.7e-24,-2e-04,2e-04,0.0018,C3_05_24
"coding sequence variant",0,1e-04,3.7e-24,-1e-04,1e-04,0.0018,C3_05_24
"incomplete terminal codon variant / coding sequence variant",0,2e-04,3.7e-24,-2e-04,2e-04,0.0018,C3_05_24
"3 prime UTR variant",27,23.8668,3.7e-24,0.200346232312316,0.549,0.948272727272727,E1_06_14
"5 prime UTR variant",2,4.3766,3.7e-24,-0.718235108333312,0.2263,0.477744444444444,E1_06_14
"downstream gene variant",188,205.4618,1.93329592038653e-06,-0.124234760139018,0.1963,0.438788235294118,E1_06_14
"frameshift variant",0,0.1514,3.7e-24,-0.146964825316556,1,1,E1_06_14
"inframe deletion",0,0.0217,3.7e-24,-0.0216169925001442,0.0215,0.102125,E1_06_14
"inframe insertion",0,0,NA,0,1,1,E1_06_14
"intergenic variant",946,873.7112,0.0253979305472206,0.115140831813958,0.0064,0.0418,E1_06_14
"intron variant",1429,1480.489,0.0308328330910179,-0.0507880147311884,0.0556,0.176066666666667,E1_06_14
"missense variant",14,25.9999,3.7e-24,-0.821850214539495,0.0066,0.0418,E1_06_14
"non coding transcript exon variant",14,15.12,3.7e-24,-0.0595163746463779,0.701,1,E1_06_14
"regulatory region variant",150,154.6859,1.27082848561072e-08,-0.03967166148336,0.7129,1,E1_06_14
"splice acceptor variant",0,0.3403,3.7e-24,-0.317793261900204,1,1,E1_06_14
"splice donor region variant / intron variant",1,0.6098,3.7e-24,0.460505797200043,1,1,E1_06_14
"splice donor variant",0,0.6003,3.7e-24,-0.533062522786975,0.6744,1,E1_06_14
"splice region variant",1,2.162,3.7e-24,-0.493728047098297,0.5305,0.948272727272727,E1_06_14
"start lost",0,0.101,3.7e-24,-0.098915338753101,0.0961,0.260842857142857,E1_06_14
"start retained variant",0,0,NA,0,1,1,E1_06_14
"stop gained",1,1.5839,3.7e-24,-0.190448333845114,0.417,0.7923,E1_06_14
"stop lost",0,0.0539,3.7e-24,-0.0533849625007212,0.0527,0.176066666666667,E1_06_14
"stop retained variant",0,0.0117,3.7e-24,-0.0116584962500721,0.0116,0.0629714285714286,E1_06_14
"synonymous variant",6,8.3764,3.7e-24,-0.346700877815633,0.4112,0.7923,E1_06_14
"upstream gene variant",212,190.5811,3.0022055215883e-08,0.156436856068648,0.1286,0.325786666666667,E1_06_14
"splice polypyrimidine tract variant / intron variant",0,1.6816,3.7e-24,-1.24411090715704,0.1875,0.438788235294118,E1_06_14
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0.2062,3.7e-24,-0.197878347512548,1,1,E1_06_14
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0286,3.7e-24,-0.0283754887502163,0.0281,0.10678,E1_06_14
"TF binding site variant",0,0.4485,3.7e-24,-0.411438308632382,0.7084,1,E1_06_14
"splice donor region variant / intron variant / NMD transcript variant",0,0.0115,3.7e-24,-0.0114169925001442,1,1,E1_06_14
"mature miRNA variant",0,0.0267,3.7e-24,-0.0266584962500721,0.0266,0.10678,E1_06_14
"splice donor 5th base variant / intron variant",0,0.1833,3.7e-24,-0.17759503875887,1,1,E1_06_14
"splice donor region variant / intron variant / non coding transcript variant",0,0.0757,3.7e-24,-0.0747699250014423,0.0735,0.214846153846154,E1_06_14
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0235,3.7e-24,-0.0234584962500721,1,1,E1_06_14
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0033,3.7e-24,-0.0033,1,1,E1_06_14
"non coding transcript variant",0,0.001,3.7e-24,-0.001,1,1,E1_06_14
"splice donor 5th base variant / synonymous variant",0,1e-04,3.7e-24,-1e-04,1e-04,0.0038,E1_06_14
"incomplete terminal codon variant / coding sequence variant",0,6e-04,3.7e-24,-6e-04,6e-04,0.0057,E1_06_14
"coding sequence variant",0,7e-04,3.7e-24,-7e-04,1,1,E1_06_14
"splice donor region variant / non coding transcript exon variant",0,4e-04,3.7e-24,-4e-04,4e-04,0.00506666666666667,E1_06_14
"splice donor 5th base variant / non coding transcript exon variant",0,2e-04,3.7e-24,-2e-04,2e-04,0.0038,E1_06_14
"3 prime UTR variant",17,28.0847,3.7e-24,-0.667523175412152,0.0188,0.07144,E1_08_16
"5 prime UTR variant",8,5.1597,3.7e-24,0.658171188442815,0.3946,0.7892,E1_08_16
"TF binding site variant",1,0.5604,3.7e-24,0.497202618256289,1,1,E1_08_16
"downstream gene variant",248,261.2222,4.04175033630342e-05,-0.0721339005257421,0.3835,0.7892,E1_08_16
"frameshift variant",0,0.157,3.7e-24,-0.152000602507644,1,1,E1_08_16
"inframe deletion",0,0.0078,3.7e-24,-0.0078,0.0078,0.03705,E1_08_16
"inframe insertion",0,0,NA,0,1,1,E1_08_16
"intergenic variant",1363,1263.0324,0.0336380406759598,0.11019939497106,0.0011,0.0076,E1_08_16
"intron variant",1864,1959.6009,0.0934760090934408,-0.0719326271412247,0.0015,0.00814285714285714,E1_08_16
"missense variant",35,31.1738,3.7e-24,0.183730212567325,0.4703,0.851019047619048,E1_08_16
"non coding transcript exon variant",24,20.6938,3.7e-24,0.237007129691182,0.4373,0.83087,E1_08_16
"regulatory region variant",216,208.6436,6.82010098538044e-06,0.0530186120840351,0.6195,1,E1_08_16
"splice acceptor variant",0,0.3942,3.7e-24,-0.363442095943319,0.3239,0.724011764705882,E1_08_16
"splice donor region variant / intron variant / non coding transcript variant",1,0.102,3.7e-24,0.900582706246034,0.0959,0.280323076923077,E1_08_16
"splice donor variant",2,0.7793,3.7e-24,0.912958062693217,0.4976,0.859490909090909,E1_08_16
"splice polypyrimidine tract variant / intron variant",3,1.9274,3.7e-24,0.625944503431286,0.7315,1,E1_08_16
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0.2625,3.7e-24,0.74968345623161,0.2338,0.555275,E1_08_16
"splice region variant",3,2.6133,3.7e-24,0.308723178309612,1,1,E1_08_16
"start lost",0,0.109,3.7e-24,-0.107090827503317,1,1,E1_08_16
"start retained variant",0,0,NA,0,1,1,E1_08_16
"stop gained",5,2.0241,3.7e-24,1.15832568937308,0.1439,0.364546666666667,E1_08_16
"stop lost",0,0.0643,3.7e-24,-0.063120902501875,0.0615,0.19475,E1_08_16
"stop retained variant",0,0.0123,3.7e-24,-0.0121754887502163,1,1,E1_08_16
"synonymous variant",6,10.2807,3.7e-24,-0.62458857299276,0.1345,0.364546666666667,E1_08_16
"upstream gene variant",240,239.0589,6.42772335840329e-05,0.00841151307812371,0.9445,1,E1_08_16
"splice donor region variant / intron variant",0,0.7,3.7e-24,-0.610335329636981,0.6576,1,E1_08_16
"mature miRNA variant",0,0.0313,3.7e-24,-0.0312169925001442,1,1,E1_08_16
"splice donor 5th base variant / intron variant",0,0.2066,3.7e-24,-0.198610377511971,1,1,E1_08_16
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0394,3.7e-24,-0.0391924812503606,0.0389,0.134381818181818,E1_08_16
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0294,3.7e-24,-0.0291094737505048,1,1,E1_08_16
"splice donor region variant / intron variant / NMD transcript variant",0,0.0158,3.7e-24,-0.0157169925001442,0.0156,0.0658666666666667,E1_08_16
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0047,3.7e-24,-0.00465849625007212,1,1,E1_08_16
"incomplete terminal codon variant / coding sequence variant",0,0.0012,3.7e-24,-0.0012,0.0012,0.0076,E1_08_16
"coding sequence variant",0,4e-04,3.7e-24,-4e-04,4e-04,0.0038,E1_08_16
"splice donor region variant / non coding transcript exon variant",0,4e-04,3.7e-24,-4e-04,4e-04,0.0038,E1_08_16
"non coding transcript variant",0,0.0011,3.7e-24,-0.0011,1,1,E1_08_16
"splice donor 5th base variant / splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,1e-04,3.7e-24,-1e-04,1e-04,0.0038,E1_08_16
"splice donor 5th base variant / non coding transcript exon variant",0,4e-04,3.7e-24,-4e-04,4e-04,0.0038,E1_08_16
"3 prime UTR variant",23,29.801,3.7e-24,-0.336884511133056,0.1432,0.396553846153846,E2_06_14
"5 prime UTR variant",3,5.3141,3.7e-24,-0.551392542518703,0.3133,0.704925,E2_06_14
"TF binding site variant",1,0.5246,3.7e-24,0.528040359061589,1,1,E2_06_14
"downstream gene variant",266,253.195,1.81056018189112e-06,0.0735726863026153,0.4205,0.796736842105263,E2_06_14
"frameshift variant",0,0.2243,3.7e-24,-0.21514827251399,1,1,E2_06_14
"inframe deletion",0,0.0231,3.7e-24,-0.0230584962500721,0.023,0.102,E2_06_14
"inframe insertion",0,0,NA,0,1,1,E2_06_14
"intergenic variant",1167,1062.6599,0.0421907103379057,0.135482415238501,4e-04,0.0048,E2_06_14
"intron variant",1693,1823.9406,0.0871740239111536,-0.107218939367847,1e-04,0.0036,E2_06_14
"missense variant",35,31.6835,3.7e-24,0.160914741536568,0.591,1,E2_06_14
"non coding transcript exon variant",23,18.0664,3.7e-24,0.369158516971677,0.3467,0.7264,E2_06_14
"regulatory region variant",185,186.7155,1.73437724755612e-07,-0.00958673609873619,0.9146,1,E2_06_14
"splice acceptor variant",0,0.378,3.7e-24,-0.350469890320879,1,1,E2_06_14
"splice donor variant",1,0.8427,3.7e-24,0.282591107474245,1,1,E2_06_14
"splice polypyrimidine tract variant / intron variant",4,2.0333,3.7e-24,0.8963448109524,0.2832,0.67968,E2_06_14
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",1,0.2479,3.7e-24,0.765313344053793,0.2174,0.559028571428572,E2_06_14
"splice region variant",3,2.6604,3.7e-24,0.28715143964683,0.7739,1,E2_06_14
"start lost",0,0.1139,3.7e-24,-0.111358797503894,1,1,E2_06_14
"start retained variant",0,0,NA,0,1,1,E2_06_14
"stop gained",2,1.9776,3.7e-24,0.186230838881737,0.7279,1,E2_06_14
"stop lost",0,0.0703,3.7e-24,-0.0694114287513702,0.0682,0.2232,E2_06_14
"stop retained variant",0,0.0158,3.7e-24,-0.0157169925001442,0.0156,0.0802285714285714,E2_06_14
"synonymous variant",11,10.2163,3.7e-24,0.161126766458148,0.765,1,E2_06_14
"upstream gene variant",247,233.0871,9.58148457658433e-08,0.0862177965769594,0.3632,0.7264,E2_06_14
"splice donor region variant / intron variant",0,0.7774,3.7e-24,-0.669391575685557,0.5031,0.90558,E2_06_14
"splice donor 5th base variant / intron variant",0,0.227,3.7e-24,-0.216103160016154,1,1,E2_06_14
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0284,3.7e-24,-0.0283169925001442,1,1,E2_06_14
"splice donor region variant / intron variant / non coding transcript variant",0,0.0867,3.7e-24,-0.0853133837522356,0.0834,0.2502,E2_06_14
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0375,3.7e-24,-0.0370849625007212,0.0365,0.1314,E2_06_14
"mature miRNA variant",0,0.0259,3.7e-24,-0.0257339850002885,0.0255,0.102,E2_06_14
"splice donor region variant / intron variant / NMD transcript variant",0,0.0148,3.7e-24,-0.0147169925001442,1,1,E2_06_14
"incomplete terminal codon variant / coding sequence variant",0,8e-04,3.7e-24,-8e-04,8e-04,0.00576,E2_06_14
"non coding transcript variant",0,6e-04,3.7e-24,-6e-04,6e-04,0.0054,E2_06_14
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0039,3.7e-24,-0.0039,0.0039,0.0234,E2_06_14
"splice donor region variant / non coding transcript exon variant",0,0.001,3.7e-24,-0.001,1,1,E2_06_14
"coding sequence variant",0,4e-04,3.7e-24,-4e-04,4e-04,0.0048,E2_06_14
"3 prime UTR variant",38,41.6694,3.7e-24,-0.112543775106924,0.594,1,E2_08_16
"5 prime UTR variant",12,7.768,3.7e-24,0.649775007355773,0.2138,0.438852631578947,E2_08_16
"TF binding site variant",1,0.7592,3.7e-24,0.345819574898223,1,1,E2_08_16
"downstream gene variant",347,381.1163,0.000517355312171117,-0.133143144420455,0.0611,0.15886,E2_08_16
"frameshift variant",0,0.1569,3.7e-24,-0.152057143756851,1,1,E2_08_16
"inframe deletion",0,0.0303,3.7e-24,-0.029926466250649,1,1,E2_08_16
"inframe insertion",0,0.006,3.7e-24,-0.006,1,1,E2_08_16
"intergenic variant",1951,1746.4302,0.090471939655546,0.160004753316561,0,0,E2_08_16
"intron variant",2647,2816.9912,0.0227665442993281,-0.0896340538062917,0,0,E2_08_16
"missense variant",42,48.1076,3.7e-24,-0.17707249257358,0.3113,0.578128571428571,E2_08_16
"non coding transcript exon variant",27,29.2425,3.7e-24,-0.0871360175394253,0.6436,1,E2_08_16
"regulatory region variant",351,299.7137,6.52843888747445e-07,0.229475370925214,0.0056,0.0312,E2_08_16
"splice acceptor variant",0,0.5545,3.7e-24,-0.494768763422398,0.1114,0.2715375,E2_08_16
"splice donor region variant / intron variant",2,1.135,3.7e-24,0.666222456936541,0.6323,1,E2_08_16
"splice donor region variant / intron variant / non coding transcript variant",1,0.1474,3.7e-24,0.856959848743293,0.1371,0.314523529411765,E2_08_16
"splice donor variant",0,1.3137,3.7e-24,-1.03188647539771,0.2772,0.54054,E2_08_16
"splice polypyrimidine tract variant / intron variant",3,2.977,3.7e-24,0.161867439234281,0.7821,1,E2_08_16
"splice region variant",4,4.0156,3.7e-24,0.126314519965465,1,1,E2_08_16
"start lost",0,0.1904,3.7e-24,-0.182532933760889,0.1721,0.372883333333333,E2_08_16
"start retained variant",0,0,NA,0,1,1,E2_08_16
"stop gained",3,2.7817,3.7e-24,0.235826705024406,0.7838,1,E2_08_16
"stop lost",0,0.1075,3.7e-24,-0.105549323753389,1,1,E2_08_16
"stop retained variant",0,0.0208,3.7e-24,-0.0207584962500721,0.0207,0.1009125,E2_08_16
"synonymous variant",9,15.1826,3.7e-24,-0.649389783525287,0.0439,0.1317,E2_08_16
"upstream gene variant",304,340.6976,0.00128324356059751,-0.161894526322564,0.0312,0.12168,E2_08_16
"splice donor 5th base variant / intron variant",0,0.3036,3.7e-24,-0.28608155626132,1,1,E2_08_16
"mature miRNA variant",0,0.0433,3.7e-24,-0.0430509775004327,0.0427,0.1317,E2_08_16
"splice polypyrimidine tract variant / intron variant / non coding transcript variant",0,0.3909,3.7e-24,-0.362307459702767,1,1,E2_08_16
"splice polypyrimidine tract variant / intron variant / NMD transcript variant",0,0.0541,3.7e-24,-0.0530624062518029,0.0516,0.143742857142857,E2_08_16
"splice donor region variant / intron variant / NMD transcript variant",0,0.0251,3.7e-24,-0.0249339850002885,0.0247,0.107033333333333,E2_08_16
"splice donor 5th base variant / intron variant / NMD transcript variant",0,0.0061,3.7e-24,-0.0061,1,1,E2_08_16
"splice donor 5th base variant / intron variant / non coding transcript variant",0,0.0433,3.7e-24,-0.042926466250649,0.0424,0.1317,E2_08_16
"splice donor region variant / non coding transcript exon variant",0,0.0013,3.7e-24,-0.0013,1,1,E2_08_16
"protein altering variant",0,0.0025,3.7e-24,-0.0025,0.0025,0.01625,E2_08_16
"splice donor 5th base variant / non coding transcript exon variant",0,6e-04,3.7e-24,-6e-04,6e-04,0.00468,E2_08_16
"non coding transcript variant",0,0.001,3.7e-24,-0.001,1,1,E2_08_16
"coding sequence variant",0,5e-04,3.7e-24,-5e-04,5e-04,0.00468,E2_08_16
"incomplete terminal codon variant / coding sequence variant",0,7e-04,3.7e-24,-7e-04,1,1,E2_08_16
"coding sequence variant / NMD transcript variant",0,1e-04,3.7e-24,-1e-04,1e-04,0.0013,E2_08_16
"3 prime UTR variant",63,73.5056,1.87089800018637e-17,-0.209589757932321,0.2014,0.49001875,E3_06_14
"5 prime UTR variant",11,12.1928,3.7e-24,-0.0845262568481944,0.6641,1,E3_06_14
"downstream gene variant",616,638.9523,0.00324280634838225,-0.0516181064891664,0.333,0.62715,E3_06_14
"frameshift variant",0,0.2384,3.7e-24,-0.228050390324921,1,1,E3_06_14
"inframe deletion",0,0.041,3.7e-24,-0.0406679700005769,1,1,E3_06_14
"inframe insertion",0,0.0112,3.7e-24,-0.0112,1,1,E3_06_14
"intergenic variant",2908,2679.6753,0.0889109358807772,0.118116476740073,0,0,E3_06_14
"intron variant",4532,4741.7014,0.318327656629998,-0.0651689762605982,0,0,E3_06_14
"missense variant",58,79.3773,2.73885594608896e-16,-0.437290630686978,0.0101,0.0576142857142857,E3_06_14
"non coding transcript exon variant",40,47.0614,3.7e-24,-0.214294602344795,0.2827,0.581105555555556,E3_06_14
"regulatory region variant",486,485.9902,0.00356211669395536,0.00142962418213293,0.9842,1,E3_06_14
"splice acceptor variant",0,0.9691,3.7e-24,-0.803418120001901,0.4617,0.776495454545455,E3_06_14
"splice donor variant",5,2.1811,3.7e-24,1.08639491294157,0.1855,0.49001875,E3_06_14
"splice polypyrimidine tract variant / intron variant",7,5.0281,3.7e-24,0.520575601787317,0.4053,0.7141,E3_06_14
"splice region variant",7,6.6047,3.7e-24,0.164275714351072,1,1,E3_06_14
"start lost",0,0.3001,3.7e-24,-0.282535955333287,1,1,E3_06_14
"start retained variant",0,2e-04,3.7e-24,-2e-04,2e-04,0.00246666666666667,E3_06_14
"stop gained",7,4.593,3.7e-24,0.632768874395918,0.339,0.62715,E3_06_14
"stop lost",0,0.1602,3.7e-24,-0.155051580008077,1,1,E3_06_14
