"variant_type","bin","obs.mut","sim.mut","log2fc","pvalue","pvalue.adj",sample
"snv noncoding intergenic","(35.7,59.4]",0,0,0,1,1,C1_05_24
"snv noncoding intergenic","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding intron","[0,1]",0.238805970149254,0.216612775372137,0.0264409943596041,0.4215,0.8335,C1_05_24
"snv noncoding intron","(1,1.67]",0.109452736318408,0.120701157136723,-0.0142792182606415,0.6009,0.8335,C1_05_24
"snv noncoding intron","(1.67,2.78]",0.129353233830846,0.158498326908789,-0.0364475991107231,0.2191,0.730333333333333,C1_05_24
"snv noncoding intron","(2.78,4.63]",0.194029850746269,0.177677147983581,0.02021848939258,0.51,0.8335,C1_05_24
"snv noncoding intron","(4.63,7.71]",0.159203980099502,0.169853877654451,-0.0128680804469474,0.6668,0.8335,C1_05_24
"snv noncoding intron","(7.71,12.8]",0.119402985074627,0.113940622038297,0.00731201561271244,0.7972,0.885777777777778,C1_05_24
"snv noncoding intron","(12.8,21.4]",0.0497512437810945,0.0417700703415724,0.0111271104755375,0.5467,0.8335,C1_05_24
"snv noncoding intron","(21.4,35.7]",0,0.000922795885796708,-0.00132776071083969,0.1883,0.730333333333333,C1_05_24
"snv noncoding intron","(35.7,59.4]",0,2.32266786518779e-05,-3.34356287050368e-05,0.0053,0.053,C1_05_24
"snv noncoding intron","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding nmd","[0,1]",0.25,0.211350244584243,0.0589854796514711,0.79295154185022,1,C1_05_24
"snv noncoding nmd","(1,1.67]",0,0.116933997054848,-0.150039763331096,0.633460152182619,1,C1_05_24
"snv noncoding nmd","(1.67,2.78]",0.25,0.154227308459299,0.126437827839794,0.543452142571085,1,C1_05_24
"snv noncoding nmd","(2.78,4.63]",0.25,0.176747543525692,0.0998760975763381,0.602923508209852,1,C1_05_24
"snv noncoding nmd","(4.63,7.71]",0.25,0.16859457251884,0.109395155392986,0.649579495394473,1,C1_05_24
"snv noncoding nmd","(7.71,12.8]",0,0.124910325086492,-0.159601950258374,0.568482178614337,1,C1_05_24
"snv noncoding nmd","(12.8,21.4]",0,0.0403185784705373,-0.0529540115936103,0.237785342410893,1,C1_05_24
"snv noncoding nmd","(21.4,35.7]",0,0.00651536551572477,-0.00870239171935405,1,1,C1_05_24
"snv noncoding nmd","(35.7,59.4]",0,0.000402064784323495,-0.000541742229756369,1,1,C1_05_24
"snv noncoding nmd","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding regulatory","[0,1]",0.261904761904762,0.19849295038149,0.0768367391403265,0.3789,0.627,C1_05_24
"snv noncoding regulatory","(1,1.67]",0.142857142857143,0.118972449766923,0.0323281617768474,0.7035,0.879375,C1_05_24
"snv noncoding regulatory","(1.67,2.78]",0.214285714285714,0.161568665157395,0.0662069034451357,0.4261,0.627,C1_05_24
"snv noncoding regulatory","(2.78,4.63]",0.19047619047619,0.187112093030359,0.00642150205683725,0.9614,1,C1_05_24
"snv noncoding regulatory","(4.63,7.71]",0.119047619047619,0.167210549232385,-0.0586127298350218,0.4389,0.627,C1_05_24
"snv noncoding regulatory","(7.71,12.8]",0.0476190476190476,0.107552781204443,-0.0785051541354078,0.2639,0.627,C1_05_24
"snv noncoding regulatory","(12.8,21.4]",0.0238095238095238,0.0576854220361129,-0.0459335505316566,0.3439,0.627,C1_05_24
"snv noncoding regulatory","(21.4,35.7]",0,0.00139902301442033,-0.00198785688664675,0.0473,0.2365,C1_05_24
"snv noncoding regulatory","(35.7,59.4]",0,6.06617647058824e-06,-8.62142950530803e-06,2e-04,0.002,C1_05_24
"snv noncoding regulatory","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding splice","[0,1]",0,0.0855254550481855,-0.0933041604965833,0.999150262002549,1,C1_05_24
"snv noncoding splice","(1,1.67]",0.5,0.0408747580607091,0.540494301390258,0.0467355898597932,0.233677949298966,C1_05_24
"snv noncoding splice","(1.67,2.78]",0,0.0484731691855329,-0.0529432655872794,1,1,C1_05_24
"snv noncoding splice","(2.78,4.63]",0,0.0719424605984583,-0.0782304032839274,0.99971675400085,1,C1_05_24
"snv noncoding splice","(4.63,7.71]",0,0.119574996122227,-0.129505364768043,0.983571732049285,1,C1_05_24
"snv noncoding splice","(7.71,12.8]",0,0.219981150653152,-0.235732764861971,0.260727942217816,0.65181985554454,C1_05_24
"snv noncoding splice","(12.8,21.4]",0,0.205385720355271,-0.22062793632508,0.932870698201388,1,C1_05_24
"snv noncoding splice","(21.4,35.7]",0.5,0.203422387224257,0.365926721853424,0.1349667185951,0.449889061983666,C1_05_24
"snv noncoding splice","(35.7,59.4]",0,0.00481990275220696,-0.00524281971514713,0.0082141339753576,0.082141339753576,C1_05_24
"snv noncoding splice","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding transcript exon","[0,1]",0.142857142857143,0.14904086672335,0.0153006420839827,0.98650192088049,1,C1_05_24
"snv noncoding transcript exon","(1,1.67]",0.142857142857143,0.0793998906526162,0.0969450654543087,0.993562454573772,1,C1_05_24
"snv noncoding transcript exon","(1.67,2.78]",0.285714285714286,0.111358258661239,0.229137562109722,0.17028345966151,0.567611532205032,C1_05_24
"snv noncoding transcript exon","(2.78,4.63]",0,0.153618257283505,-0.182537337598929,0.811961374727443,1,C1_05_24
"snv noncoding transcript exon","(4.63,7.71]",0.142857142857143,0.215920441307213,-0.0605566478388118,0.824005814557159,1,C1_05_24
"snv noncoding transcript exon","(7.71,12.8]",0.142857142857143,0.203192912257392,-0.0458618100624612,0.826497767625376,1,C1_05_24
"snv noncoding transcript exon","(12.8,21.4]",0.142857142857143,0.0759446258122408,0.100677407105695,0.981414183366213,1,C1_05_24
"snv noncoding transcript exon","(21.4,35.7]",0,0.0104015966958548,-0.0128346505758422,0.0356141625999377,0.178070812999689,C1_05_24
"snv noncoding transcript exon","(35.7,59.4]",0,0.0011231506065895,-0.00137490096862369,0.00404942373585297,0.0404942373585297,C1_05_24
"snv noncoding transcript exon","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding transcript intron","[0,1]",0.285714285714286,0.233372070919817,0.061426931664699,0.3629,0.7258,C1_05_24
"snv noncoding transcript intron","(1,1.67]",0.0634920634920635,0.131643350692056,-0.0884900125636511,0.1086,0.362,C1_05_24
"snv noncoding transcript intron","(1.67,2.78]",0.253968253968254,0.165967321388155,0.106278567504867,0.0866,0.362,C1_05_24
"snv noncoding transcript intron","(2.78,4.63]",0.174603174603175,0.173089258720049,0.00318749807346069,0.9716,1,C1_05_24
"snv noncoding transcript intron","(4.63,7.71]",0.126984126984127,0.153087044052213,-0.0317975164479754,0.5931,0.9885,C1_05_24
"snv noncoding transcript intron","(7.71,12.8]",0.0476190476190476,0.101503733385922,-0.0714024949611258,0.1628,0.407,C1_05_24
"snv noncoding transcript intron","(12.8,21.4]",0.0476190476190476,0.0408029725868586,0.00987268834040624,0.7972,1,C1_05_24
"snv noncoding transcript intron","(21.4,35.7]",0,0.000509784419008009,-0.000729003657074439,1,1,C1_05_24
"snv noncoding transcript intron","(35.7,59.4]",0,2.44638359226438e-05,-3.49612364107563e-05,0.0013,0.013,C1_05_24
"snv noncoding transcript intron","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding upstream gene","[0,1]",0.22,0.203090955596024,0.022187237754949,0.7952,0.994,C1_05_24
"snv noncoding upstream gene","(1,1.67]",0.16,0.106641211890793,0.0693610018607377,0.2991,0.4985,C1_05_24
"snv noncoding upstream gene","(1.67,2.78]",0.08,0.146528707571621,-0.0844987680951497,0.2244,0.4985,C1_05_24
"snv noncoding upstream gene","(2.78,4.63]",0.32,0.165868689889121,0.181034250857725,0.0147,0.0735,C1_05_24
"snv noncoding upstream gene","(4.63,7.71]",0.06,0.175505558648616,-0.147288846642206,0.0485,0.161666666666667,C1_05_24
"snv noncoding upstream gene","(7.71,12.8]",0.08,0.142045536348268,-0.0788259058734816,0.2617,0.4985,C1_05_24
"snv noncoding upstream gene","(12.8,21.4]",0.08,0.0542453342771097,0.0356444868399327,0.5268,0.752571428571429,C1_05_24
"snv noncoding upstream gene","(21.4,35.7]",0,0.0058587552276402,-0.00832301664973645,1,1,C1_05_24
"snv noncoding upstream gene","(35.7,59.4]",0,0.000215250550807956,-0.000306612791523288,0.0086,0.0735,C1_05_24
"snv noncoding upstream gene","(59.4,99]",0,0,0,1,1,C1_05_24
"snv noncoding 5prime UTR","[0,1]",NA,0.0264672283307154,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(1,1.67]",NA,0.014734161549812,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(1.67,2.78]",NA,0.0259745823218621,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(2.78,4.63]",NA,0.0548543821355474,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(4.63,7.71]",NA,0.133346932947104,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(7.71,12.8]",NA,0.36924413346661,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(12.8,21.4]",NA,0.343809795801799,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(21.4,35.7]",NA,0.0302431610942249,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(35.7,59.4]",NA,0.00132562235232519,NA,NA,NA,C1_05_24
"snv noncoding 5prime UTR","(59.4,99]",NA,0,NA,NA,NA,C1_05_24
"undefined","[0,1]",NA,0.0847457627118644,NA,NA,NA,C1_05_24
"undefined","(1,1.67]",NA,0.0508474576271186,NA,NA,NA,C1_05_24
"undefined","(1.67,2.78]",NA,0.0677966101694915,NA,NA,NA,C1_05_24
"undefined","(2.78,4.63]",NA,0.152542372881356,NA,NA,NA,C1_05_24
"undefined","(4.63,7.71]",NA,0.135593220338983,NA,NA,NA,C1_05_24
"undefined","(7.71,12.8]",NA,0.0847457627118644,NA,NA,NA,C1_05_24
"undefined","(12.8,21.4]",NA,0.338983050847458,NA,NA,NA,C1_05_24
"undefined","(21.4,35.7]",NA,0.0677966101694915,NA,NA,NA,C1_05_24
"undefined","(35.7,59.4]",NA,0,NA,NA,NA,C1_05_24
"undefined","(59.4,99]",NA,0.0169491525423729,NA,NA,NA,C1_05_24
"snv coding","[0,1]",0,0.0556467096525254,-0.0718395118468285,0.236739195828738,0.591847989571844,C2_05_24
"snv coding","(1,1.67]",0,0.0115736392132662,-0.0151677687572571,1,1,C2_05_24
"snv coding","(1.67,2.78]",0,0.0142446931890931,-0.0186319118695338,1,1,C2_05_24
"snv coding","(2.78,4.63]",0,0.0204064274128447,-0.0267414732105183,0.116013235736489,0.580066178682443,C2_05_24
"snv coding","(4.63,7.71]",0,0.045574461580177,-0.0589715799817569,0.224305625188008,0.591847989571844,C2_05_24
"snv coding","(7.71,12.8]",0.333333333333333,0.190795778945032,0.178351249644358,0.468264313646847,0.802452335591812,C2_05_24
"snv coding","(12.8,21.4]",0.333333333333333,0.174191461635059,0.198068391118256,0.561716634914268,0.802452335591812,C2_05_24
"snv coding","(21.4,35.7]",0.333333333333333,0.449487272395374,-0.102275803628501,0.527323774190314,0.802452335591812,C2_05_24
"snv coding","(35.7,59.4]",0,0.0380068596966722,-0.0492500682829066,0.996891607339818,1,C2_05_24
"snv coding","(59.4,99]",0,7.26962799558809e-05,-9.47416470277288e-05,0.000401082923894515,0.00401082923894515,C2_05_24
"snv noncoding 3prime UTR","[0,1]",0,0.127770559906783,-0.153210645274226,0.824148606811146,1,C2_05_24
"snv noncoding 3prime UTR","(1,1.67]",0,0.0739779730646604,-0.0904307035077742,0.217853457172343,0.448503611971104,C2_05_24
"snv noncoding 3prime UTR","(1.67,2.78]",0,0.109163519372498,-0.131360605930691,0.224251805985552,0.448503611971104,C2_05_24
"snv noncoding 3prime UTR","(2.78,4.63]",0,0.158981626388747,-0.189396129052349,0.713106295149639,1,C2_05_24
"snv noncoding 3prime UTR","(4.63,7.71]",0.666666666666667,0.192329493691723,0.50972684688825,0.0382868937048504,0.191434468524252,C2_05_24
"snv noncoding 3prime UTR","(7.71,12.8]",0.333333333333333,0.178273560231765,0.203516633942923,0.699896800825593,1,C2_05_24
"snv noncoding 3prime UTR","(12.8,21.4]",0,0.154993709134576,-0.184730238451,0.144272445820433,0.448503611971104,C2_05_24
"snv noncoding 3prime UTR","(21.4,35.7]",0,0.00410667190852949,-0.00514780815708098,1,1,C2_05_24
"snv noncoding 3prime UTR","(35.7,59.4]",0,0.000402886300719118,-0.000484656719264072,0.00134158926728586,0.0134158926728586,C2_05_24
"snv noncoding 3prime UTR","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding 5prime UTR","[0,1]",0,0.0241724137931034,-0.0255198097532761,0.0336206896551724,0.206034482758621,C2_05_24
"snv noncoding 5prime UTR","(1,1.67]",0,0.013882183908046,-0.0149461793981125,1,1,C2_05_24
"snv noncoding 5prime UTR","(1.67,2.78]",0,0.0247873563218391,-0.0265241109659478,1,1,C2_05_24
"snv noncoding 5prime UTR","(2.78,4.63]",0,0.0491884236453202,-0.0526501623181009,1,1,C2_05_24
"snv noncoding 5prime UTR","(4.63,7.71]",0.333333333333333,0.125635467980296,0.281574899344848,0.171034482758621,0.570114942528736,C2_05_24
"snv noncoding 5prime UTR","(7.71,12.8]",0,0.377306650246305,-0.393671988625518,0.280689655172414,0.701724137931034,C2_05_24
"snv noncoding 5prime UTR","(12.8,21.4]",0.333333333333333,0.353823481116585,0.0454857507427482,1,1,C2_05_24
"snv noncoding 5prime UTR","(21.4,35.7]",0.333333333333333,0.0301120689655172,0.38306544240941,0.0412068965517241,0.206034482758621,C2_05_24
"snv noncoding 5prime UTR","(35.7,59.4]",0,0.00109195402298851,-0.00116463577623508,1,1,C2_05_24
"snv noncoding 5prime UTR","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding downstream gene","[0,1]",0.321428571428571,0.228458319701521,0.107925264294332,0.2291,0.763666666666667,C2_05_24
"snv noncoding downstream gene","(1,1.67]",0.107142857142857,0.118254434782953,-0.0124854554224873,0.8521,1,C2_05_24
"snv noncoding downstream gene","(1.67,2.78]",0.107142857142857,0.154498678090861,-0.0581469017341825,0.4515,0.903,C2_05_24
"snv noncoding downstream gene","(2.78,4.63]",0.178571428571429,0.170344447648595,0.012544183711236,0.9087,1,C2_05_24
"snv noncoding downstream gene","(4.63,7.71]",0.0714285714285714,0.165240024533197,-0.118760978567738,0.1408,0.704,C2_05_24
"snv noncoding downstream gene","(7.71,12.8]",0.107142857142857,0.114282649286765,-0.00741300758026565,0.898,1,C2_05_24
"snv noncoding downstream gene","(12.8,21.4]",0.0714285714285714,0.0418499281586582,0.0412332111139955,0.447,0.903,C2_05_24
"snv noncoding downstream gene","(21.4,35.7]",0.0357142857142857,0.00673784242233491,0.0410911083782306,0.0603,0.603,C2_05_24
"snv noncoding downstream gene","(35.7,59.4]",0,0.000333675375115934,-0.000473352231221691,1,1,C2_05_24
"snv noncoding downstream gene","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding intergenic","[0,1]",0.253968253968254,0.280269316888575,-0.0293205228483215,0.4862,0.934142857142857,C2_05_24
"snv noncoding intergenic","(1,1.67]",0.19047619047619,0.141414054733191,0.0611789797951316,0.0955,0.934142857142857,C2_05_24
"snv noncoding intergenic","(1.67,2.78]",0.19047619047619,0.163380220528858,0.03372144431292,0.39,0.934142857142857,C2_05_24
"snv noncoding intergenic","(2.78,4.63]",0.142857142857143,0.156634080597996,-0.016798517314528,0.6539,0.934142857142857,C2_05_24
"snv noncoding intergenic","(4.63,7.71]",0.111111111111111,0.133331778554726,-0.0281065670277857,0.4268,0.934142857142857,C2_05_24
"snv noncoding intergenic","(7.71,12.8]",0.0793650793650794,0.0909047704604706,-0.014991846767176,0.6279,0.934142857142857,C2_05_24
"snv noncoding intergenic","(12.8,21.4]",0.0317460317460317,0.0325449677832092,-0.000967357310890281,0.9621,1,C2_05_24
"snv noncoding intergenic","(21.4,35.7]",0,0.00152081045297467,-0.0021845934991647,0.1937,0.934142857142857,C2_05_24
"snv noncoding intergenic","(35.7,59.4]",0,0,0,1,1,C2_05_24
"snv noncoding intergenic","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding intron","[0,1]",0.218579234972678,0.217953381241669,0.00120458323910973,0.9808,1,C2_05_24
"snv noncoding intron","(1,1.67]",0.14207650273224,0.119641980696569,0.0289635216569715,0.3588,0.7176,C2_05_24
"snv noncoding intron","(1.67,2.78]",0.131147540983607,0.15712125572518,-0.0323635835213876,0.3277,0.7176,C2_05_24
"snv noncoding intron","(2.78,4.63]",0.218579234972678,0.176438594528729,0.0511921747108336,0.1412,0.513,C2_05_24
"snv noncoding intron","(4.63,7.71]",0.153005464480874,0.170401219132064,-0.0211994845073174,0.5383,0.769,C2_05_24
"snv noncoding intron","(7.71,12.8]",0.103825136612022,0.115141028154891,-0.0143844771899528,0.6304,0.788,C2_05_24
"snv noncoding intron","(12.8,21.4]",0.0327868852459016,0.0423543394528996,-0.0131539680872911,0.5249,0.769,C2_05_24
"snv noncoding intron","(21.4,35.7]",0,0.000923203920581796,-0.00132764824814179,0.1539,0.513,C2_05_24
"snv noncoding intron","(35.7,59.4]",0,2.49971474150984e-05,-3.59631361934422e-05,0.0045,0.045,C2_05_24
"snv noncoding intron","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding nmd","[0,1]",0.25,0.218865570396541,0.0544911335606074,0.906033530770003,1,C2_05_24
"snv noncoding nmd","(1,1.67]",0.25,0.119403878991196,0.171569672031972,0.729846400963759,1,C2_05_24
"snv noncoding nmd","(1.67,2.78]",0.25,0.15535625500112,0.128603009434551,0.724826824616002,1,C2_05_24
"snv noncoding nmd","(2.78,4.63]",0,0.169669978924675,-0.210240304763776,0.519827326573637,1,C2_05_24
"snv noncoding nmd","(4.63,7.71]",0,0.166491540822978,-0.206578314734794,0.523842987651842,1,C2_05_24
"snv noncoding nmd","(7.71,12.8]",0.25,0.121199592034525,0.169662737562652,0.665194257604658,1,C2_05_24
"snv noncoding nmd","(12.8,21.4]",0,0.0414209999417308,-0.0533250262661552,0.996486296556571,1,C2_05_24
"snv noncoding nmd","(21.4,35.7]",0,0.00720156596072669,-0.00932760677658807,1,1,C2_05_24
"snv noncoding nmd","(35.7,59.4]",0,0.000390617926507897,-0.000517959475348875,1,1,C2_05_24
"snv noncoding nmd","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding regulatory","[0,1]",0.178571428571429,0.197357536841556,-0.0197555975214117,0.817,1,C2_05_24
"snv noncoding regulatory","(1,1.67]",0.0714285714285714,0.117442986334255,-0.0583775671105388,0.4541,1,C2_05_24
"snv noncoding regulatory","(1.67,2.78]",0.178571428571429,0.161598347340425,0.0237214091247193,0.8311,1,C2_05_24
"snv noncoding regulatory","(2.78,4.63]",0.25,0.186900533292581,0.0777547916865565,0.4079,1,C2_05_24
"snv noncoding regulatory","(4.63,7.71]",0.214285714285714,0.16929909192583,0.0573194716913731,0.5666,1,C2_05_24
"snv noncoding regulatory","(7.71,12.8]",0.107142857142857,0.107497856416443,0.00171035914478572,0.9817,1,C2_05_24
"snv noncoding regulatory","(12.8,21.4]",0,0.0583839295091154,-0.0804844581921443,0.3159,1,C2_05_24
"snv noncoding regulatory","(21.4,35.7]",0,0.00151971833979365,-0.0021502336436877,0.0404,0.404,C2_05_24
"snv noncoding regulatory","(35.7,59.4]",0,0,0,1,1,C2_05_24
"snv noncoding regulatory","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding splice","[0,1]",0,0.084129189095329,-0.0896639621991969,1,1,C2_05_24
"snv noncoding splice","(1,1.67]",0,0.0385599351739307,-0.0412881150149344,1,1,C2_05_24
"snv noncoding splice","(1.67,2.78]",0,0.0507669155524686,-0.05398853994345,0.0724084042368467,0.475198240435261,C2_05_24
"snv noncoding splice","(2.78,4.63]",0,0.070397059674712,-0.0751529683769654,0.102969265497482,0.475198240435261,C2_05_24
"snv noncoding splice","(4.63,7.71]",0.5,0.119080280141228,0.458860563628794,0.142559472130578,0.475198240435261,C2_05_24
"snv noncoding splice","(7.71,12.8]",0.5,0.225849395149621,0.346734861416055,0.962493488452856,1,C2_05_24
"snv noncoding splice","(12.8,21.4]",0,0.19798286739596,-0.2087355150067,0.964229901024483,1,C2_05_24
"snv noncoding splice","(21.4,35.7]",0,0.210991491578399,-0.222196819859203,0.961625282167043,1,C2_05_24
"snv noncoding splice","(35.7,59.4]",0,0.00224286623835157,-0.0023824746981812,1,1,C2_05_24
"snv noncoding splice","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding transcript exon","[0,1]",1,0.138604626811613,0.838978550319275,0.033632529469017,0.33632529469017,C2_05_24
"snv noncoding transcript exon","(1,1.67]",0,0.0759611439832052,-0.0892516601426138,0.188385422299124,0.449443062614902,C2_05_24
"snv noncoding transcript exon","(1.67,2.78]",0,0.111947890435508,-0.130570325990394,0.224505244944306,0.449443062614902,C2_05_24
"snv noncoding transcript exon","(2.78,4.63]",0,0.155949505716998,-0.179916942171318,0.803828268627663,1,C2_05_24
"snv noncoding transcript exon","(4.63,7.71]",0,0.216032655807718,-0.247263781344148,0.224721531307451,0.449443062614902,C2_05_24
"snv noncoding transcript exon","(7.71,12.8]",0,0.205912814280393,-0.235428951875284,0.210771060884611,0.449443062614902,C2_05_24
"snv noncoding transcript exon","(12.8,21.4]",0,0.0829001168976296,-0.0967240408797549,0.983562236400995,1,C2_05_24
"snv noncoding transcript exon","(21.4,35.7]",0,0.0115178925468749,-0.0136559316226476,1,1,C2_05_24
"snv noncoding transcript exon","(35.7,59.4]",0,0.00117335352006056,-0.00140313284835856,1,1,C2_05_24
"snv noncoding transcript exon","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding transcript intron","[0,1]",0.275,0.235804786392034,0.0468840189107235,0.5397,1,C2_05_24
"snv noncoding transcript intron","(1,1.67]",0.075,0.131766764542852,-0.072888074272001,0.2299,0.774333333333333,C2_05_24
"snv noncoding transcript intron","(1.67,2.78]",0.25,0.164604828395239,0.103654407730142,0.136,0.774333333333333,C2_05_24
"snv noncoding transcript intron","(2.78,4.63]",0.15,0.170769220763146,-0.0242412416166844,0.7142,1,C2_05_24
"snv noncoding transcript intron","(4.63,7.71]",0.175,0.153908279124716,0.0276329631628993,0.6794,1,C2_05_24
"snv noncoding transcript intron","(7.71,12.8]",0.05,0.102505278862422,-0.0692435020468878,0.2323,0.774333333333333,C2_05_24
"snv noncoding transcript intron","(12.8,21.4]",0.025,0.0400851598957865,-0.0205219547367241,0.6593,1,C2_05_24
"snv noncoding transcript intron","(21.4,35.7]",0,0.000551641207477716,-0.000787187304135619,1,1,C2_05_24
"snv noncoding transcript intron","(35.7,59.4]",0,4.04081632653061e-06,-5.77154978562875e-06,1,1,C2_05_24
"snv noncoding transcript intron","(59.4,99]",0,0,0,1,1,C2_05_24
"snv noncoding upstream gene","[0,1]",0.45,0.207088751238315,0.267311084529253,0.0048,0.048,C2_05_24
"snv noncoding upstream gene","(1,1.67]",0.05,0.107760105774472,-0.0753148341050407,0.309,0.403125,C2_05_24
"snv noncoding upstream gene","(1.67,2.78]",0.25,0.146670326116685,0.126908346476036,0.1289,0.2942,C2_05_24
